Gaia17brq
#Date,JD,averagemag.
2014-11-12 22:08:10,2456974.422,null
2014-11-12 23:54:56,2456974.496,null
2015-01-19 08:53:08,2457041.870,null
2015-01-19 10:39:18,2457041.944,null
2015-01-29 04:46:31,2457051.699,null
2015-01-29 08:59:41,2457051.875,null
2015-03-17 07:15:39,2457098.803,null
2015-03-17 09:01:48,2457098.876,null
2015-03-24 15:07:15,2457106.130,null
2015-03-24 19:20:59,2457106.306,null
2015-03-24 21:07:44,2457106.380,null
2015-06-02 19:39:59,2457176.319,null
2015-07-02 11:41:04,2457205.987,null
2015-07-02 13:27:49,2457206.061,null
2015-10-28 23:21:56,2457324.474,null
2015-11-27 05:08:44,2457353.714,null
2015-11-27 06:55:29,2457353.789,null
2015-12-21 17:01:20,2457378.209,null
2015-12-21 18:47:31,2457378.283,null
2016-02-01 21:49:06,2457420.409,null
2016-02-01 23:35:16,2457420.483,null
2016-02-02 03:49:01,2457420.659,null
2016-02-02 05:35:46,2457420.733,null
2016-02-07 03:53:23,2457425.662,null
2016-02-07 05:40:08,2457425.736,null
2016-02-07 09:53:53,2457425.912,null
2016-02-07 11:40:38,2457425.987,null
2016-03-25 20:10:04,2457473.340,null
2016-03-25 21:56:49,2457473.414,null
2016-04-06 16:02:41,2457485.169,null
2016-04-06 20:15:51,2457485.344,null
2016-06-17 00:52:51,2457556.537,null
2016-06-17 02:39:00,2457556.610,null
2016-07-13 12:51:05,2457583.035,null
2016-07-13 14:37:50,2457583.110,null
2016-09-13 02:29:19,2457644.604,null
2016-09-13 06:43:04,2457644.780,null
2016-09-13 08:29:50,2457644.854,null
2016-09-13 12:43:35,2457645.030,null
2016-09-13 14:29:45,2457645.104,null
2016-09-13 18:43:30,2457645.280,null
2016-09-13 20:30:15,2457645.354,null
2016-09-14 00:44:01,2457645.531,null
2016-09-23 12:52:18,2457655.036,null
2016-09-23 14:39:03,2457655.110,null
2016-09-23 18:52:49,2457655.287,null
2016-09-23 20:38:59,2457655.360,null
2016-09-24 00:52:45,2457655.537,null
2016-09-24 02:39:30,2457655.611,null
2016-11-08 06:33:01,2457700.773,null
2016-11-08 08:19:12,2457700.847,null
2016-12-31 01:52:22,2457753.578,null
2017-04-04 16:30:01,2457848.188,null
2017-04-04 18:16:46,2457848.262,null
2017-05-28 03:43:24,2457901.655,null
2017-05-28 05:30:08,2457901.729,null
2017-07-03 03:16:49,2457937.637,18.66
2017-07-03 05:03:23,2457937.711,18.59
2017-07-03 09:17:02,2457937.887,18.67
2017-07-25 09:23:31,2457959.891,19.08
2017-07-25 11:10:05,2457959.965,19.10
2017-09-24 11:03:11,2458020.961,null
2017-09-24 15:16:57,2458021.137,null
2017-09-24 17:03:07,2458021.210,null
2017-10-12 21:27:45,2458039.394,null
2017-10-12 23:14:30,2458039.468,null
2017-10-13 03:28:16,2458039.645,null
2017-10-13 05:15:01,2458039.719,null
2017-11-19 10:52:05,2458076.953,null
2017-11-19 15:05:51,2458077.129,null
2017-12-23 20:28:12,2458111.353,null
2018-01-10 04:17:42,2458128.679,null
2018-04-15 01:17:04,2458223.554,null
2018-05-04 23:28:53,2458243.478,null
2018-06-08 22:51:30,2458278.452,null
2018-06-09 00:38:14,2458278.527,null
2018-07-20 18:10:16,2458320.257,null
2018-07-20 22:24:00,2458320.433,null
2018-07-21 00:10:10,2458320.507,null
2018-07-21 04:23:55,2458320.683,null
2018-08-05 22:34:12,2458336.440,null
2018-08-06 00:20:22,2458336.514,null
2018-08-06 04:34:07,2458336.690,null
2018-08-06 06:20:51,2458336.764,null
2018-10-06 00:14:21,2458397.510,null
2018-10-06 04:28:07,2458397.686,null
2018-10-29 04:34:32,2458420.691,null
2018-10-29 06:20:43,2458420.764,null
2018-11-30 12:01:34,2458453.001,null
2019-01-06 05:11:29,2458489.716,null
2019-01-19 23:17:49,2458503.471,null
2019-01-20 03:31:34,2458503.647,null
2019-03-08 19:52:42,2458551.328,null
2019-03-08 21:38:52,2458551.402,null
2019-03-09 01:52:37,2458551.578,null
2019-03-09 03:39:22,2458551.652,null
2019-03-09 07:53:07,2458551.829,null
2019-03-09 09:39:17,2458551.902,null
2019-03-09 13:53:01,2458552.078,null
2019-03-09 15:39:46,2458552.153,null
2019-03-09 19:53:31,2458552.329,null
2019-03-09 21:40:16,2458552.403,null
2019-03-10 01:53:26,2458552.579,null
2019-03-10 03:40:11,2458552.653,null
2019-03-10 07:53:55,2458552.829,null
2019-03-10 09:40:40,2458552.903,null
2019-03-10 13:54:25,2458553.079,null
2019-03-10 15:40:35,2458553.153,null
2019-03-10 19:54:20,2458553.329,null
2019-04-25 18:32:38,2458599.273,null
2019-05-19 06:24:50,2458622.767,null
2019-05-19 08:11:35,2458622.841,null
2019-06-20 18:00:13,2458655.250,null
2019-06-20 19:46:58,2458655.324,null
2019-07-23 09:14:29,2458687.885,null
2019-09-11 12:26:54,2458738.019,null
2019-09-11 16:40:40,2458738.195,null
2019-09-11 18:27:25,2458738.269,null
2019-09-11 22:41:10,2458738.445,null
2019-09-12 00:27:20,2458738.519,null
2019-09-12 04:41:05,2458738.695,null
2019-09-12 06:27:51,2458738.769,null
2019-09-12 10:41:36,2458738.946,null
2019-09-12 12:27:46,2458739.019,null
2019-09-12 16:41:31,2458739.195,null
2019-09-12 18:28:16,2458739.270,null
2019-09-12 22:42:02,2458739.446,null
2019-09-13 00:28:47,2458739.520,null
2019-09-13 04:41:57,2458739.696,null
2019-09-13 06:28:42,2458739.770,null
2019-09-13 10:42:28,2458739.946,null
2019-09-13 12:29:13,2458740.020,null
2019-09-13 16:42:58,2458740.197,null
2019-09-13 18:29:08,2458740.270,null
2019-09-13 22:42:53,2458740.446,null
2019-09-14 00:29:39,2458740.521,null
2019-09-14 06:29:34,2458740.771,null

