Gaia17bua
#Date,JD,averagemag.
2014-08-18 14:10:59,2456888.091,null
2014-08-18 15:57:09,2456888.165,null
2014-08-18 20:10:55,2456888.341,null
2014-08-18 21:57:41,2456888.415,null
2014-08-19 02:11:27,2456888.591,null
2014-08-19 03:57:37,2456888.665,null
2014-08-19 08:11:23,2456888.841,null
2014-11-11 14:32:09,2456973.106,null
2014-11-11 16:18:53,2456973.180,null
2014-11-11 20:32:02,2456973.356,null
2014-11-11 22:18:47,2456973.430,null
2014-11-18 08:36:53,2456979.859,null
2014-11-18 10:23:38,2456979.933,null
2014-11-18 14:37:22,2456980.109,null
2015-01-29 13:08:40,2457052.048,null
2015-01-29 14:55:25,2457052.122,null
2015-02-16 07:13:45,2457069.801,null
2015-02-16 09:00:29,2457069.875,null
2015-02-16 13:14:13,2457070.052,null
2015-02-16 15:00:58,2457070.126,null
2015-06-23 19:24:25,2457197.309,null
2015-06-23 21:11:11,2457197.383,null
2015-07-29 14:40:20,2457233.111,null
2015-08-15 08:47:01,2457249.866,null
2015-08-15 13:00:47,2457250.042,null
2015-11-19 09:28:05,2457345.895,null
2015-11-19 11:14:49,2457345.969,null
2015-12-03 15:32:20,2457360.147,null
2015-12-03 17:19:05,2457360.222,null
2016-01-07 08:46:38,2457394.866,null
2016-01-07 10:33:23,2457394.940,null
2016-02-17 03:59:57,2457435.667,null
2016-02-17 08:13:06,2457435.842,null
2016-02-17 09:59:51,2457435.917,null
2016-02-17 14:13:35,2457436.093,null
2016-02-17 16:00:20,2457436.167,null
2016-02-17 20:14:04,2457436.343,null
2016-02-17 22:00:13,2457436.417,null
2016-02-18 02:13:57,2457436.593,null
2016-02-21 14:17:09,2457440.095,null
2016-02-21 20:17:03,2457440.345,null
2016-02-21 22:03:48,2457440.419,null
2016-02-22 02:17:32,2457440.596,null
2016-02-22 04:03:42,2457440.669,null
2016-02-22 08:17:26,2457440.845,null
2016-02-22 10:04:10,2457440.920,null
2016-02-22 14:17:54,2457441.096,null
2016-02-22 16:04:04,2457441.169,null
2016-02-22 20:17:48,2457441.346,null
2016-02-22 22:04:33,2457441.420,null
2016-05-11 22:33:13,2457520.440,null
2016-05-12 02:46:59,2457520.616,null
2016-05-12 04:33:09,2457520.690,null
2016-05-12 08:46:55,2457520.866,null
2016-05-28 08:57:41,2457536.873,null
2016-05-28 10:43:51,2457536.947,null
2016-07-04 04:22:35,2457573.682,null
2016-08-13 03:38:53,2457613.652,null
2016-08-13 07:52:39,2457613.828,null
2016-08-13 09:39:24,2457613.902,null
2016-08-23 03:46:57,2457623.658,null
2016-08-23 08:00:43,2457623.834,null
2016-11-27 16:29:06,2457720.187,null
2016-11-27 18:15:50,2457720.261,null
2016-12-17 00:13:34,2457739.509,null
2017-01-17 03:54:53,2457770.663,null
2017-05-21 17:18:19,2457895.221,null
2017-05-21 19:05:05,2457895.295,null
2017-06-13 23:23:37,2457918.475,null
2017-06-14 01:10:22,2457918.549,null
2017-07-15 06:55:09,2457949.788,18.40
2017-07-15 11:08:51,2457949.964,18.41
2017-12-31 02:30:17,2458118.604,null
2018-01-27 18:26:07,2458146.268,null
2018-06-01 12:29:34,2458271.021,null
2018-06-01 14:16:19,2458271.095,null
2018-06-29 14:10:55,2458299.091,null
2018-07-26 06:17:59,2458325.762,null
2018-07-26 08:04:44,2458325.837,null
2018-12-17 14:00:39,2458470.084,null
2018-12-17 15:47:23,2458470.158,null
2019-01-14 13:39:31,2458498.069,null
2019-01-14 15:26:16,2458498.143,null
2019-02-07 01:34:45,2458521.566,null
2019-02-07 03:21:29,2458521.640,null
2019-06-12 15:28:12,2458647.145,null
2019-06-12 19:41:23,2458647.320,null
2019-07-14 19:23:38,2458679.308,null
2019-07-14 21:10:23,2458679.382,null
2019-07-18 03:10:52,2458682.633,null
2019-08-11 15:59:44,2458707.166,null
2019-08-11 17:46:29,2458707.241,null

