Gaia17bvj
#Date,JD,averagemag.
2014-08-26 23:39:15,2456896.486,null
2014-08-27 01:25:25,2456896.559,null
2014-08-27 07:25:53,2456896.810,null
2015-01-22 03:45:43,2457044.657,null
2015-02-11 11:34:52,2457064.983,null
2015-02-11 15:48:38,2457065.159,null
2015-07-01 04:50:34,2457204.702,null
2015-07-01 06:37:19,2457204.776,null
2015-08-03 18:07:30,2457238.255,null
2015-08-03 22:21:14,2457238.431,null
2015-08-21 22:24:43,2457256.434,null
2015-08-22 00:11:28,2457256.508,null
2016-01-03 11:14:03,2457390.968,null
2016-02-06 04:44:49,2457424.698,null
2016-02-20 00:39:45,2457438.528,null
2016-02-20 04:53:31,2457438.704,null
2016-05-24 18:37:54,2457533.276,null
2016-05-24 20:24:39,2457533.350,null
2016-05-25 00:37:48,2457533.526,null
2016-05-25 02:24:32,2457533.600,null
2016-05-25 08:25:01,2457533.851,null
2016-05-31 08:29:23,2457539.854,null
2016-05-31 12:43:07,2457540.030,null
2016-05-31 14:29:16,2457540.104,null
2016-05-31 18:43:00,2457540.280,null
2016-07-11 05:59:44,2457580.750,null
2016-07-11 07:45:53,2457580.824,null
2016-08-20 13:06:47,2457621.046,null
2016-08-20 17:20:31,2457621.223,null
2016-08-20 19:07:16,2457621.297,null
2016-08-20 23:21:00,2457621.473,null
2016-08-21 01:07:09,2457621.547,null
2016-08-21 05:20:53,2457621.723,null
2016-08-27 05:25:50,2457627.726,null
2016-08-27 07:12:00,2457627.800,null
2016-08-27 11:25:44,2457627.976,null
2016-08-27 13:12:28,2457628.050,null
2016-08-27 17:26:12,2457628.227,null
2016-08-27 19:12:22,2457628.300,null
2016-11-27 02:31:53,2457719.605,null
2016-11-27 06:45:39,2457719.782,null
2016-11-27 08:32:25,2457719.856,null
2016-12-08 06:54:20,2457730.788,null
2016-12-08 08:40:30,2457730.861,null
2016-12-08 12:54:17,2457731.038,null
2016-12-08 14:41:02,2457731.112,null
2017-01-12 18:25:15,2457766.268,null
2017-01-12 20:12:01,2457766.342,null
2017-05-31 20:59:47,2457905.375,null
2017-05-31 22:46:32,2457905.449,null
2017-06-18 03:03:37,2457922.628,null
2017-06-18 04:50:22,2457922.702,null
2017-07-22 08:30:49,2457956.855,16.27
2017-07-22 10:17:22,2457956.929,16.28
2017-12-04 21:12:23,2458092.384,18.03
2017-12-04 22:58:57,2458092.458,18.04
2017-12-24 03:17:21,2458111.637,18.35
2017-12-24 05:03:56,2458111.711,18.38
2018-01-23 02:58:25,2458141.624,18.98
2018-01-23 04:45:00,2458141.698,18.93
2018-06-10 04:04:11,2458279.670,null
2018-06-10 05:50:55,2458279.744,null
2018-07-03 17:45:14,2458303.240,null
2018-07-03 21:58:57,2458303.416,null
2018-08-02 05:26:02,2458332.726,null
2018-12-14 06:07:28,2458466.755,null
2018-12-14 10:21:14,2458466.931,null
2019-01-07 22:16:30,2458491.428,null
2019-02-02 04:08:47,2458516.673,null
2019-02-02 05:54:57,2458516.746,null
2019-06-20 17:11:24,2458655.216,null
2019-08-06 13:16:22,2458702.053,null

