Gaia17bwf
#Date,JD,averagemag.
2015-01-09 09:21:11,2457031.890,null
2015-01-09 13:34:55,2457032.066,null
2015-01-09 15:21:40,2457032.140,null
2015-01-19 07:40:39,2457041.820,null
2015-01-19 09:27:23,2457041.894,null
2015-02-25 18:47:58,2457079.283,null
2015-04-03 00:15:02,2457115.510,null
2015-04-03 02:01:12,2457115.584,null
2015-04-03 06:14:56,2457115.760,null
2015-04-16 18:22:31,2457129.266,null
2015-04-16 20:09:16,2457129.340,null
2015-07-08 06:57:11,2457211.790,null
2015-07-08 08:43:56,2457211.864,null
2015-07-08 12:57:42,2457212.040,null
2015-07-08 14:44:27,2457212.114,null
2015-07-08 18:57:38,2457212.290,null
2015-07-08 20:44:24,2457212.364,null
2015-07-09 00:58:09,2457212.540,null
2015-07-16 13:05:04,2457220.045,null
2015-07-16 14:51:49,2457220.119,null
2015-07-16 19:05:35,2457220.296,null
2015-07-16 20:51:46,2457220.369,null
2015-07-17 01:05:32,2457220.546,null
2015-07-17 02:52:17,2457220.620,null
2015-08-27 06:42:36,2457261.780,null
2015-10-03 06:05:07,2457298.754,null
2015-10-03 07:51:53,2457298.828,null
2015-10-16 06:13:11,2457311.759,null
2015-10-16 07:59:56,2457311.833,null
2016-01-17 20:33:31,2457405.357,null
2016-02-03 02:35:37,2457421.608,null
2016-02-03 04:21:46,2457421.682,null
2016-07-14 20:03:15,2457584.336,null
2016-07-14 21:50:00,2457584.410,null
2016-07-15 02:03:46,2457584.586,null
2016-08-03 14:12:45,2457604.092,null
2016-08-03 15:59:31,2457604.166,null
2016-09-06 07:53:32,2457637.829,null
2016-09-06 09:40:18,2457637.903,null
2016-10-19 07:05:32,2457680.796,null
2016-10-19 13:06:04,2457681.046,null
2016-10-19 14:52:49,2457681.120,null
2016-10-19 19:06:35,2457681.296,null
2016-10-19 20:52:45,2457681.370,null
2016-10-20 01:06:31,2457681.546,null
2016-10-20 02:53:17,2457681.620,null
2016-10-20 07:07:02,2457681.797,null
2016-10-20 08:53:13,2457681.870,null
2016-10-20 13:06:59,2457682.047,null
2016-10-20 14:53:44,2457682.121,null
2016-10-20 19:07:30,2457682.297,null
2016-10-20 20:53:40,2457682.371,null
2016-10-21 01:07:26,2457682.547,null
2016-10-21 02:54:12,2457682.621,null
2016-10-21 07:07:57,2457682.797,null
2016-10-21 08:54:43,2457682.871,null
2016-10-21 13:07:54,2457683.047,null
2017-01-26 03:35:39,2457779.650,null
2017-01-26 05:22:23,2457779.724,null
2017-02-16 10:52:16,2457800.953,null
2017-03-18 06:14:07,2457830.760,null
2017-07-25 00:22:33,2457959.516,18.00
2017-07-25 04:36:14,2457959.692,18.01
2017-08-19 12:23:24,2457985.016,19.00
2017-09-17 04:25:44,2458013.685,20.14
2017-09-17 06:12:19,2458013.759,20.26
2018-02-05 00:03:11,2458154.502,null
2018-02-05 01:49:21,2458154.576,null
2018-03-02 19:33:54,2458180.315,null
2018-03-02 23:47:03,2458180.491,null
2018-03-28 23:36:17,2458206.484,null
2018-03-29 01:23:02,2458206.558,null
2018-08-05 01:34:25,2458335.566,null
2018-09-03 17:36:51,2458365.234,null
2018-09-03 19:23:36,2458365.308,null
2018-09-27 17:34:10,2458389.232,null
2019-02-15 08:56:04,2458529.872,null
2019-03-17 20:30:14,2458560.354,null
2019-04-08 06:44:58,2458581.781,null
2019-04-08 08:31:07,2458581.855,null
2019-08-20 10:41:38,2458715.946,null
2019-09-21 06:07:18,2458747.755,null
2019-09-21 07:54:03,2458747.829,null

