Gaia17bxs
#Date,JD,averagemag.
2015-03-01 15:38:44,2457083.152,null
2015-03-01 17:25:30,2457083.226,null
2015-03-28 21:27:24,2457110.394,20.28
2015-03-28 23:13:59,2457110.468,20.45
2015-04-23 15:26:28,2457136.143,null
2015-04-23 17:12:38,2457136.217,null
2015-08-30 03:32:28,2457264.648,null
2015-09-29 09:09:44,2457294.882,19.64
2015-09-29 10:56:18,2457294.956,untrusted
2015-10-22 03:02:59,2457317.627,null
2016-01-26 13:22:19,2457414.057,untrusted
2016-01-26 17:36:00,2457414.233,20.47
2016-01-26 19:22:35,2457414.307,20.65
2016-01-26 23:36:16,2457414.484,20.25
2016-01-27 01:22:50,2457414.558,20.48
2016-01-27 05:36:31,2457414.734,untrusted
2016-01-27 07:23:05,2457414.808,20.66
2016-01-27 11:36:46,2457414.984,20.43
2016-01-27 13:23:21,2457415.058,untrusted
2016-01-27 17:37:01,2457415.234,20.45
2016-01-27 19:23:36,2457415.308,20.79
2016-01-27 23:37:16,2457415.484,20.43
2016-01-28 01:23:51,2457415.558,20.55
2016-01-28 05:37:32,2457415.734,20.39
2016-01-28 07:24:06,2457415.808,20.43
2016-01-28 11:37:47,2457415.985,20.42
2016-01-28 13:24:21,2457416.059,20.36
2016-01-28 17:38:02,2457416.235,20.37
2016-01-28 19:24:36,2457416.309,20.62
2016-01-28 23:38:17,2457416.485,20.17
2016-01-29 01:24:58,2457416.559,null
2016-01-29 05:38:33,2457416.735,20.60
2016-01-29 07:25:07,2457416.809,untrusted
2016-01-29 11:38:48,2457416.985,20.41
2016-01-29 13:25:23,2457417.059,untrusted
2016-03-11 04:47:56,2457458.700,null
2016-03-11 06:34:42,2457458.774,null
2016-04-12 10:29:01,2457490.937,null
2016-05-02 22:36:38,2457511.442,null
2016-05-03 00:23:13,2457511.516,untrusted
2016-05-03 04:37:09,2457511.692,null
2016-09-09 04:40:49,2457640.695,17.63
2016-09-09 06:27:22,2457640.769,17.58
2016-10-12 23:51:27,2457674.494,null
2016-10-30 22:05:28,2457692.420,null
2017-02-01 02:17:17,2457785.595,null
2017-02-01 06:31:02,2457785.772,null
2017-02-13 14:00:55,2457798.084,null
2017-02-13 15:47:41,2457798.158,null
2017-03-22 01:21:08,2457834.556,null
2017-04-29 18:57:02,2457873.290,null
2017-04-29 20:43:48,2457873.364,null
2017-04-30 00:57:34,2457873.540,null
2017-04-30 02:44:19,2457873.614,null
2017-05-11 07:07:04,2457884.797,null
2017-05-11 08:53:49,2457884.871,null
2017-05-11 13:07:01,2457885.047,untrusted
2017-05-11 14:53:46,2457885.121,null
2017-05-11 19:07:31,2457885.297,null
2017-07-30 13:35:28,2457965.066,17.13
2017-07-30 15:22:02,2457965.140,17.11
2017-07-30 19:35:41,2457965.316,17.17
2017-07-30 21:22:15,2457965.390,17.16
2017-08-12 21:30:17,2457978.396,19.47
2017-08-13 01:43:56,2457978.572,19.53
2017-08-13 03:30:30,2457978.646,19.53
2017-09-20 08:58:20,2458016.874,untrusted
2017-10-27 18:21:53,2458054.265,null
2017-10-27 20:08:38,2458054.339,null
2017-11-08 14:14:06,2458066.093,null
2017-11-08 18:27:50,2458066.269,null
2017-11-08 20:13:59,2458066.343,null
2018-02-10 02:54:45,2458159.621,untrusted
2018-04-02 02:32:01,2458210.606,null
2018-08-08 14:42:48,2458339.113,null
2018-08-08 16:28:58,2458339.187,null
2018-08-30 04:31:44,2458360.689,20.73
2018-08-30 08:45:28,2458360.865,null
2018-10-01 08:19:41,2458392.847,null
2018-10-01 10:06:25,2458392.921,null
2019-02-19 17:46:11,2458534.240,19.85
2019-04-12 23:29:42,2458586.479,20.23
2019-04-13 03:43:25,2458586.655,null
2019-08-24 21:45:58,2458720.407,null
2019-09-17 20:47:11,2458744.366,null
2019-09-17 22:33:56,2458744.440,null
2019-10-17 03:55:27,2458773.664,null
2019-10-17 05:42:12,2458773.738,null
2020-02-15 21:30:56,2458895.396,null
2020-02-16 01:44:42,2458895.573,null
2020-03-12 20:44:00,2458921.364,null
2020-03-12 22:30:18,2458921.438,20.55
2020-04-08 11:36:51,2458947.984,untrusted

