Gaia17cbj
#Date,JD,averagemag.
2015-02-18 04:17:28,2457071.679,null
2015-02-18 08:30:39,2457071.855,null
2015-03-15 22:16:04,2457097.428,null
2015-04-13 22:02:36,2457126.418,null
2015-05-26 01:17:09,2457168.554,null
2015-05-26 03:03:19,2457168.627,null
2015-06-03 03:09:52,2457176.632,null
2015-06-03 07:23:37,2457176.808,null
2015-06-03 09:10:22,2457176.882,null
2015-07-25 23:39:23,2457229.486,null
2015-07-26 01:26:07,2457229.560,null
2015-07-26 05:39:52,2457229.736,null
2015-07-26 07:26:37,2457229.810,null
2015-07-26 11:39:46,2457229.986,null
2015-07-26 13:26:31,2457230.060,null
2015-07-26 17:40:16,2457230.236,null
2015-07-26 19:27:00,2457230.310,null
2015-07-26 23:40:10,2457230.486,null
2015-07-27 01:26:55,2457230.560,null
2015-07-27 05:40:39,2457230.737,null
2015-07-27 07:27:24,2457230.811,null
2015-07-27 11:41:09,2457230.987,null
2015-07-27 13:27:18,2457231.061,null
2015-07-27 17:41:03,2457231.237,null
2015-07-27 19:27:48,2457231.311,null
2015-07-27 23:41:32,2457231.487,null
2015-07-28 01:27:42,2457231.561,null
2015-07-28 05:41:27,2457231.737,null
2015-07-28 07:28:11,2457231.811,null
2015-07-28 11:41:56,2457231.987,null
2015-07-28 13:28:06,2457232.061,null
2015-07-28 17:41:50,2457232.237,null
2015-07-28 19:28:35,2457232.312,null
2015-07-28 23:42:20,2457232.488,null
2015-09-12 10:29:18,2457277.937,null
2015-09-12 12:16:03,2457278.011,null
2015-10-09 00:01:24,2457304.501,null
2015-11-06 04:01:08,2457332.667,null
2015-11-06 05:47:17,2457332.741,null
2016-02-29 09:41:43,2457447.904,null
2016-02-29 11:28:28,2457447.978,null
2016-03-29 15:30:25,2457477.146,null
2016-04-23 21:23:33,2457502.391,null
2016-04-23 23:10:19,2457502.465,null
2016-08-02 08:18:38,2457602.846,null
2016-08-02 12:32:23,2457603.022,null
2016-08-02 14:19:07,2457603.097,null
2016-08-12 08:24:35,2457612.850,null
2016-08-12 12:38:19,2457613.027,null
2016-08-12 14:25:04,2457613.101,null
2016-09-22 11:34:43,2457653.982,null
2016-09-22 13:21:27,2457654.057,null
2016-10-22 18:59:18,2457684.291,null
2016-10-22 23:13:02,2457684.467,null
2016-11-16 06:56:26,2457708.789,null
2016-11-16 11:10:10,2457708.965,null
2016-11-16 12:56:55,2457709.040,null
2017-03-11 18:15:40,2457824.261,null
2017-04-12 23:52:08,2457856.495,null
2017-04-13 01:38:53,2457856.569,null
2017-05-04 13:38:33,2457878.068,null
2017-05-04 17:52:19,2457878.245,null
2017-08-12 02:51:13,2457977.619,17.82
2017-08-12 04:37:47,2457977.693,17.79
2017-08-27 02:55:56,2457992.622,18.37
2017-10-03 15:50:36,2458030.160,19.32
2017-11-07 07:36:03,2458064.817,null
2017-11-07 09:22:12,2458064.890,null
2017-11-07 13:35:55,2458065.067,untrusted
2017-11-27 01:41:55,2458084.571,null
2017-11-27 03:28:19,2458084.645,20.32
2017-11-27 07:42:24,2458084.821,null
2017-11-27 09:28:33,2458084.895,20.31
2018-01-28 03:24:31,2458146.642,null
2018-01-28 07:38:17,2458146.818,null
2018-01-28 09:24:27,2458146.892,null
2018-01-28 13:38:12,2458147.068,null
2018-02-12 07:48:50,2458161.826,null
2018-02-12 09:35:36,2458161.900,null
2018-02-12 13:49:21,2458162.076,null
2018-02-12 15:35:32,2458162.150,null
2018-03-22 21:12:31,2458200.384,null
2018-04-27 06:50:20,2458235.785,null
2018-04-27 08:37:05,2458235.859,null
2018-05-15 00:55:20,2458253.538,null
2018-05-15 02:42:06,2458253.613,null
2018-08-22 09:51:24,2458352.911,null
2018-08-22 11:38:09,2458352.985,null
2018-09-10 09:51:27,2458371.911,null
2018-09-10 11:37:37,2458371.984,null
2018-10-14 21:12:17,2458406.384,null
2018-10-14 22:58:26,2458406.457,null
2018-11-24 16:28:16,2458447.186,null
2018-11-24 20:42:00,2458447.363,null
2018-11-24 22:28:45,2458447.437,null
2018-11-25 02:42:29,2458447.613,null
2018-12-06 20:50:43,2458459.369,null
2018-12-06 22:37:28,2458459.443,null
2018-12-07 02:50:38,2458459.618,null
2018-12-07 04:37:22,2458459.693,null
2018-12-07 10:37:52,2458459.943,null
2019-02-07 10:34:53,2458521.941,null
2019-02-07 14:48:39,2458522.117,null
2019-02-07 16:34:49,2458522.191,null
2019-03-01 02:55:32,2458543.622,null
2019-03-01 04:42:18,2458543.696,null
2019-04-03 02:35:49,2458576.608,null
2019-04-03 04:22:34,2458576.682,null
2019-05-11 15:34:32,2458615.149,null
2019-05-25 01:55:23,2458628.580,null
2019-05-25 03:42:08,2458628.654,null
2019-08-12 02:47:03,2458707.616,null
2019-08-12 04:33:13,2458707.690,null
2019-08-12 08:46:57,2458707.866,null
2019-08-12 10:33:42,2458707.940,null
2019-09-03 23:08:37,2458730.464,null
2019-09-04 03:22:21,2458730.641,null

