Gaia17cdc
#Date,JD,averagemag.
2015-02-28 23:27:19,2457082.477,null
2015-03-29 15:26:51,2457111.144,18.68
2015-03-29 17:13:26,2457111.218,18.67
2015-04-22 23:15:19,2457135.469,18.58
2015-04-23 03:29:00,2457135.645,18.61
2015-08-29 09:33:19,2457263.898,18.65
2015-08-29 11:19:52,2457263.972,18.65
2015-09-29 21:06:43,2457295.380,18.65
2015-09-29 22:53:17,2457295.454,18.64
2015-10-21 03:02:18,2457316.627,18.61
2015-10-21 04:48:51,2457316.701,18.57
2016-01-23 23:32:24,2457411.481,18.76
2016-01-24 01:18:58,2457411.555,18.73
2016-01-24 05:32:45,2457411.731,null
2016-01-31 05:38:42,2457418.735,18.68
2016-01-31 07:25:17,2457418.809,18.66
2016-01-31 11:38:58,2457418.985,18.64
2016-01-31 13:25:32,2457419.059,18.63
2016-03-10 16:50:19,2457458.202,18.47
2016-04-13 10:29:08,2457491.937,18.75
2016-04-13 12:15:43,2457492.011,untrusted
2016-05-01 22:38:52,2457510.444,18.71
2016-05-02 00:25:27,2457510.518,18.72
2016-05-02 04:39:08,2457510.694,18.75
2016-10-13 11:47:55,2457674.992,18.47
2016-10-29 16:04:09,2457691.170,18.58
2016-10-29 17:50:43,2457691.244,18.59
2017-01-30 20:16:41,2457784.345,18.57
2017-01-31 00:30:22,2457784.521,18.57
2017-02-14 07:59:29,2457798.833,18.50
2017-02-14 09:46:04,2457798.907,18.48
2017-03-21 13:23:26,2457834.058,18.57
2017-05-02 19:00:46,2457876.292,18.55
2017-05-02 20:47:21,2457876.366,untrusted
2017-05-03 01:01:02,2457876.542,18.50
2017-05-03 02:47:36,2457876.616,18.56
2017-05-03 07:01:48,2457876.793,null
2017-05-03 08:47:58,2457876.867,null
2017-05-03 13:01:44,2457877.043,null
2017-05-03 14:48:29,2457877.117,null
2017-05-03 19:02:15,2457877.293,null
2017-05-03 20:48:26,2457877.367,null
2017-05-04 02:48:38,2457877.617,18.58
2017-05-07 08:51:51,2457880.869,18.42
2017-05-07 14:52:06,2457881.120,18.42
2017-05-07 19:05:46,2457881.296,18.41
2017-05-07 20:52:21,2457881.370,18.42
2017-05-08 01:06:26,2457881.546,null
2017-05-08 02:52:37,2457881.620,null
2017-05-08 07:06:22,2457881.796,null
2017-05-08 08:53:08,2457881.870,null
2017-05-08 13:06:54,2457882.046,null
2017-05-08 14:53:39,2457882.121,null
2017-05-08 19:06:50,2457882.296,null
2017-07-28 19:36:07,2457963.317,null
2017-07-28 21:22:16,2457963.390,null
2017-08-14 13:43:23,2457980.072,17.81
2017-08-14 15:29:57,2457980.146,17.98
2017-09-19 19:13:00,2458016.301,18.43
2017-10-28 08:05:20,2458054.837,18.38
2017-10-28 12:18:59,2458055.013,18.39
2017-10-28 14:05:33,2458055.087,18.40
2017-11-07 02:11:29,2458064.591,null
2017-11-07 06:24:45,2458064.767,18.48
2017-11-07 08:11:19,2458064.841,18.47
2018-02-09 02:55:28,2458158.622,18.51
2018-02-09 04:42:02,2458158.696,18.49
2018-04-01 14:34:56,2458210.108,null
2018-08-07 14:43:37,2458338.114,18.50
2018-08-07 16:30:10,2458338.188,18.52
2018-08-31 02:43:15,2458361.613,18.36
2018-08-31 04:29:48,2458361.687,18.36
2018-09-30 14:20:18,2458392.097,18.38
2018-09-30 16:06:52,2458392.171,18.41
2019-02-18 23:47:49,2458533.492,18.66
2019-03-15 03:55:47,2458557.664,18.62
2019-03-15 05:42:22,2458557.738,18.62
2019-04-12 11:32:40,2458585.981,18.36
2019-08-24 03:42:23,2458719.654,18.56
2019-09-18 14:49:14,2458745.118,18.63
2019-10-16 15:51:12,2458773.161,18.32
2019-10-16 17:37:46,2458773.235,18.32
2020-02-15 03:27:55,2458894.644,18.56
2020-02-15 07:41:36,2458894.821,18.57
2020-03-13 08:47:28,2458921.866,untrusted
2020-03-13 10:34:03,2458921.940,18.46
2020-04-07 17:35:05,2458947.233,18.38

