Gaia17cez
#Date,JD,averagemag.
2014-11-03 03:04:06,2456964.628,null
2015-01-01 14:30:56,2457024.105,null
2015-01-01 16:17:41,2457024.179,null
2015-02-08 21:52:20,2457062.411,null
2015-02-09 02:06:05,2457062.588,null
2015-03-09 02:01:29,2457090.584,null
2015-03-09 03:48:14,2457090.658,null
2015-04-12 03:27:59,2457124.644,null
2015-05-17 01:10:31,2457159.549,null
2015-06-10 13:05:19,2457184.045,null
2015-07-21 00:01:39,2457224.501,null
2015-07-21 01:47:49,2457224.575,null
2015-08-09 00:03:32,2457243.502,null
2015-08-09 01:50:16,2457243.577,null
2015-10-11 10:48:54,2457306.951,null
2015-10-11 12:35:04,2457307.024,null
2015-11-14 22:09:11,2457341.423,null
2015-11-14 23:55:56,2457341.497,null
2015-12-17 05:32:29,2457373.731,null
2016-01-14 09:39:00,2457401.902,null
2016-01-14 11:25:10,2457401.976,null
2016-02-22 03:13:58,2457440.635,null
2016-02-22 05:00:43,2457440.709,null
2016-03-22 09:06:59,2457469.880,null
2016-03-22 10:53:09,2457469.954,null
2016-04-23 08:48:39,2457501.867,null
2016-04-23 10:35:24,2457501.941,null
2016-05-29 15:57:18,2457538.165,null
2016-06-21 09:54:12,2457560.913,null
2016-06-21 14:07:57,2457561.089,null
2016-08-01 13:00:13,2457602.042,null
2016-08-01 14:46:58,2457602.116,null
2016-08-20 13:01:52,2457621.043,null
2016-08-20 14:48:37,2457621.117,null
2016-09-29 01:44:30,2457660.573,null
2016-10-23 19:34:20,2457685.316,null
2016-11-25 23:15:57,2457718.469,null
2016-12-30 04:50:50,2457752.702,null
2017-01-26 16:46:27,2457780.199,null
2017-01-26 18:33:12,2457780.273,null
2017-03-05 23:45:29,2457818.490,null
2017-03-06 01:31:39,2457818.564,null
2017-04-05 11:33:09,2457848.981,null
2017-04-05 13:19:55,2457849.055,null
2017-05-05 13:04:34,2457879.045,null
2017-06-12 04:32:44,2457916.689,null
2017-06-12 06:19:30,2457916.764,null
2017-07-03 12:18:59,2457938.013,null
2017-08-13 21:22:08,2457979.390,null
2017-08-13 23:08:53,2457979.465,null
2017-09-02 09:22:26,2457998.891,16.20
2017-09-02 11:09:00,2457998.965,16.18
2017-10-10 20:23:20,2458037.350,18.53
2017-10-10 22:09:54,2458037.424,18.68
2017-11-06 08:09:34,2458063.840,null
2017-12-08 01:45:02,2458095.573,null
2018-01-13 01:19:01,2458131.555,null
2018-01-13 03:05:46,2458131.629,null
2018-02-09 07:16:50,2458158.803,null
2018-02-09 09:03:35,2458158.877,null
2018-03-18 14:39:57,2458196.111,null
2018-04-19 12:35:59,2458228.025,null
2018-04-19 14:22:44,2458228.099,null
2018-05-17 14:10:53,2458256.091,null
2018-05-17 18:24:39,2458256.267,null
2018-06-25 11:32:04,2458294.981,null
2018-06-25 13:18:49,2458295.055,null
2018-07-15 13:19:39,2458315.055,null
2018-07-15 17:33:24,2458315.232,null
2018-08-25 22:22:21,2458356.432,null
2018-08-26 00:08:31,2458356.506,null
2018-09-15 10:20:43,2458376.931,null
2018-10-22 15:27:56,2458414.144,null
2018-11-19 21:09:54,2458442.382,null
2018-11-19 22:56:39,2458442.456,null
2018-12-20 08:51:51,2458472.869,null
2019-01-26 16:13:07,2458510.176,null
2019-01-26 20:26:17,2458510.352,null
2019-02-23 08:23:50,2458537.850,null
2019-02-23 10:10:35,2458537.924,null
2019-03-31 02:02:11,2458573.585,null
2019-03-31 03:48:57,2458573.659,null
2019-05-29 19:29:46,2458633.312,null
2019-07-08 12:31:20,2458673.022,null
2019-07-08 14:17:31,2458673.095,null
2019-07-30 20:46:32,2458695.366,null
2019-07-30 22:33:17,2458695.440,null
2019-08-28 21:42:27,2458724.404,null
2019-08-28 23:29:12,2458724.479,null

