Gaia17cgy
#Date,JD,averagemag.
2014-11-05 18:33:09,2456967.273,null
2015-01-08 19:29:59,2457031.312,null
2015-02-05 05:28:02,2457058.728,null
2015-03-12 12:28:56,2457094.020,null
2015-04-05 10:34:26,2457117.941,null
2015-04-05 12:20:36,2457118.014,null
2015-05-13 05:28:22,2457155.728,null
2015-06-07 03:35:24,2457180.650,null
2015-07-14 08:53:31,2457217.870,null
2015-08-12 14:41:03,2457247.112,null
2015-09-15 14:16:29,2457281.095,null
2015-10-18 07:57:10,2457313.831,null
2015-11-18 21:23:58,2457345.392,null
2015-12-19 21:03:45,2457376.378,null
2016-01-21 18:45:18,2457409.281,null
2016-03-24 05:42:45,2457471.738,null
2016-04-16 23:35:48,2457495.483,null
2016-05-24 18:30:32,2457533.271,null
2016-05-24 22:44:17,2457533.447,null
2016-06-19 10:36:51,2457558.942,null
2016-07-26 03:58:42,2457595.666,null
2016-08-25 05:30:59,2457625.730,null
2016-09-27 15:22:36,2457659.141,null
2016-10-30 09:02:31,2457691.877,null
2016-10-30 10:48:41,2457691.950,null
2016-12-01 02:41:43,2457723.612,null
2016-12-31 02:21:43,2457753.598,null
2016-12-31 04:08:28,2457753.673,null
2017-02-02 13:46:17,2457787.074,null
2017-02-02 15:33:02,2457787.148,null
2017-02-28 02:56:27,2457812.623,null
2017-02-28 04:43:12,2457812.697,null
2017-04-05 20:06:17,2457849.338,null
2017-07-02 19:01:10,2457937.292,null
2017-07-02 20:47:55,2457937.367,null
2017-08-08 00:26:43,2457973.519,null
2017-09-08 00:10:51,2458004.508,14.17
2017-09-08 01:57:25,2458004.582,14.17
2017-10-10 17:50:34,2458037.243,15.53
2017-11-12 11:30:02,2458069.979,16.11
2017-12-14 00:53:44,2458101.537,16.72
2017-12-14 05:07:24,2458101.713,16.68
2018-01-12 06:35:10,2458130.774,17.21
2018-02-15 10:09:39,2458164.923,17.83
2018-03-12 05:45:21,2458189.740,18.27
2018-04-18 09:07:03,2458226.880,null
2018-06-19 02:13:20,2458288.593,null
2018-06-19 04:00:05,2458288.667,null
2018-07-16 09:49:56,2458315.910,null
2018-08-20 19:32:28,2458351.314,null
2018-08-20 21:19:13,2458351.388,null
2018-09-21 13:15:31,2458383.052,null
2018-09-21 15:02:16,2458383.127,null
2018-10-23 18:56:17,2458415.289,null
2018-10-23 20:43:02,2458415.363,null
2018-12-27 01:56:51,2458479.581,null
2018-12-27 06:10:35,2458479.757,null
2019-02-28 00:56:49,2458542.539,null
2019-03-24 11:01:26,2458566.959,null
2019-03-24 12:47:36,2458567.033,null
2019-04-30 22:08:29,2458604.423,null
2019-04-30 23:55:14,2458604.497,null
2019-05-25 04:02:22,2458628.668,null
2019-05-25 05:49:07,2458628.742,null
2019-07-01 21:17:53,2458666.387,null
2019-07-28 07:02:00,2458692.793,null
2019-09-02 19:05:56,2458729.296,null
2019-09-02 20:52:06,2458729.370,null
2019-09-27 20:01:37,2458754.334,null

