Gaia17chx
#Date,JD,averagemag.
2014-08-28 08:45:31,2456897.865,null
2014-08-28 12:58:41,2456898.041,null
2015-01-12 08:33:34,2457034.857,null
2015-01-12 10:20:19,2457034.931,null
2015-01-31 04:19:35,2457053.680,null
2015-01-31 08:33:20,2457053.856,null
2015-03-10 21:10:12,2457092.382,null
2015-04-01 15:05:39,2457114.129,null
2015-05-08 00:34:00,2457150.524,null
2015-05-08 02:20:45,2457150.598,null
2015-06-08 12:14:55,2457182.010,null
2015-06-08 14:01:40,2457182.084,null
2015-07-10 00:02:43,2457213.502,null
2015-07-10 01:49:28,2457213.576,null
2015-08-18 19:26:34,2457253.310,null
2015-09-17 17:35:08,2457283.233,null
2015-09-17 19:21:18,2457283.306,null
2015-10-21 11:15:26,2457316.969,null
2015-10-21 13:02:12,2457317.043,null
2015-11-24 04:43:13,2457350.697,null
2015-11-24 06:29:23,2457350.770,null
2015-12-17 18:22:39,2457374.266,null
2016-01-24 09:32:27,2457411.898,null
2016-01-24 11:18:37,2457411.971,null
2016-02-11 23:18:21,2457430.471,null
2016-03-21 14:25:20,2457469.101,null
2016-04-13 22:04:28,2457492.420,null
2016-05-19 07:39:33,2457527.819,null
2016-05-19 09:26:18,2457527.893,null
2016-06-22 01:18:36,2457561.555,null
2016-06-22 03:05:21,2457561.629,null
2016-07-22 19:11:03,2457592.299,null
2016-07-22 20:57:48,2457592.373,null
2016-08-31 12:48:37,2457632.034,null
2016-08-31 14:35:22,2457632.108,null
2016-10-01 00:40:01,2457662.528,null
2016-10-01 02:26:47,2457662.602,null
2016-11-01 12:22:19,2457694.015,null
2016-11-01 14:09:04,2457694.090,null
2016-12-06 05:43:21,2457728.738,null
2016-12-06 07:29:32,2457728.812,null
2016-12-28 01:24:55,2457750.559,null
2017-02-04 06:17:28,2457788.762,null
2017-02-23 01:39:09,2457807.569,null
2017-04-02 04:50:03,2457845.701,null
2017-04-02 06:36:47,2457845.776,null
2017-04-27 10:39:48,2457870.944,null
2017-04-27 12:26:33,2457871.018,null
2017-05-31 22:08:27,2457905.423,null
2017-05-31 23:55:12,2457905.497,null
2017-07-06 17:33:09,2457941.231,null
2017-07-06 21:46:54,2457941.408,null
2017-08-05 21:41:42,2457971.404,null
2017-08-05 23:28:27,2457971.478,null
2017-09-13 21:19:42,2458010.389,18.54
2017-09-13 23:06:16,2458010.463,18.51
2017-10-15 03:06:31,2458041.630,19.06
2017-11-13 08:50:59,2458070.869,19.45
2017-11-13 10:37:34,2458070.943,19.40
2017-12-18 21:51:09,2458106.411,20.71
2018-01-08 14:01:56,2458127.085,null
2018-02-16 00:52:51,2458165.537,null
2018-03-07 08:37:30,2458184.859,null
2018-04-14 01:39:41,2458222.569,null
2018-05-11 07:26:17,2458249.810,null
2018-06-13 19:02:24,2458283.293,null
2018-07-21 10:53:11,2458320.954,null
2018-07-21 12:39:56,2458321.028,null
2018-08-20 04:50:12,2458350.702,null
2018-08-20 06:36:22,2458350.775,null
2018-09-26 18:14:57,2458388.260,null
2018-09-26 22:28:42,2458388.437,null
2018-11-25 03:56:44,2458447.664,null
2018-12-31 09:03:38,2458483.878,null
2018-12-31 10:50:23,2458483.952,null
2019-01-19 22:49:01,2458503.451,null
2019-02-27 13:52:07,2458542.078,null
2019-02-27 15:38:52,2458542.152,null
2019-03-20 01:49:22,2458562.576,null
2019-04-26 00:57:27,2458599.540,null
2019-04-26 02:44:11,2458599.614,null
2019-05-25 12:41:24,2458629.029,null
2019-06-27 00:23:20,2458661.516,null
2019-06-27 02:10:05,2458661.590,null
2019-07-23 13:57:41,2458688.082,null
2019-09-02 06:09:11,2458728.756,null
2019-09-23 06:51:49,2458749.786,null

