Gaia17cja
#Date,JD,averagemag.
2014-08-07 18:05:38,2456877.254,null
2014-08-07 19:52:22,2456877.328,null
2014-08-08 00:06:07,2456877.504,null
2014-08-08 01:52:51,2456877.578,null
2014-08-08 06:06:01,2456877.754,null
2014-08-08 07:52:45,2456877.828,null
2014-08-08 12:06:30,2456878.005,null
2014-08-08 13:53:14,2456878.079,null
2014-08-08 19:53:08,2456878.329,null
2014-08-28 00:26:21,2456897.518,null
2014-08-28 02:12:31,2456897.592,null
2014-08-28 06:26:16,2456897.768,null
2014-08-28 08:13:01,2456897.842,null
2014-11-06 22:01:16,2456968.418,null
2014-11-06 23:48:02,2456968.492,null
2014-11-07 04:01:47,2456968.668,null
2014-11-07 05:47:58,2456968.742,null
2015-01-16 09:02:10,2457038.877,null
2015-01-16 10:48:55,2457038.951,null
2015-02-03 21:03:55,2457057.378,null
2015-02-03 22:50:40,2457057.452,null
2015-03-20 03:21:50,2457101.640,null
2015-03-20 07:35:35,2457101.816,null
2015-03-20 09:22:20,2457101.891,null
2015-03-26 15:27:15,2457108.144,null
2015-03-26 19:40:59,2457108.320,null
2015-03-26 21:27:44,2457108.394,null
2015-03-27 01:41:29,2457108.570,null
2015-05-31 18:10:38,2457174.257,null
2015-05-31 19:57:23,2457174.332,null
2015-07-06 05:33:54,2457209.732,null
2015-08-15 11:06:50,2457249.963,null
2015-08-15 12:52:59,2457250.037,null
2015-08-15 17:06:44,2457250.213,null
2015-09-04 11:16:46,2457269.970,null
2015-09-04 13:02:56,2457270.044,null
2015-10-29 11:02:44,2457324.960,null
2015-10-29 12:49:29,2457325.034,null
2015-11-22 17:07:28,2457349.214,null
2015-11-22 18:54:14,2457349.288,null
2015-12-24 12:34:23,2457381.024,null
2016-01-29 15:59:45,2457417.166,null
2016-01-29 17:45:56,2457417.240,null
2016-02-14 04:04:24,2457432.670,null
2016-03-30 02:29:22,2457477.604,null
2016-03-30 04:16:07,2457477.678,null
2016-03-30 08:29:52,2457477.854,null
2016-03-30 10:16:02,2457477.928,null
2016-04-07 04:22:02,2457485.682,null
2016-04-07 08:35:47,2457485.858,null
2016-05-21 01:15:40,2457529.553,null
2016-05-21 03:01:50,2457529.626,null
2016-06-14 07:07:45,2457553.797,null
2016-07-17 06:42:36,2457586.780,null
2016-09-01 12:17:16,2457633.012,null
2016-09-01 14:04:00,2457633.086,null
2016-09-01 18:17:45,2457633.262,null
2016-09-01 20:03:55,2457633.336,null
2016-09-02 00:17:40,2457633.512,null
2016-09-16 18:28:11,2457648.270,null
2016-09-16 20:14:56,2457648.344,null
2016-09-17 00:28:41,2457648.520,null
2016-09-17 02:15:26,2457648.594,null
2016-09-17 06:28:36,2457648.770,null
2016-09-17 08:15:21,2457648.844,null
2016-11-09 08:00:39,2457701.834,null
2016-11-09 12:14:25,2457702.010,null
