Gaia17ckl
#Date,JD,averagemag.
2014-11-17 13:03:48,2456979.044,null
2015-03-11 05:30:39,2457092.730,null
2015-03-11 09:44:24,2457092.906,null
2015-03-25 03:51:30,2457106.661,null
2015-03-25 05:38:15,2457106.735,null
2015-05-01 15:08:39,2457144.131,null
2015-06-07 08:47:31,2457180.866,null
2015-06-07 10:34:17,2457180.940,null
2015-06-25 22:45:21,2457199.448,null
2015-06-26 02:59:06,2457199.624,null
2015-06-26 04:45:17,2457199.698,null
2015-09-03 21:05:50,2457269.379,null
2015-09-03 22:52:34,2457269.453,null
2015-09-04 03:06:19,2457269.629,null
2015-09-04 04:52:28,2457269.703,null
2015-09-18 11:01:16,2457283.959,null
2015-09-18 15:15:00,2457284.135,null
2015-09-18 17:01:44,2457284.210,null
2015-10-27 10:30:47,2457322.938,null
2015-12-01 09:44:50,2457357.906,null
2015-12-01 13:58:34,2457358.082,null
2015-12-17 02:00:43,2457373.584,null
2015-12-17 03:47:27,2457373.658,null
2016-03-19 22:45:50,2457467.448,null
2016-03-20 00:32:01,2457467.522,null
2016-04-07 12:35:51,2457486.025,null
2016-05-12 00:05:31,2457520.504,null
2016-06-26 16:00:11,2457566.167,null
2016-06-26 22:00:07,2457566.417,null
2016-06-26 23:46:52,2457566.491,null
2016-06-27 04:00:38,2457566.667,null
2016-06-27 05:46:48,2457566.741,null
2016-06-27 10:00:34,2457566.917,null
2016-06-27 11:47:19,2457566.991,null
2016-06-27 16:01:05,2457567.167,null
2016-06-27 17:47:50,2457567.242,null
2016-06-27 22:01:01,2457567.417,null
2016-06-27 23:47:46,2457567.492,null
2016-06-28 05:48:17,2457567.742,null
2016-07-01 11:51:28,2457570.994,null
2016-07-01 17:51:24,2457571.244,null
2016-07-01 22:05:10,2457571.420,null
2016-07-01 23:51:55,2457571.494,null
2016-07-02 04:05:41,2457571.671,null
2016-07-02 05:51:51,2457571.744,null
2016-07-02 10:05:37,2457571.921,null
2016-07-02 11:52:22,2457571.995,null
2016-07-02 16:06:07,2457572.171,null
2016-07-02 17:52:18,2457572.245,null
2016-07-02 22:06:03,2457572.421,null
2016-07-02 23:52:48,2457572.495,null
2016-07-03 04:06:34,2457572.671,null
2016-07-03 05:52:44,2457572.745,null
2016-07-03 10:06:30,2457572.921,null
2016-09-12 22:14:23,2457644.427,null
2016-09-13 00:01:08,2457644.501,null
2016-09-13 04:14:52,2457644.677,null
2016-09-13 06:01:37,2457644.751,null
2016-10-04 16:18:34,2457666.180,null
2016-10-04 18:05:18,2457666.254,null
2016-11-06 09:51:41,2457698.911,null
2016-11-06 11:38:26,2457698.985,null
2016-12-14 10:39:12,2457736.944,null
2016-12-14 14:52:56,2457737.120,null
2016-12-25 02:58:32,2457747.624,null
2016-12-25 04:44:42,2457747.698,null
2017-03-30 02:58:36,2457842.624,null
2017-04-22 01:10:11,2457865.549,null
2017-05-23 12:53:19,2457897.037,null
2017-05-23 14:39:30,2457897.111,null
2017-09-24 00:46:19,2458020.532,18.52
2017-09-24 02:32:53,2458020.606,18.56
2017-10-20 00:40:14,2458046.528,null
2017-10-20 02:26:31,2458046.602,19.72
2017-11-17 06:20:33,2458074.764,null
2017-12-29 11:10:41,2458116.966,null
2017-12-29 12:57:25,2458117.040,null
2017-12-29 17:11:10,2458117.216,null
2017-12-29 18:57:55,2458117.290,null
2017-12-29 23:11:39,2458117.466,null
2017-12-30 00:57:49,2458117.540,null
2017-12-30 05:11:33,2458117.716,null
2017-12-31 23:13:12,2458119.468,null
2018-01-01 05:13:06,2458119.717,null
2018-01-01 06:59:51,2458119.792,null
2018-01-01 11:13:35,2458119.968,null
2018-01-01 13:00:20,2458120.042,null
2018-01-01 17:13:29,2458120.218,null
2018-01-01 19:00:14,2458120.292,null
2018-01-01 23:13:58,2458120.468,null
2018-01-02 01:00:43,2458120.542,null
2018-04-09 16:05:15,2458218.170,null
2018-04-09 20:19:01,2458218.347,null
2018-06-04 02:04:57,2458273.587,null
2018-06-04 03:51:07,2458273.660,null
2018-10-05 07:55:51,2458396.830,null
2018-10-05 09:42:36,2458396.905,null
2018-11-03 15:23:43,2458426.141,null
2018-11-27 15:11:51,2458450.133,null
2019-03-02 18:02:43,2458545.252,null
2019-03-02 22:15:53,2458545.428,null
2019-03-03 00:02:39,2458545.502,null
2019-03-10 22:22:31,2458553.432,null
2019-03-11 00:09:16,2458553.506,null
2019-04-20 15:27:26,2458594.144,null
2019-04-20 17:13:37,2458594.218,null
2019-05-22 03:11:45,2458625.633,null
2019-05-22 04:57:56,2458625.707,null
2019-06-15 11:02:41,2458649.960,null
2019-06-15 15:16:27,2458650.136,null
2019-09-05 08:05:12,2458731.837,null
2019-09-05 09:51:57,2458731.911,null
2019-09-14 04:01:14,2458740.668,null
2019-09-14 08:14:58,2458740.844,null

