Gaia17cqe
#Date,JD,averagemag.
2014-07-28 10:16:16,2456866.928,null
2014-07-28 16:16:11,2456867.178,null
2014-07-28 18:02:55,2456867.252,null
2014-07-28 22:16:40,2456867.428,null
2014-07-29 00:02:49,2456867.502,null
2014-07-29 04:16:34,2456867.678,null
2014-07-29 06:03:18,2456867.752,null
2014-07-29 10:17:03,2456867.929,null
2014-07-29 12:03:13,2456868.002,null
2014-07-29 18:03:42,2456868.253,null
2014-11-05 23:42:19,2456967.488,null
2014-11-27 11:39:47,2456988.986,null
2015-02-05 16:46:52,2457059.199,null
2015-02-05 18:33:37,2457059.273,null
2015-02-05 22:47:23,2457059.450,null
2015-02-06 00:33:33,2457059.523,null
2015-02-27 04:56:48,2457080.706,null
2015-02-27 06:42:58,2457080.780,null
2015-02-27 10:56:44,2457080.956,null
2015-04-17 18:22:10,2457130.265,null
2015-04-17 22:35:54,2457130.442,null
2015-04-18 00:22:39,2457130.516,null
2015-05-15 00:19:29,2457157.514,null
2015-05-15 04:33:13,2457157.690,null
2015-06-16 10:11:37,2457189.925,null
2015-06-16 11:58:21,2457189.999,null
2015-07-25 03:17:45,2457228.637,null
2015-07-25 05:04:30,2457228.711,null
2015-08-11 09:20:57,2457245.890,null
2015-08-11 11:07:42,2457245.964,null
2015-09-24 21:36:21,2457290.400,null
2015-09-25 01:50:07,2457290.576,null
2015-10-07 01:56:56,2457302.581,null
2015-10-07 03:43:06,2457302.655,null
2015-11-16 18:46:17,2457343.282,null
2015-11-16 20:33:03,2457343.356,null
2015-12-11 00:39:07,2457367.527,null
2015-12-11 02:25:52,2457367.601,null
2016-01-10 14:06:04,2457398.088,null
2016-02-21 17:57:05,2457440.248,null
2016-02-21 19:43:50,2457440.322,null
2016-02-21 23:57:36,2457440.498,null
2016-02-22 01:43:46,2457440.572,null
2016-03-12 07:54:32,2457459.830,null
2016-03-12 12:08:17,2457460.006,null
2016-03-12 13:55:02,2457460.080,null
2016-03-12 18:08:47,2457460.256,null
2016-04-29 05:45:28,2457507.740,null
2016-04-29 07:32:12,2457507.814,null
2016-05-29 05:33:47,2457537.732,null
2016-06-27 05:17:34,2457566.721,null
2016-06-27 07:04:18,2457566.795,null
2016-08-06 18:00:09,2457607.250,null
2016-08-06 22:13:54,2457607.426,null
2016-08-21 10:18:57,2457621.930,null
2016-08-21 12:05:42,2457622.004,null
2016-10-04 22:33:19,2457666.440,null
2016-10-05 02:47:04,2457666.616,null
2016-10-18 20:52:59,2457680.370,null
2016-10-18 22:39:45,2457680.444,null
2016-11-26 19:52:02,2457719.328,null
2016-12-23 19:39:34,2457746.319,null
2016-12-23 21:26:20,2457746.393,null
2017-01-21 07:29:59,2457774.812,null
2017-03-08 08:31:42,2457820.855,null
2017-03-08 10:17:52,2457820.929,null
2017-03-08 14:31:37,2457821.105,null
2017-03-08 16:18:22,2457821.179,null
2017-03-28 04:29:11,2457840.687,null
2017-03-28 08:42:56,2457840.863,null
2017-03-28 10:29:06,2457840.937,null
2017-05-11 14:17:08,2457885.095,null
2017-05-11 16:03:53,2457885.169,null
2017-06-12 19:55:34,2457917.330,null
2017-06-12 21:41:44,2457917.404,null
2017-07-08 19:44:45,2457943.323,null
2017-07-08 21:31:30,2457943.397,null
2017-08-20 02:18:22,2457985.596,null
2017-08-20 06:32:06,2457985.772,null
2017-09-01 12:38:12,2457998.027,null
2017-09-01 14:24:57,2457998.101,null
2017-10-15 17:07:47,2458042.214,16.70
2017-10-15 18:54:22,2458042.288,16.84
2017-10-31 23:12:15,2458058.467,18.14
2017-11-01 00:58:49,2458058.541,18.06
2017-12-07 18:08:03,2458095.256,null
2018-01-06 22:03:55,2458125.419,null
2018-01-06 23:50:40,2458125.494,null
2018-02-02 04:02:48,2458151.669,null
2018-02-02 05:49:34,2458151.743,null
2018-03-22 21:43:29,2458200.405,null
2018-03-22 23:30:14,2458200.479,null
2018-03-23 03:43:24,2458200.655,null
2018-03-23 05:30:09,2458200.729,null
2018-04-13 15:52:28,2458222.161,null
2018-04-13 17:38:38,2458222.235,null
2018-04-13 21:52:22,2458222.411,null
2018-06-27 08:53:23,2458296.870,null
2018-09-01 19:27:24,2458363.311,null
2018-09-01 21:14:08,2458363.385,null
2018-09-13 01:34:03,2458374.565,null
2018-09-13 03:20:48,2458374.639,null
2018-10-26 12:08:35,2458418.006,null
2018-11-14 06:10:04,2458436.757,null
2018-11-14 07:56:49,2458436.831,null
2018-12-18 23:29:58,2458471.479,null
2018-12-19 01:16:43,2458471.553,null
2019-01-21 17:08:36,2458505.214,null
2019-01-21 18:55:22,2458505.288,null
2019-02-14 11:13:39,2458528.968,null
2019-02-14 13:00:24,2458529.042,null
2019-02-14 17:14:10,2458529.218,null
2019-04-05 04:54:15,2458578.704,null
2019-04-05 06:41:00,2458578.778,null
2019-04-05 10:54:45,2458578.955,null
2019-04-05 12:40:55,2458579.028,null
2019-04-29 18:45:02,2458603.281,null
2019-04-29 22:58:46,2458603.457,null
2019-07-11 11:36:28,2458675.984,null
2019-07-25 13:40:53,2458690.070,null
2019-07-25 17:54:37,2458690.246,null
2019-08-19 18:35:11,2458715.274,null
2019-08-19 20:21:56,2458715.349,null

