Gaia17cqf
#Date,JD,averagemag.
2014-11-13 21:56:24,2456975.414,null
2015-01-16 16:23:12,2457039.183,null
2015-01-27 22:29:37,2457050.437,null
2015-01-28 02:43:23,2457050.613,null
2015-03-11 20:57:31,2457093.373,null
2015-03-28 19:12:51,2457110.301,null
2015-03-28 20:59:36,2457110.375,null
2015-05-05 06:20:00,2457147.764,null
2015-05-05 08:06:44,2457147.838,null
2015-06-07 01:43:44,2457180.572,null
2015-06-07 05:57:29,2457180.748,null
2015-07-04 05:56:41,2457207.748,null
2015-07-04 07:42:50,2457207.821,null
2015-08-24 23:38:08,2457259.485,null
2015-08-25 01:24:18,2457259.559,null
2015-08-25 05:38:03,2457259.735,null
2015-09-16 17:48:22,2457282.242,null
2015-09-16 19:34:32,2457282.316,null
2015-10-25 01:12:53,2457320.551,null
2015-11-27 10:55:09,2457353.955,null
2015-11-27 12:41:54,2457354.029,null
2015-12-18 04:53:20,2457374.704,null
2015-12-18 06:40:06,2457374.778,null
2016-01-28 15:32:28,2457416.148,null
2016-01-28 17:18:39,2457416.221,null
2016-02-07 23:25:12,2457426.476,null
2016-02-08 03:38:22,2457426.652,null
2016-03-21 14:10:27,2457469.091,null
2016-03-21 15:57:12,2457469.165,null
2016-04-10 08:08:53,2457488.840,null
2016-04-10 09:55:38,2457488.914,null
2016-05-16 01:27:05,2457524.560,null
2016-05-16 03:13:15,2457524.634,null
2016-06-21 20:47:41,2457561.366,null
2016-06-22 01:01:25,2457561.543,null
2016-06-22 02:48:10,2457561.617,null
2016-07-16 13:07:15,2457586.047,null
2016-07-16 14:54:00,2457586.121,null
2016-09-06 08:36:25,2457637.859,null
2016-09-06 12:50:10,2457638.035,null
2016-09-06 14:36:21,2457638.109,null
2016-10-01 12:55:31,2457663.039,null
2016-10-01 14:41:42,2457663.112,null
2016-11-04 14:22:04,2457697.099,null
2016-12-09 17:53:18,2457732.245,null
2016-12-09 19:40:03,2457732.319,null
2016-12-27 17:55:30,2457750.247,null
2016-12-27 19:42:16,2457750.321,null
2017-02-07 22:27:23,2457792.436,null
2017-02-08 00:13:33,2457792.509,null
2017-02-18 17:55:51,2457803.247,null
2017-02-18 19:42:36,2457803.321,null
2017-04-01 10:34:36,2457844.941,null
2017-04-01 12:21:20,2457845.015,null
2017-04-24 06:14:51,2457867.760,null
2017-05-28 03:57:31,2457901.665,null
2017-07-08 11:17:20,2457942.970,null
2017-07-08 15:31:04,2457943.147,null
2017-07-08 17:17:49,2457943.221,null
2017-07-30 09:41:17,2457964.904,null
2017-07-30 11:28:02,2457964.978,null
2017-07-30 15:41:12,2457965.154,null
2017-07-30 17:27:57,2457965.228,null
2017-09-19 05:10:34,2458015.716,null
2017-09-19 09:23:45,2458015.891,null
2017-10-16 15:22:05,2458043.140,16.30
2017-10-16 17:08:40,2458043.214,16.32
2017-11-15 21:05:54,2458073.379,16.86
2017-11-15 22:52:28,2458073.453,16.84
2017-12-22 20:13:01,2458110.342,17.10
2017-12-22 21:59:35,2458110.416,17.12
2018-01-07 04:04:00,2458125.669,17.30
2018-03-03 00:50:39,2458180.535,19.22
2018-03-03 02:37:13,2458180.609,19.27
2018-04-12 13:24:16,2458221.059,19.57
2018-05-08 13:12:10,2458247.050,null
2018-06-09 06:52:32,2458278.786,null
2018-07-25 12:28:01,2458325.019,20.28
2018-07-25 16:41:41,2458325.196,20.15
2018-07-25 18:28:15,2458325.270,20.30
2018-07-25 22:42:03,2458325.446,null
2018-08-14 16:54:02,2458345.204,null
2018-08-14 18:40:06,2458345.278,untrusted
2018-08-14 22:53:46,2458345.454,20.37
2018-08-15 00:40:42,2458345.528,null
2018-10-01 12:21:02,2458393.015,null
2018-10-01 16:34:47,2458393.191,null
2018-10-31 04:24:25,2458422.684,null
2018-10-31 06:11:11,2458422.758,null
2018-11-26 22:13:11,2458449.426,null
2018-11-26 23:59:21,2458449.500,null
2019-01-04 15:09:51,2458488.132,null
2019-01-04 16:56:37,2458488.206,null
2019-01-17 15:15:57,2458501.136,null
2019-01-17 17:02:07,2458501.210,null
2019-03-01 13:41:36,2458544.071,null
2019-03-01 15:28:21,2458544.145,null
2019-03-15 19:46:08,2458558.324,null
2019-03-15 21:32:53,2458558.398,null
2019-05-23 06:24:51,2458626.767,null
2019-06-21 18:15:08,2458656.261,null
2019-06-21 20:01:53,2458656.335,null
2019-07-20 21:25:57,2458685.393,null
2019-09-04 04:37:27,2458730.693,null
2019-09-04 06:23:37,2458730.766,null
2019-09-19 00:47:24,2458745.533,null

