Gaia17csj
#Date,JD,averagemag.
2014-08-26 16:43:30,2456896.197,null
2014-08-26 18:29:51,2456896.271,20.14
2014-09-30 19:28:52,2456931.312,untrusted
2014-09-30 21:15:26,2456931.386,untrusted
2014-11-13 17:54:39,2456975.246,null
2014-11-13 19:41:24,2456975.320,null
2014-11-25 00:01:16,2456986.501,20.11
2014-11-25 01:47:50,2456986.575,20.09
2015-01-04 00:37:25,2457026.526,20.04
2015-01-28 10:42:40,2457050.946,untrusted
2015-01-28 12:29:15,2457051.020,20.11
2015-02-27 18:12:31,2457081.259,null
2015-02-27 22:26:17,2457081.435,null
2015-04-13 16:05:04,2457126.170,null
2015-04-13 17:51:35,2457126.244,untrusted
2015-04-13 22:05:15,2457126.420,19.93
2015-04-13 23:51:49,2457126.494,20.03
2015-05-02 04:17:11,2457144.679,null
2015-05-02 06:03:56,2457144.753,null
2015-05-02 10:17:41,2457144.929,null
2015-05-02 12:03:51,2457145.003,null
2015-06-20 23:42:31,2457194.488,null
2015-07-21 09:43:11,2457224.905,null
2015-07-21 11:29:38,2457224.979,untrusted
2015-08-18 21:27:40,2457253.394,null
2015-09-28 08:21:09,2457293.848,null
2015-09-28 10:07:15,2457293.922,untrusted
2015-10-11 08:26:13,2457306.852,null
2015-10-11 10:12:58,2457306.926,null
2015-11-24 06:51:15,2457350.786,20.05
2015-11-24 08:37:49,2457350.860,20.20
2016-01-14 19:43:21,2457402.322,20.13
2016-02-11 11:43:26,2457429.988,20.06
2016-02-11 13:30:01,2457430.063,untrusted
2016-03-10 13:22:46,2457458.057,20.04
2016-03-10 17:36:27,2457458.234,20.12
2016-04-28 17:17:56,2457507.221,20.05
2016-04-28 19:04:31,2457507.295,null
2016-04-28 23:18:16,2457507.471,null
2016-04-29 01:04:45,2457507.545,20.14
2016-05-17 23:29:46,2457526.479,untrusted
2016-05-18 01:16:20,2457526.553,20.13
2016-05-18 05:30:00,2457526.729,20.17
2016-07-02 11:05:03,2457571.962,20.11
2016-07-02 12:51:37,2457572.036,20.09
2016-08-04 04:41:43,2457604.696,20.06
2016-08-29 04:32:05,2457629.689,null
2016-08-29 06:18:27,2457629.763,20.15
2016-10-10 05:02:15,2457671.710,20.08
2016-10-10 09:16:04,2457671.886,null
2016-10-21 03:21:56,2457682.640,20.10
2016-10-21 05:08:54,2457682.715,null
2016-12-03 15:36:29,2457726.150,null
2016-12-03 19:50:15,2457726.327,null
2016-12-19 13:54:07,2457742.079,null
2016-12-19 15:40:53,2457742.153,null
2017-01-24 20:50:42,2457778.369,20.07
2017-02-24 20:08:24,2457809.339,null
2017-02-24 21:54:59,2457809.413,20.17
2017-03-22 15:56:15,2457835.164,20.06
2017-03-22 20:09:55,2457835.340,untrusted
2017-03-22 21:56:30,2457835.414,20.10
2017-05-13 07:52:46,2457886.828,20.12
2017-05-13 09:39:20,2457886.902,20.09
2017-05-13 13:53:00,2457887.078,19.99
2017-05-13 15:39:34,2457887.152,20.09
2017-06-04 03:48:48,2457908.659,20.14
2017-06-04 08:02:28,2457908.835,untrusted
2017-06-04 09:49:02,2457908.909,20.10
2017-07-14 13:36:00,2457949.067,20.07
2017-07-14 15:22:33,2457949.141,20.17
2017-08-18 13:02:04,2457984.043,null
2017-09-09 08:43:44,2458005.864,20.23
2017-10-22 13:19:41,2458049.055,19.06
2017-10-22 17:33:21,2458049.231,19.02
2017-11-01 05:39:26,2458058.736,20.03
2017-11-01 07:26:00,2458058.810,null
2017-12-14 04:12:43,2458101.675,20.17
2018-01-01 18:00:17,2458120.250,20.19
2018-02-05 03:35:11,2458154.649,null
2018-03-12 03:13:40,2458189.634,20.06
2018-03-12 05:00:14,2458189.708,20.07
2018-04-04 05:07:39,2458212.714,20.06
2018-04-04 09:21:19,2458212.890,untrusted
2018-04-04 11:07:53,2458212.964,untrusted
2018-05-26 21:04:08,2458265.378,untrusted
2018-05-26 22:50:42,2458265.452,19.99
2018-06-20 16:55:01,2458290.205,20.00
2018-06-20 21:08:40,2458290.381,19.87
2018-07-26 14:44:13,2458326.114,null
2018-07-26 16:30:18,2458326.188,20.19
2018-09-01 13:58:22,2458363.082,null
2018-09-20 07:58:20,2458381.832,19.95
2018-09-20 09:44:54,2458381.906,20.10
2018-11-03 02:14:29,2458425.593,20.12
2018-11-03 06:28:26,2458425.770,null
2018-11-13 00:34:31,2458435.524,20.16
2018-11-13 02:21:05,2458435.598,untrusted
2018-12-24 17:15:16,2458477.219,19.94
2019-01-15 05:12:08,2458498.717,19.93
2019-02-16 10:44:26,2458530.948,null
2019-02-16 12:31:11,2458531.022,null
2019-03-28 04:22:01,2458570.682,19.95
2019-03-28 06:08:35,2458570.756,20.07
2019-04-17 16:33:41,2458591.190,null
2019-04-17 18:19:51,2458591.264,null
2019-04-17 22:33:36,2458591.440,null
2019-06-08 16:14:34,2458643.177,19.97
2019-06-08 18:01:29,2458643.251,null
2019-07-06 11:57:53,2458670.999,20.06
2019-07-06 16:11:33,2458671.175,20.01
2019-07-18 13:24:46,2458683.059,untrusted
2019-08-21 14:54:32,2458717.121,null
2019-10-01 16:33:40,2458758.190,20.03
2019-10-01 20:47:19,2458758.366,20.00
2019-10-01 22:34:06,2458758.440,null
2019-10-21 21:14:19,2458778.385,20.01
2019-10-21 23:01:16,2458778.459,null
2019-10-22 03:15:01,2458778.635,null
2019-10-22 05:01:10,2458778.709,null
2019-12-10 18:56:32,2458828.289,null
2019-12-10 23:10:18,2458828.465,null
2020-01-06 00:04:51,2458854.503,20.23
2020-01-06 01:51:26,2458854.577,20.14
2020-02-04 19:23:35,2458884.308,19.95
2020-02-04 21:10:10,2458884.382,20.15
2020-03-13 03:33:21,2458921.648,null
2020-03-13 05:19:48,2458921.722,20.13
2020-03-28 11:45:18,2458936.990,20.03
2020-03-28 15:58:59,2458937.166,20.06
2020-05-12 08:43:59,2458981.864,20.12
2020-05-12 12:57:39,2458982.040,19.94

