Gaia17css
#Date,JD,averagemag.
2014-09-08 12:45:43,2456909.032,untrusted
2014-10-13 02:06:48,2456943.588,untrusted
2015-02-28 03:29:37,2457081.646,null
2015-02-28 05:15:48,2457081.719,null
2015-03-27 09:18:14,2457108.888,18.67
2015-03-27 11:04:49,2457108.962,18.67
2015-04-20 23:04:12,2457133.461,18.64
2015-04-21 03:17:54,2457133.637,18.66
2015-10-01 05:03:39,2457296.711,18.66
2016-03-09 12:25:44,2457457.018,null
2016-03-09 16:39:11,2457457.194,18.63
2016-04-10 22:18:53,2457489.430,18.68
2016-04-11 00:05:27,2457489.504,18.66
2016-04-29 16:27:20,2457508.186,null
2016-04-29 18:14:05,2457508.260,null
2016-04-29 22:27:25,2457508.436,18.66
2016-09-10 22:49:10,2457642.451,18.63
2016-09-11 00:35:44,2457642.525,18.64
2016-10-15 04:11:47,2457676.675,18.65
2016-10-15 05:58:21,2457676.749,18.60
2016-10-31 04:14:54,2457692.677,untrusted
2016-10-31 06:01:27,2457692.751,18.62
2017-02-01 02:07:09,2457785.588,18.65
2017-02-01 06:20:50,2457785.764,18.61
2017-02-11 01:50:59,2457795.577,18.61
2017-02-11 03:37:33,2457795.651,18.62
2017-03-20 07:12:30,2457832.800,18.66
2017-04-28 18:46:39,2457872.282,18.63
2017-04-28 20:33:14,2457872.356,18.64
2017-04-29 00:46:55,2457872.533,18.54
2017-04-29 02:33:30,2457872.607,18.62
2017-04-29 06:47:11,2457872.783,18.61
2017-04-29 08:33:50,2457872.857,null
2017-05-06 06:53:51,2457879.787,18.65
2017-05-06 08:40:25,2457879.861,18.63
2017-05-06 12:54:06,2457880.038,18.65
2017-05-06 14:40:41,2457880.112,18.62
2017-05-06 18:54:22,2457880.288,18.58
2017-05-06 20:40:56,2457880.362,18.61
2017-08-03 07:47:30,2457968.825,18.51
2017-08-03 09:34:04,2457968.899,18.57
2017-08-03 13:47:43,2457969.075,18.51
2017-08-03 15:34:17,2457969.149,18.51
2017-08-14 15:41:13,2457980.154,18.50
2017-08-14 19:54:52,2457980.330,18.52
2017-08-14 21:41:26,2457980.404,18.52
2017-08-15 01:55:04,2457980.580,null
2017-10-31 00:30:14,2458057.521,17.47
2017-10-31 02:16:47,2458057.595,17.49
2017-10-31 06:30:26,2458057.771,17.49
2017-11-07 12:35:23,2458065.025,17.48
2017-11-07 14:21:56,2458065.099,17.47
2017-11-07 18:35:35,2458065.275,17.48
2017-11-07 20:22:09,2458065.349,17.48
2018-02-09 02:44:11,2458158.614,18.54
2018-02-09 04:30:46,2458158.688,untrusted
2018-03-31 02:24:27,2458208.600,null
2018-08-11 08:52:17,2458341.870,18.64
2018-08-11 10:39:09,2458341.944,null
2018-09-01 02:54:41,2458362.621,null
2018-09-01 04:41:25,2458362.695,null
2018-10-02 20:28:43,2458394.353,null
2019-02-18 09:49:47,2458532.910,null
2019-02-18 11:36:15,2458532.984,untrusted
2019-03-12 21:48:01,2458555.408,18.64
2019-03-12 23:34:36,2458555.482,18.63
2019-04-10 21:36:01,2458584.400,null
2019-08-23 14:06:25,2458719.088,18.59
2019-08-23 15:52:59,2458719.162,18.65
2019-09-16 04:39:22,2458742.694,null
2019-09-16 08:52:46,2458742.870,untrusted
2019-10-14 23:45:17,2458771.490,18.64
2020-02-18 03:26:11,2458897.643,18.65
2020-03-14 14:38:57,2458923.110,18.66
2020-03-14 16:25:32,2458923.184,18.69
2020-04-09 17:30:01,2458949.229,18.65

