Gaia17cza
#Date,JD,averagemag.
2014-10-28 06:31:48,2456958.772,null
2014-10-28 08:17:58,2456958.846,null
2015-01-08 01:57:27,2457030.582,null
2015-01-08 06:11:11,2457030.758,null
2015-02-10 17:45:14,2457064.240,null
2015-02-10 19:31:58,2457064.314,null
2015-03-17 12:46:38,2457099.032,null
2015-03-17 17:00:23,2457099.209,null
2015-04-06 04:58:25,2457118.707,null
2015-04-06 06:44:35,2457118.781,null
2015-05-19 11:20:02,2457161.972,null
2015-05-19 15:33:47,2457162.148,null
2015-06-01 05:26:23,2457174.727,null
2015-06-01 09:40:08,2457174.903,null
2015-07-14 10:11:59,2457217.925,null
2015-08-06 14:23:15,2457241.099,null
2015-08-06 16:10:01,2457241.174,null
2015-09-10 01:55:52,2457275.580,null
2015-10-18 13:34:26,2457314.066,null
2015-10-18 15:20:36,2457314.139,null
2015-11-10 13:42:38,2457337.071,null
2015-11-10 15:29:23,2457337.145,null
2015-11-10 19:43:08,2457337.322,null
2015-12-27 01:19:15,2457383.555,null
2015-12-27 03:06:00,2457383.629,null
2016-01-22 19:13:53,2457410.301,null
2016-02-22 00:51:24,2457440.536,null
2016-02-22 02:37:34,2457440.609,null
2016-03-29 23:56:34,2457477.498,null
2016-04-16 05:58:03,2457494.749,null
2016-04-16 07:44:48,2457494.823,null
2016-05-30 04:30:23,2457538.688,null
2016-05-30 06:16:33,2457538.761,null
2016-06-13 00:23:22,2457552.516,null
2016-07-24 23:16:52,2457594.470,null
2016-08-19 21:23:30,2457620.391,null
2016-08-19 23:10:15,2457620.465,null
2016-09-21 03:05:57,2457652.629,null
2016-09-21 04:52:42,2457652.703,null
2016-11-02 08:44:05,2457694.864,null
2016-11-02 10:30:15,2457694.938,null
2016-11-23 16:40:17,2457716.195,null
2016-11-23 20:54:02,2457716.371,null
2016-11-23 22:40:12,2457716.445,null
2017-01-07 02:28:21,2457760.603,null
2017-01-07 04:15:06,2457760.677,null
2017-02-04 20:13:43,2457789.343,null
2017-02-04 22:00:28,2457789.417,null
2017-03-04 09:19:15,2457816.888,null
2017-04-12 02:14:41,2457855.594,null
2017-04-12 04:01:26,2457855.668,null
2017-04-27 08:18:54,2457870.846,null
2017-04-27 10:05:39,2457870.921,null
2017-06-10 14:36:48,2457915.109,null
2017-06-10 18:50:33,2457915.285,null
2017-06-26 06:56:30,2457930.789,null
2017-06-26 08:42:40,2457930.863,null
2017-08-05 13:45:50,2457971.073,null
2017-09-03 11:47:41,2457999.991,null
2017-09-03 13:34:26,2458000.066,null
2017-10-03 07:24:55,2458029.809,null
2017-10-03 11:38:41,2458029.985,null
2017-11-17 11:17:00,2458074.970,19.07
2017-11-17 13:03:34,2458075.044,19.05
2017-11-17 17:17:14,2458075.220,19.03
2017-11-17 19:03:48,2458075.294,19.03
2017-12-08 19:12:46,2458096.301,19.71
2017-12-08 23:26:25,2458096.477,19.73
2017-12-09 01:12:59,2458096.551,19.74
2018-01-18 22:59:04,2458137.458,null
2018-03-15 10:23:14,2458192.933,null
2018-03-15 12:09:24,2458193.007,null
2018-04-25 03:10:45,2458233.632,null
2018-05-08 15:16:25,2458247.136,null
2018-05-08 17:02:34,2458247.210,null
2018-06-22 01:49:53,2458291.576,null
2018-07-09 21:40:25,2458309.403,null
2018-08-17 08:53:06,2458347.870,null
2018-09-18 06:50:39,2458379.785,null
2018-09-18 08:37:24,2458379.859,null
2018-10-15 18:49:36,2458407.284,null
2018-10-15 20:35:46,2458407.358,null
2018-12-01 18:28:19,2458454.270,null
2018-12-01 20:15:03,2458454.344,null
2018-12-24 08:21:25,2458476.848,null
2018-12-24 12:35:09,2458477.024,null
2019-01-30 12:06:57,2458514.005,null
2019-01-30 13:53:42,2458514.079,null
2019-03-04 11:32:12,2458546.981,null
2019-03-26 11:25:33,2458568.976,null
2019-03-26 13:12:17,2458569.050,null
2019-05-07 16:06:01,2458611.171,null
2019-05-07 17:52:46,2458611.245,null
2019-05-20 10:12:44,2458623.926,null
2019-05-20 11:59:29,2458624.000,null
2019-07-03 08:51:06,2458667.869,null
2019-08-03 17:13:19,2458699.218,null
2019-08-03 18:59:30,2458699.291,null
2019-09-07 06:52:33,2458733.786,null
2019-09-07 08:39:18,2458733.861,null
2019-09-29 19:40:56,2458756.320,null

