Gaia17czf
#Date,JD,averagemag.
2015-02-21 04:31:14,2457074.688,null
2015-02-21 08:45:00,2457074.865,null
2015-03-19 02:41:19,2457100.612,null
2015-04-14 20:31:44,2457127.355,null
2015-04-14 22:18:30,2457127.430,null
2015-09-09 16:17:25,2457275.179,null
2015-09-09 18:04:10,2457275.253,null
2015-10-07 15:59:50,2457303.167,null
2015-10-07 17:45:59,2457303.240,null
2015-11-01 17:38:45,2457328.235,null
2016-03-02 21:56:27,2457450.414,null
2016-04-01 15:40:25,2457480.153,null
2016-04-01 17:27:10,2457480.227,null
2016-04-24 05:25:56,2457502.726,null
2016-04-24 09:39:42,2457502.903,null
2016-08-04 06:20:32,2457604.764,null
2016-08-04 08:06:42,2457604.838,null
2016-08-04 12:20:26,2457605.014,null
2016-08-04 14:07:10,2457605.088,null
2016-08-04 18:20:55,2457605.265,null
2016-08-04 20:07:04,2457605.338,null
2016-08-05 00:20:48,2457605.514,null
2016-08-05 02:07:33,2457605.589,null
2016-08-05 06:21:17,2457605.765,null
2016-08-05 08:08:02,2457605.839,null
2016-08-05 12:21:11,2457606.015,null
2016-08-05 14:07:56,2457606.089,null
2016-08-05 18:21:40,2457606.265,null
2016-08-05 20:08:24,2457606.339,null
2016-08-06 00:21:34,2457606.515,null
2016-08-06 02:08:18,2457606.589,null
2016-08-06 06:22:02,2457606.765,null
2016-08-06 08:08:47,2457606.839,null
2016-08-06 12:22:31,2457607.016,null
2016-08-06 14:08:41,2457607.089,null
2016-08-06 18:22:25,2457607.266,null
2016-08-06 20:09:09,2457607.340,null
2016-08-07 00:22:54,2457607.516,null
2016-09-19 13:11:14,2457651.049,null
2016-10-22 00:43:27,2457683.530,null
2016-10-22 04:57:11,2457683.706,null
2016-11-10 17:00:51,2457703.209,null
2016-11-10 18:47:01,2457703.283,null
2017-03-13 18:30:11,2457826.271,null
2017-04-16 12:01:04,2457860.001,null
2017-05-04 06:07:02,2457877.755,null
2017-08-10 20:36:54,2457976.359,null
2017-08-10 22:23:39,2457976.433,null
2017-08-11 02:36:48,2457976.609,null
2017-08-24 02:42:15,2457989.613,null
2017-08-24 04:29:00,2457989.687,null
2017-09-30 13:54:49,2458027.080,null
2017-09-30 15:41:34,2458027.154,null
2017-11-08 07:21:15,2458065.806,17.76
2017-11-08 09:07:46,2458065.880,null
2017-11-08 13:21:30,2458066.057,null
2017-11-08 15:08:14,2458066.131,null
2017-11-18 07:28:15,2458075.811,18.29
2017-11-18 09:14:49,2458075.885,18.28
2017-11-18 13:28:28,2458076.061,18.29
2017-11-18 15:15:02,2458076.135,18.33
2018-02-02 19:54:57,2458152.330,null
2018-02-02 21:41:43,2458152.404,null
2018-02-03 01:55:29,2458152.580,null
2018-02-03 03:42:14,2458152.654,null
2018-02-15 14:05:19,2458165.087,null
2018-02-15 15:51:29,2458165.161,null
2018-02-15 20:05:15,2458165.337,null
2018-02-15 21:52:01,2458165.411,null
2018-03-24 13:41:07,2458202.070,null
2018-03-24 15:27:18,2458202.144,null
2018-05-01 12:59:49,2458240.042,null
2018-05-01 14:45:59,2458240.115,null
2018-05-13 02:54:20,2458251.621,null
2018-05-13 07:08:06,2458251.797,null
2018-08-20 09:37:15,2458350.901,null
2018-09-08 09:37:30,2458369.901,null
2018-10-11 15:03:31,2458403.127,null
2019-02-11 10:49:53,2458525.951,null
2019-02-11 15:03:04,2458526.127,null
2019-03-04 04:55:45,2458546.705,null
2019-04-04 10:37:40,2458577.943,null
2019-08-16 04:26:02,2458711.685,null
2019-08-16 08:39:46,2458711.861,null
2019-08-16 10:26:30,2458711.935,null
2019-09-07 09:14:55,2458733.885,null

