Gaia17czn
#Date,JD,averagemag.
2014-10-22 13:40:16,2456953.070,untrusted
2014-10-22 17:53:58,2456953.246,untrusted
2015-02-19 23:50:42,2457073.494,17.98
2015-02-20 01:37:16,2457073.568,17.94
2015-03-18 19:24:52,2457100.309,17.50
2015-04-13 23:24:09,2457126.475,null
2015-04-14 01:10:14,2457126.549,untrusted
2015-09-09 19:17:25,2457275.304,null
2015-09-09 21:03:44,2457275.378,17.50
2015-11-02 07:05:22,2457328.795,null
2015-11-02 08:51:34,2457328.869,17.71
2016-03-01 18:59:36,2457449.291,17.54
2016-03-01 20:46:10,2457449.365,17.54
2016-04-01 08:20:16,2457479.847,17.85
2016-08-01 10:54:18,2457601.954,17.67
2016-08-01 15:07:59,2457602.131,17.65
2016-08-01 16:54:34,2457602.205,17.61
2016-08-09 21:15:02,2457610.385,untrusted
2016-08-09 23:01:37,2457610.459,17.55
2016-09-19 20:26:55,2457651.352,17.50
2016-10-23 02:06:33,2457684.588,17.57
2016-10-23 03:53:08,2457684.662,17.56
2016-11-11 08:15:16,2457703.844,17.81
2016-11-11 10:01:51,2457703.918,17.80
2016-11-11 14:15:32,2457704.094,17.80
2017-03-12 15:30:41,2457825.146,untrusted
2017-03-12 17:17:14,2457825.220,17.93
2017-04-15 22:37:38,2457859.443,17.56
2017-05-03 08:53:24,2457876.870,null
2017-05-03 10:40:09,2457876.945,null
2017-08-10 05:28:49,2457975.728,17.58
2017-08-10 07:15:24,2457975.802,17.61
2017-08-25 11:36:37,2457990.984,null
2017-08-25 13:23:22,2457991.058,null
2017-09-30 18:46:25,2458027.282,17.60
2017-09-30 23:00:06,2458027.458,17.61
2017-11-09 22:36:21,2458067.442,17.75
2017-11-10 00:22:56,2458067.516,17.75
2017-11-10 04:36:37,2458067.692,17.80
2017-11-10 06:23:11,2458067.766,17.79
2017-11-10 12:23:26,2458068.016,untrusted
2017-11-18 18:30:56,2458076.271,18.08
2017-11-18 22:44:37,2458076.448,18.23
2017-11-19 00:31:11,2458076.522,untrusted
2017-11-19 04:44:52,2458076.698,18.66
2017-11-19 06:31:27,2458076.772,18.73
2017-11-19 10:45:08,2458076.948,18.74
2018-01-31 11:02:55,2458149.960,17.51
2018-01-31 12:49:29,2458150.034,17.53
2018-01-31 17:03:08,2458150.211,17.54
2018-01-31 18:49:41,2458150.285,17.53
2018-02-16 05:10:16,2458165.715,17.84
2018-02-16 06:56:49,2458165.789,17.81
2018-03-23 16:38:52,2458201.194,17.62
2018-03-23 18:25:26,2458201.268,17.61
2018-04-30 21:46:11,2458239.407,17.50
2018-04-30 23:32:45,2458239.481,17.50
2018-05-12 11:39:03,2458250.985,null
2018-05-12 15:52:14,2458251.161,17.71
2018-05-12 17:38:48,2458251.235,17.78
2018-08-20 00:31:47,2458350.522,17.65
2018-08-20 02:18:21,2458350.596,17.66
2018-09-09 06:34:34,2458370.774,17.62
2018-09-09 08:21:09,2458370.848,17.59
2018-10-12 00:11:17,2458403.508,17.53
2019-02-09 19:57:08,2458524.331,17.61
2019-02-10 00:10:50,2458524.508,null
2019-02-10 01:57:21,2458524.581,17.66
2019-03-04 06:10:17,2458546.757,17.58
2019-04-03 11:46:08,2458576.990,17.64
2019-04-03 13:32:42,2458577.064,17.59
2019-08-14 13:15:11,2458710.052,17.59
2019-08-14 17:28:52,2458710.228,17.64
2019-09-07 06:13:57,2458733.760,17.57
2019-09-07 08:00:32,2458733.834,17.56
2019-10-07 19:34:51,2458764.316,17.80
2019-10-07 21:21:26,2458764.390,17.78
2020-03-21 23:10:22,2458930.466,17.96
2020-04-19 12:14:31,2458959.010,17.55
2020-04-19 14:01:05,2458959.084,17.50

