Gaia17dan
#Date,JD,averagemag.
2014-08-12 18:05:59,2456882.254,null
2014-08-12 19:52:44,2456882.328,null
2014-08-13 00:06:28,2456882.504,null
2014-08-13 01:53:13,2456882.579,null
2014-08-13 06:06:22,2456882.754,null
2014-08-13 07:53:07,2456882.829,null
2014-08-13 12:06:51,2456883.005,null
2014-08-13 13:53:36,2456883.079,null
2014-08-27 02:06:20,2456896.588,null
2014-08-27 06:20:04,2456896.764,null
2014-08-27 08:06:49,2456896.838,null
2014-08-27 12:20:34,2456897.014,null
2014-11-04 22:02:20,2456966.418,null
2014-11-04 23:49:05,2456966.492,null
2014-11-05 04:02:51,2456966.669,null
2014-11-05 05:49:01,2456966.742,null
2015-01-16 21:07:36,2457039.380,null
2015-02-04 21:08:50,2457058.381,null
2015-05-30 12:11:12,2457173.008,null
2015-07-05 19:15:25,2457209.302,null
2015-08-13 23:01:00,2457248.459,null
2015-08-14 00:47:10,2457248.533,null
2015-08-14 05:00:54,2457248.709,null
2015-09-01 23:10:28,2457267.466,null
2015-09-02 00:56:38,2457267.539,null
2015-09-02 05:10:23,2457267.716,null
2015-09-02 06:57:08,2457267.790,null
2015-10-31 12:48:53,2457327.034,null
2015-10-31 17:02:39,2457327.210,null
2015-10-31 18:48:49,2457327.284,null
2015-11-21 23:11:07,2457348.466,null
2015-11-22 00:57:17,2457348.540,null
2015-12-25 18:35:57,2457382.275,null
2016-01-30 10:04:41,2457417.920,null
2016-01-30 11:51:27,2457417.994,null
2016-02-14 22:10:05,2457433.424,null
2016-05-21 13:11:26,2457530.050,null
2016-05-21 14:58:11,2457530.124,null
2016-06-12 20:53:21,2457552.370,null
2016-06-13 01:07:05,2457552.547,null
2016-09-01 01:58:09,2457632.582,null
2016-09-01 06:11:19,2457632.758,null
2016-09-01 07:58:03,2457632.832,null
2016-09-01 12:11:48,2457633.008,null
2016-09-01 13:58:33,2457633.082,null
2016-09-01 18:12:17,2457633.259,null
2016-09-11 18:20:16,2457643.264,null
2016-09-12 00:20:11,2457643.514,null
2016-09-12 02:06:56,2457643.588,null
2016-09-12 06:20:40,2457643.764,null
2016-09-12 08:06:50,2457643.838,null
2016-09-12 12:20:35,2457644.014,null
2016-09-12 14:07:20,2457644.088,null
2016-09-12 20:07:49,2457644.339,null
2016-11-11 02:00:08,2457703.583,null
2016-11-11 06:13:54,2457703.760,null
2016-12-06 02:01:00,2457728.584,null
2017-01-04 17:58:05,2457758.249,null
2017-02-11 20:10:40,2457796.341,null
2017-02-23 14:17:25,2457808.095,null
2017-02-23 18:31:11,2457808.272,null
2017-04-12 04:49:03,2457855.701,null
2017-04-12 06:35:48,2457855.775,null
2017-04-12 10:49:32,2457855.951,null
2017-04-12 12:35:42,2457856.025,null
2017-04-18 00:40:06,2457861.528,null
2017-04-18 04:53:51,2457861.704,null
2017-04-18 06:40:35,2457861.778,null
2017-06-01 15:38:09,2457906.151,null
2017-06-27 15:26:19,2457932.143,null
2017-06-27 17:13:03,2457932.217,null
2017-07-28 15:08:52,2457963.131,null
2017-07-28 16:55:37,2457963.205,null
2017-11-22 10:33:26,2458079.940,18.95
2017-11-22 14:47:07,2458080.116,18.94
2018-01-15 08:27:35,2458133.852,null
2018-01-15 10:14:20,2458133.927,null
2018-03-05 01:26:32,2458182.560,null
2018-03-05 03:13:18,2458182.634,null
2018-03-05 07:26:28,2458182.810,null
2018-04-21 17:42:58,2458230.238,null
2018-04-21 19:29:08,2458230.312,null
2018-04-21 23:42:53,2458230.488,null
2018-04-22 01:29:38,2458230.562,null
2018-05-02 05:48:50,2458240.742,null
2018-05-02 07:35:35,2458240.816,null
2018-05-02 11:49:19,2458240.993,null
2018-06-12 22:43:01,2458282.447,null
2018-07-12 18:11:00,2458312.258,null
2018-08-09 12:05:06,2458340.004,null
2018-08-09 16:18:50,2458340.180,null
2018-10-09 17:55:39,2458401.247,null
2018-10-09 23:56:09,2458401.497,null
2018-10-10 04:09:54,2458401.674,null
2018-10-10 05:56:04,2458401.747,null
2018-10-10 10:09:50,2458401.923,null
2018-10-10 11:56:35,2458401.998,null
2018-10-10 16:10:20,2458402.174,null
2018-10-10 17:56:30,2458402.248,null
2018-10-10 22:10:15,2458402.424,null
2018-10-10 23:57:00,2458402.498,null
2018-10-11 04:10:46,2458402.674,null
2018-10-11 05:57:31,2458402.748,null
2018-10-11 10:10:41,2458402.924,null
2018-10-11 11:57:26,2458402.998,null
2018-10-11 16:11:11,2458403.174,null
2018-10-11 17:57:56,2458403.249,null
2018-10-11 22:11:42,2458403.425,null
2018-10-11 23:57:52,2458403.499,null
2018-10-12 04:11:37,2458403.675,null
2018-10-12 05:58:22,2458403.749,null
2018-10-12 10:12:08,2458403.925,null
2018-10-12 11:58:18,2458403.999,null
2018-10-12 16:12:03,2458404.175,null
2018-10-12 17:58:48,2458404.249,null
2018-10-12 22:12:33,2458404.425,null
2018-10-12 23:58:43,2458404.499,null
2018-10-13 04:12:29,2458404.675,null
2018-10-13 05:59:14,2458404.749,null
2018-10-13 10:12:59,2458404.926,null
2018-10-13 11:59:09,2458404.999,null
2018-10-13 16:12:55,2458405.176,null
2018-10-13 17:59:40,2458405.250,null
2018-10-13 22:13:25,2458405.426,null
2018-10-14 00:00:10,2458405.500,null
2018-10-14 04:13:20,2458405.676,null
2018-10-14 06:00:06,2458405.750,null
2018-10-14 10:13:51,2458405.926,null
2018-10-14 12:00:36,2458406.000,null
2018-10-14 16:13:46,2458406.176,null
2018-10-14 18:00:32,2458406.250,null
2018-10-14 22:14:17,2458406.427,null
2018-10-15 00:01:02,2458406.501,null
2018-10-15 04:14:47,2458406.677,null
2018-10-15 06:00:57,2458406.751,null
2018-10-15 10:14:43,2458406.927,null
2018-10-15 12:01:28,2458407.001,null
2018-10-15 16:15:13,2458407.177,null
2018-10-15 18:01:23,2458407.251,null
2018-10-16 00:01:54,2458407.501,null
2018-12-03 21:58:06,2458456.415,null
2019-01-03 09:37:40,2458486.901,null
2019-01-03 11:24:26,2458486.975,null
2019-01-25 21:33:36,2458509.398,null
2019-03-11 08:16:16,2458553.845,null
2019-03-11 10:03:01,2458553.919,null
2019-03-11 14:16:47,2458554.095,null
2019-03-11 16:03:32,2458554.169,null
2019-03-11 20:16:42,2458554.345,null
2019-03-11 22:03:27,2458554.419,null
2019-03-12 02:17:12,2458554.595,null
2019-03-12 04:03:58,2458554.669,null
2019-03-12 08:17:43,2458554.846,null
2019-03-12 10:03:53,2458554.919,null
2019-03-12 14:17:38,2458555.096,null
2019-03-12 16:04:23,2458555.170,null
2019-03-12 20:18:09,2458555.346,null
2019-03-12 22:04:19,2458555.420,null
2019-03-13 02:18:04,2458555.596,null
2019-03-13 04:04:49,2458555.670,null
2019-03-13 08:18:34,2458555.846,null
2019-03-13 10:04:45,2458555.920,null
2019-03-13 14:18:30,2458556.096,null
2019-03-13 16:05:15,2458556.170,null
2019-03-13 20:19:00,2458556.347,null
2019-03-13 22:05:10,2458556.420,null
2019-03-14 02:18:56,2458556.596,null
2019-03-14 04:05:41,2458556.671,null
2019-03-14 08:19:26,2458556.847,null
2019-05-01 18:39:30,2458605.277,null
2019-05-01 20:26:14,2458605.352,null
2019-05-16 12:44:38,2458620.031,null
2019-07-29 19:37:21,2458694.318,null
2019-09-14 12:08:26,2458741.006,null
2019-09-14 16:22:11,2458741.182,null
2019-09-14 18:08:21,2458741.256,null
2019-09-14 22:22:06,2458741.432,null
2019-09-15 00:08:51,2458741.506,null
2019-09-15 04:22:35,2458741.682,null
2019-09-15 06:08:45,2458741.756,null
2019-09-15 10:22:30,2458741.932,null
2019-09-15 12:09:15,2458742.006,null
2019-09-15 16:23:00,2458742.183,null
2019-09-15 18:09:45,2458742.257,null
2019-09-15 22:22:54,2458742.433,null
2019-09-16 00:09:39,2458742.507,null
2019-09-16 04:23:24,2458742.683,null
2019-09-16 06:10:09,2458742.757,null
2019-09-16 10:23:19,2458742.933,null
2019-09-16 12:10:04,2458743.007,null
2019-09-16 16:23:49,2458743.183,null
2019-09-16 18:10:33,2458743.257,null
2019-09-16 22:24:18,2458743.434,null
2019-09-17 00:10:28,2458743.507,null

