Gaia17day
#Date,JD,averagemag.
2014-11-16 22:33:05,2456978.440,null
2015-05-03 05:43:58,2457145.739,null
2015-05-29 07:18:01,2457171.804,null
2015-06-25 17:19:43,2457199.222,null
2015-06-25 19:05:53,2457199.296,null
2015-11-03 23:41:51,2457330.487,null
2015-11-04 01:28:36,2457330.562,null
2015-12-01 11:31:44,2457357.980,null
2015-12-01 13:18:30,2457358.055,null
2015-12-24 17:27:40,2457381.228,null
2015-12-24 19:14:26,2457381.302,null
2016-05-12 18:51:10,2457521.286,null
2016-05-12 20:37:19,2457521.359,null
2016-06-12 20:14:05,2457552.343,null
2016-06-13 00:27:14,2457552.519,null
2016-07-05 00:27:46,2457574.519,null
2016-07-05 02:14:31,2457574.593,null
2016-11-13 12:53:28,2457706.037,null
2016-11-13 14:39:38,2457706.111,null
2016-12-14 20:16:01,2457737.344,null
2017-01-02 02:20:21,2457755.597,null
2017-01-02 06:34:07,2457755.774,null
2017-04-07 04:08:53,2457850.673,null
2017-04-07 10:08:46,2457850.923,null
2017-04-07 11:55:31,2457850.997,null
2017-04-07 16:09:15,2457851.173,null
2017-04-07 17:56:00,2457851.247,null
2017-04-07 23:55:53,2457851.497,null
2017-04-11 17:58:57,2457855.249,null
2017-04-11 22:12:41,2457855.425,null
2017-04-11 23:59:26,2457855.500,null
2017-04-12 04:12:34,2457855.675,null
2017-04-12 05:59:19,2457855.750,null
2017-04-12 10:13:03,2457855.926,null
2017-06-29 14:48:45,2457934.117,null
2017-06-29 16:35:30,2457934.191,null
2017-06-29 20:48:39,2457934.367,null
2017-07-13 20:55:56,2457948.372,null
2017-07-13 22:42:40,2457948.446,null
2017-07-14 02:56:24,2457948.623,null
2017-07-14 04:43:09,2457948.697,null
2017-11-24 03:26:52,2458081.644,18.63
2017-11-24 05:13:27,2458081.718,19.10
2017-12-29 14:50:16,2458117.118,20.16
2017-12-29 16:37:17,2458117.193,null
2018-01-10 10:45:09,2458128.948,null
2018-01-10 14:58:24,2458129.124,20.31
2018-04-14 05:05:41,2458222.712,null
2018-04-14 06:51:50,2458222.786,null
2018-04-29 00:56:21,2458237.539,null
2018-04-29 05:10:05,2458237.715,null
2018-06-03 22:30:09,2458273.438,null
2018-06-04 00:16:53,2458273.512,null
2018-10-15 18:37:54,2458407.276,null
2018-10-15 22:51:40,2458407.453,null
2018-11-01 17:00:49,2458424.209,null
2018-11-01 18:47:00,2458424.283,null
2018-12-04 16:37:56,2458457.193,null
2018-12-04 18:24:42,2458457.267,null
2019-04-23 06:07:21,2458596.755,null
2019-04-23 07:54:05,2458596.829,null
2019-05-14 12:05:13,2458618.004,null
2019-06-14 23:39:25,2458649.486,null
2019-06-15 01:25:35,2458649.559,null

