Gaia17dbo
#Date,JD,averagemag.
2014-11-29 09:41:06,2456990.904,null
2014-11-29 13:54:15,2456991.079,null
2015-04-20 22:04:56,2457133.420,null
2015-05-27 01:45:04,2457169.573,null
2015-05-27 03:31:14,2457169.647,null
2015-06-10 21:39:34,2457184.402,null
2015-06-11 01:53:20,2457184.579,null
2015-09-17 04:13:13,2457282.676,null
2015-09-17 05:59:23,2457282.750,null
2015-10-01 22:17:46,2457297.429,null
2016-03-10 17:27:56,2457458.228,null
2016-03-10 21:41:42,2457458.404,null
2016-03-10 23:28:27,2457458.478,null
2016-03-27 03:51:24,2457474.661,null
2016-03-27 05:38:10,2457474.735,null
2016-04-30 21:29:06,2457509.395,null
2016-04-30 23:15:52,2457509.469,null
2016-06-11 20:45:03,2457551.365,null
2016-06-11 22:31:48,2457551.439,null
2016-06-12 02:45:34,2457551.615,null
2016-06-12 04:32:20,2457551.689,null
2016-06-12 08:45:31,2457551.865,null
2016-06-12 10:32:16,2457551.939,null
2016-06-16 22:37:00,2457556.442,null
2016-06-17 02:50:11,2457556.618,null
2016-06-17 04:36:57,2457556.692,null
2016-06-17 08:50:43,2457556.869,null
2016-09-25 11:14:45,2457656.969,null
2016-09-25 13:01:30,2457657.043,null
2016-10-15 17:11:56,2457677.217,null
2016-10-15 18:58:40,2457677.291,null
2016-11-15 16:43:28,2457708.197,null
2016-11-15 18:29:37,2457708.271,null
2017-03-20 00:13:15,2457832.509,null
2017-03-20 01:59:25,2457832.583,null
2017-04-12 00:15:54,2457855.511,null
2017-04-12 02:02:40,2457855.585,null
2017-05-11 19:48:29,2457885.325,null
2017-10-30 07:29:30,2458056.812,null
2017-10-30 09:15:39,2458056.886,null
2017-11-26 07:14:11,2458083.802,17.93
2017-11-26 09:00:45,2458083.876,17.94
2018-03-30 09:10:17,2458207.882,null
2018-05-22 13:11:26,2458261.050,null
2018-05-22 14:57:36,2458261.123,null
2018-10-15 20:47:42,2458407.366,null
2018-10-15 22:34:26,2458407.441,null
2018-11-14 02:24:43,2458436.600,null
2018-11-14 04:11:28,2458436.675,null
2018-12-06 08:22:48,2458458.849,null
2018-12-06 10:08:58,2458458.923,null
2019-04-10 04:21:45,2458583.682,null
2019-05-12 04:01:16,2458615.668,null
2019-06-01 20:18:14,2458636.346,null

