Gaia17dby
#Date,JD,averagemag.
2014-08-21 10:57:51,2456890.957,null
2014-08-21 15:11:37,2456891.133,null
2014-08-21 16:57:47,2456891.207,null
2014-08-21 21:11:33,2456891.383,null
2014-08-21 22:58:19,2456891.457,null
2014-08-22 03:12:05,2456891.633,null
2014-08-23 15:13:27,2456893.134,null
2014-08-23 17:00:12,2456893.208,null
2014-08-23 21:13:58,2456893.385,null
2014-08-23 23:00:09,2456893.458,null
2014-08-24 03:13:55,2456893.635,null
2014-08-24 05:00:40,2456893.709,null
2015-01-18 08:04:21,2457040.836,null
2015-02-07 06:13:55,2457060.760,null
2015-02-07 08:00:39,2457060.834,null
2015-05-14 10:37:16,2457156.943,null
2015-05-14 14:51:02,2457157.119,null
2015-05-26 02:58:41,2457168.624,null
2015-05-26 04:45:27,2457168.698,null
2015-07-04 14:14:56,2457208.094,null
2015-07-04 16:01:41,2457208.168,null
2015-08-10 01:54:07,2457244.579,null
2015-08-10 03:40:52,2457244.653,null
2015-08-27 15:51:11,2457262.161,null
2015-08-27 20:04:57,2457262.337,null
2015-08-27 21:51:42,2457262.411,null
2015-08-28 02:05:28,2457262.587,null
2015-11-10 08:23:00,2457336.849,null
2015-11-10 14:23:29,2457337.100,null
2015-11-10 16:10:14,2457337.174,null
2015-11-10 20:23:23,2457337.350,null
2015-11-10 22:10:08,2457337.424,null
2015-11-11 02:23:52,2457337.600,null
2015-11-11 04:10:36,2457337.674,null
2015-11-18 10:15:47,2457344.928,null
2015-11-18 14:29:31,2457345.104,null
2015-11-18 16:16:16,2457345.178,null
2015-11-18 20:30:00,2457345.354,null
2015-11-18 22:16:10,2457345.428,null
2015-11-19 02:29:54,2457345.604,null
2015-12-29 01:57:01,2457385.581,null
2015-12-29 03:43:45,2457385.655,null
2016-02-01 08:58:26,2457419.874,null
2016-02-01 13:12:09,2457420.050,null
2016-02-16 15:01:42,2457435.126,null
2016-02-16 19:15:26,2457435.302,null
2016-05-22 17:37:37,2457531.234,null
2016-05-22 21:51:23,2457531.411,null
2016-06-09 05:43:28,2457548.739,null
2016-07-14 23:12:27,2457584.467,null
2016-07-15 03:26:13,2457584.643,null
2016-11-17 03:28:56,2457709.645,null
2016-11-17 05:15:40,2457709.719,null
2016-12-05 21:34:16,2457728.399,null
2016-12-05 23:21:01,2457728.473,null
2017-01-07 16:51:34,2457761.202,null
2017-02-14 21:29:08,2457799.395,null
2017-02-14 23:15:53,2457799.469,null
2017-02-15 03:29:37,2457799.646,null
2017-02-24 03:34:35,2457808.649,null
2017-02-24 05:21:20,2457808.723,null
2017-02-24 09:35:04,2457808.899,null
2017-02-24 11:21:49,2457808.973,null
2017-06-01 20:04:14,2457906.336,null
2017-06-02 00:18:00,2457906.513,null
2017-06-24 06:18:20,2457928.763,null
2017-06-24 08:05:06,2457928.837,null
2017-07-26 12:00:21,2457961.000,null
2017-07-26 13:46:32,2457961.074,null
2017-11-27 05:59:51,2458084.750,18.67
2017-11-27 07:46:24,2458084.824,18.67
2017-12-21 01:41:36,2458108.571,19.06
2017-12-21 05:55:15,2458108.747,18.98
2018-01-18 05:33:40,2458136.732,19.50
2018-01-18 07:20:13,2458136.806,19.34
2018-06-12 13:24:19,2458282.059,20.66
2018-06-12 15:10:52,2458282.133,null
2018-07-09 07:17:47,2458308.804,null
2018-07-09 09:04:32,2458308.878,null
2018-08-06 20:58:19,2458337.374,null
2018-12-07 19:08:42,2458460.298,null
2018-12-07 20:55:26,2458460.372,null
2019-01-04 12:51:26,2458488.036,null
2019-01-04 14:38:10,2458488.110,null
2019-01-28 12:39:20,2458512.027,null
2019-01-28 14:26:04,2458512.101,null
2019-06-23 14:33:05,2458658.106,null
2019-06-23 16:19:51,2458658.180,null
2019-08-01 12:23:23,2458697.016,null
2019-08-01 16:37:09,2458697.192,null

