Gaia17ddj
#Date,JD,averagemag.
2014-08-11 10:11:16,2456880.924,null
2014-08-11 14:25:02,2456881.101,null
2014-08-11 16:11:47,2456881.175,null
2014-08-11 20:25:33,2456881.351,null
2014-08-11 22:12:19,2456881.425,null
2014-08-12 02:25:30,2456881.601,null
2015-01-28 02:31:32,2457050.605,null
2015-01-28 06:45:16,2457050.781,null
2015-01-28 08:32:00,2457050.856,null
2015-02-07 12:51:11,2457061.036,null
2015-02-07 14:37:56,2457061.110,null
2015-02-07 18:51:39,2457061.286,null
2015-02-07 20:37:49,2457061.360,null
2015-05-17 08:14:55,2457159.844,null
2015-05-17 10:01:41,2457159.918,null
2015-05-17 14:15:27,2457160.094,null
2015-05-17 16:01:38,2457160.168,null
2015-06-26 09:33:45,2457199.898,null
2015-08-06 07:13:33,2457240.801,null
2015-08-06 09:00:18,2457240.875,null
2015-08-06 13:14:05,2457241.051,null
2015-08-06 15:00:15,2457241.125,null
2015-08-06 19:14:01,2457241.301,null
2015-08-06 21:00:47,2457241.376,null
2015-08-12 03:05:59,2457246.629,null
2015-08-12 07:19:10,2457246.805,null
2015-08-12 09:05:56,2457246.879,null
2015-08-12 13:19:42,2457247.055,null
2015-08-12 15:06:27,2457247.129,null
2015-08-12 19:20:13,2457247.306,null
2015-11-15 21:06:10,2457342.379,null
2015-11-15 22:52:19,2457342.453,null
2015-11-30 09:10:39,2457356.882,null
2015-11-30 10:57:24,2457356.957,null
2016-01-02 20:32:35,2457390.356,null
2016-01-02 22:19:19,2457390.430,null
2016-05-15 10:56:58,2457523.956,null
2016-05-15 15:10:45,2457524.132,null
2016-06-03 03:18:29,2457542.638,null
2016-06-03 05:05:15,2457542.712,null
2016-07-06 10:45:21,2457575.948,null
2016-11-23 16:09:35,2457716.173,null
2016-12-14 10:05:43,2457736.921,null
2017-01-12 03:40:55,2457765.653,null
2017-01-12 05:27:39,2457765.728,null
2017-05-25 01:27:58,2457898.561,null
2017-05-25 05:41:44,2457898.737,null
2017-06-18 23:41:26,2457923.487,null
2017-06-19 01:27:37,2457923.561,null
2017-07-17 07:18:36,2457951.805,null
2017-12-03 06:37:31,2458090.776,17.98
2017-12-03 08:24:04,2458090.850,18.02
2017-12-28 20:08:14,2458116.339,18.46
2018-06-04 14:38:56,2458274.110,null
2018-06-04 18:52:07,2458274.286,null
2018-07-27 14:27:52,2458327.103,null
2018-07-27 18:41:39,2458327.279,null
2018-12-13 07:45:01,2458465.823,null
2018-12-13 09:31:46,2458465.897,null
2019-01-12 13:16:35,2458496.053,null
2019-01-12 15:03:20,2458496.127,null
2019-01-31 13:17:08,2458515.054,null
2019-01-31 15:03:52,2458515.128,null
2019-06-15 14:03:42,2458650.086,null
2019-06-15 15:50:27,2458650.160,null
2019-08-04 11:51:10,2458699.994,null
2019-08-04 16:04:21,2458700.170,null

