Gaia17dee
#Date,JD,averagemag.
2014-10-28 14:03:57,2456959.086,null
2015-01-03 00:04:56,2457025.503,null
2015-01-03 01:51:05,2457025.577,null
2015-02-12 11:36:59,2457065.984,null
2015-02-12 13:23:44,2457066.058,null
2015-03-15 23:11:41,2457097.466,null
2015-04-09 12:47:09,2457122.033,null
2015-05-20 21:47:43,2457163.408,null
2015-05-20 23:34:28,2457163.482,null
2015-06-03 09:53:25,2457176.912,null
2015-06-03 11:40:10,2457176.986,null
2015-07-17 22:14:55,2457221.427,null
2015-07-18 02:28:40,2457221.603,null
2015-08-05 08:32:20,2457239.856,null
2015-09-12 03:32:37,2457277.648,null
2015-10-14 01:28:59,2457309.562,null
2015-10-14 03:15:44,2457309.636,null
2015-11-09 21:14:52,2457336.385,null
2015-11-10 01:28:02,2457336.561,null
2015-12-26 13:06:48,2457383.046,null
2015-12-26 14:52:58,2457383.120,null
2016-01-18 08:59:11,2457405.874,null
2016-01-18 13:12:20,2457406.050,null
2016-02-24 02:31:02,2457442.605,null
2016-03-28 18:09:16,2457476.256,null
2016-04-19 18:03:14,2457498.252,null
2016-04-19 19:49:58,2457498.326,null
2016-06-01 12:30:22,2457541.021,null
2016-06-01 16:44:07,2457541.197,null
2016-06-14 06:36:32,2457553.775,null
2016-06-14 10:50:17,2457553.952,null
2016-07-28 05:16:09,2457597.720,null
2016-07-28 09:29:55,2457597.896,null
2016-08-18 03:30:47,2457618.646,null
2016-08-18 05:17:33,2457618.721,null
2016-09-22 22:41:05,2457654.445,null
2016-10-28 02:34:04,2457689.607,null
2016-11-21 14:38:42,2457714.110,null
2016-11-21 16:25:27,2457714.184,null
2017-01-07 08:16:33,2457760.845,null
2017-01-07 10:03:18,2457760.919,null
2017-01-07 14:17:03,2457761.095,null
2017-02-01 10:03:36,2457785.919,null
2017-03-06 15:14:23,2457819.135,null
2017-03-06 17:00:32,2457819.209,null
2017-04-11 08:28:05,2457854.853,null
2017-04-30 20:27:21,2457874.352,null
2017-04-30 22:13:31,2457874.426,null
2017-06-13 14:48:53,2457918.117,null
2017-06-13 19:02:38,2457918.293,null
2017-06-26 19:08:57,2457931.298,null
2017-06-26 20:55:42,2457931.372,null
2017-08-08 17:55:53,2457974.247,null
2017-10-04 19:12:57,2458031.301,null
2017-11-12 11:04:02,2458069.961,null
2017-11-12 12:50:47,2458070.035,null
2017-12-04 18:58:36,2458092.291,18.51
2017-12-04 23:12:16,2458092.467,18.49
2017-12-05 00:58:50,2458092.541,untrusted
2018-01-19 22:48:32,2458138.450,19.48
2018-01-20 00:35:06,2458138.524,19.44
2018-02-15 22:41:30,2458165.445,untrusted
2018-02-16 00:28:04,2458165.519,untrusted
2018-03-18 04:20:27,2458195.681,null
2018-03-18 06:07:11,2458195.755,null
2018-04-24 21:24:48,2458233.392,null
2018-05-12 03:26:55,2458250.644,null
2018-05-12 05:13:40,2458250.718,null
2018-06-25 09:46:01,2458294.907,null
2018-06-25 13:59:11,2458295.083,null
2018-07-09 14:05:58,2458309.087,null
2018-07-09 15:52:08,2458309.161,null
2018-08-20 02:47:01,2458350.616,null
2018-09-15 06:53:02,2458376.787,null
2018-09-15 08:39:47,2458376.861,null
2018-10-16 18:36:15,2458408.275,null
2018-10-16 20:22:25,2458408.349,null
2018-11-27 18:13:47,2458450.260,null
2018-11-27 19:59:57,2458450.333,null
2018-11-28 00:13:43,2458450.510,null
2018-11-28 02:00:28,2458450.584,null
2018-12-19 02:09:57,2458471.590,null
2018-12-19 06:23:42,2458471.766,null
2019-01-31 23:57:31,2458515.498,null
2019-03-02 05:42:03,2458544.738,null
2019-03-29 11:25:28,2458571.976,null
2019-03-29 13:12:13,2458572.050,null
2019-05-08 04:20:36,2458611.681,null
2019-05-23 06:11:42,2458626.758,null
2019-07-06 20:57:13,2458671.373,null
2019-07-06 22:43:58,2458671.447,null
2019-08-05 05:25:13,2458700.726,null
2019-08-05 07:11:24,2458700.800,null
2019-09-05 02:25:06,2458731.601,null

