Gaia17djn
#Date,JD,averagemag.
2014-08-31 06:57:09,2456900.790,null
2015-01-02 12:05:10,2457025.004,null
2015-01-02 16:18:21,2457025.179,null
2015-01-22 12:06:48,2457045.005,null
2015-02-21 21:59:58,2457075.417,null
2015-06-30 22:16:31,2457204.428,null
2015-07-01 00:03:16,2457204.502,null
2015-07-25 00:00:35,2457228.500,null
2015-08-23 23:40:15,2457258.486,null
2016-01-12 07:11:32,2457399.800,null
2016-02-05 19:04:51,2457424.295,null
2016-03-03 11:10:55,2457450.966,null
2016-07-10 17:25:30,2457580.226,null
2016-07-10 19:12:15,2457580.300,null
2016-08-08 11:10:30,2457608.966,null
2016-08-08 12:56:40,2457609.039,null
2016-09-02 17:00:01,2457634.208,null
2017-01-21 12:34:03,2457775.024,null
2017-02-19 13:40:03,2457804.069,null
2017-02-19 15:26:48,2457804.144,null
2017-03-13 13:44:08,2457826.072,null
2017-03-13 15:30:18,2457826.146,null
2017-07-21 19:57:05,2457956.331,null
2017-07-21 21:43:50,2457956.405,null
2017-08-23 13:27:53,2457989.061,null
2017-08-23 15:14:38,2457989.135,null
2017-09-12 19:26:53,2458009.310,null
2017-12-17 11:31:58,2458104.981,19.34
2017-12-17 15:45:39,2458105.157,19.38
2017-12-17 17:32:14,2458105.231,19.53
2017-12-17 21:45:55,2458105.407,19.48
2017-12-23 15:51:16,2458111.161,19.14
2017-12-23 17:37:51,2458111.235,19.14
2017-12-23 21:51:32,2458111.411,19.29
2017-12-23 23:38:07,2458111.485,untrusted
2018-01-31 21:05:57,2458150.379,19.55
2018-01-31 22:52:31,2458150.453,19.58
2018-03-07 08:42:11,2458184.863,20.37
2018-03-07 10:28:45,2458184.937,20.54
2018-03-22 10:38:30,2458199.943,20.76
2018-03-22 14:52:11,2458200.120,untrusted
2018-03-22 16:39:02,2458200.194,null
2018-08-02 03:06:15,2458332.629,null
2018-08-02 04:52:24,2458332.703,null
2018-09-07 20:23:04,2458369.349,null
2018-09-07 22:09:13,2458369.423,null
2018-09-21 20:28:00,2458383.353,null
2018-09-21 22:14:44,2458383.427,null
2018-12-24 22:43:44,2458477.447,null
2019-01-08 10:51:01,2458491.952,null
2019-02-11 12:03:31,2458526.002,null
2019-06-21 10:37:39,2458655.943,null
2019-06-21 12:24:24,2458656.017,null
2019-06-21 16:38:08,2458656.193,null
2019-06-21 18:24:18,2458656.267,null
2019-07-08 22:44:35,2458673.448,null
2019-07-09 00:31:19,2458673.522,null
2019-08-16 07:26:00,2458711.810,null
2019-08-16 09:12:10,2458711.883,null

