Gaia18abb
#Date,JD,averagemag.
2014-08-04 22:44:32,2456874.448,19.50
2014-08-05 00:31:06,2456874.522,19.51
2014-08-05 04:44:45,2456874.698,19.46
2014-08-05 06:31:19,2456874.772,untrusted
2014-08-05 10:44:58,2456874.948,19.44
2014-08-05 12:31:32,2456875.022,19.53
2014-11-06 17:17:13,2456968.220,19.53
2014-11-06 19:03:47,2456968.294,19.46
2014-11-21 19:10:08,2456983.299,19.56
2015-02-05 04:23:38,2457058.683,19.53
2015-02-05 06:10:13,2457058.757,19.47
2015-02-05 10:23:54,2457058.933,19.38
2015-02-05 12:10:28,2457059.007,19.37
2015-02-05 16:24:09,2457059.183,19.36
2015-02-05 18:10:44,2457059.257,19.35
2015-02-05 22:24:25,2457059.434,19.33
2015-02-06 00:10:59,2457059.508,19.35
2015-02-10 06:15:09,2457063.761,19.23
2015-02-10 12:15:24,2457064.011,19.24
2015-02-10 16:29:04,2457064.187,19.30
2015-02-10 18:15:39,2457064.261,19.22
2015-02-10 22:29:20,2457064.437,19.31
2015-02-11 00:15:54,2457064.511,19.35
2015-02-11 04:29:35,2457064.687,19.45
2015-02-11 06:16:10,2457064.761,19.40
2015-02-11 10:29:51,2457064.937,19.47
2015-04-28 16:51:54,2457141.203,null
2015-04-28 18:38:39,2457141.277,null
2015-05-16 00:45:53,2457158.532,null
2015-05-16 04:59:12,2457158.708,19.55
2015-05-16 06:45:46,2457158.782,19.36
2015-06-21 10:29:45,2457194.937,19.40
2015-07-31 05:23:17,2457234.725,null
2015-07-31 09:37:01,2457234.901,null
2015-07-31 11:23:11,2457234.974,null
2015-08-10 21:42:31,2457245.405,null
2015-08-10 23:29:16,2457245.479,null
2015-08-11 03:43:00,2457245.655,null
2015-11-16 02:06:36,2457342.588,19.46
2015-12-06 00:21:20,2457362.515,untrusted
2015-12-06 02:07:55,2457362.589,19.52
2016-01-05 23:58:22,2457393.499,19.57
2016-01-06 01:44:57,2457393.573,19.45
2016-05-07 18:00:01,2457516.250,19.55
2016-05-07 19:46:34,2457516.324,19.54
2016-05-31 13:45:55,2457540.074,null
2016-07-01 13:24:13,2457571.058,null
2016-11-25 01:26:29,2457717.560,null
2016-11-25 03:12:39,2457717.634,null
2016-12-19 07:20:14,2457741.806,null
2017-01-15 14:56:00,2457769.122,null
2017-01-15 19:09:46,2457769.298,null
2017-05-18 14:31:40,2457892.105,null
2017-05-18 16:18:25,2457892.179,null
2017-06-16 02:18:50,2457920.596,null
2017-07-12 14:06:13,2457947.088,null
2017-07-12 15:52:58,2457947.162,null
2017-12-05 09:56:31,2458092.914,19.45
2018-01-02 15:41:45,2458121.154,18.23
2018-01-02 17:28:20,2458121.228,18.20
2018-01-26 03:42:59,2458144.655,18.81
2018-01-26 05:29:33,2458144.729,18.83
2018-05-29 21:41:01,2458268.403,19.38
2018-05-29 23:27:47,2458268.478,null
2018-07-01 03:14:32,2458300.635,19.36
2018-07-01 05:01:06,2458300.709,19.41
2018-07-23 03:10:42,2458322.632,null
2018-07-23 04:57:27,2458322.707,null
2018-10-29 11:47:12,2458420.991,19.49
2018-10-29 13:33:47,2458421.065,untrusted
2018-10-29 17:47:30,2458421.241,null
2018-11-07 05:54:20,2458429.746,19.63
2018-11-07 07:40:54,2458429.820,19.61
2018-12-15 23:06:02,2458468.463,null
2019-01-17 22:43:47,2458501.447,19.46
2019-01-18 00:30:22,2458501.521,19.47
2019-02-04 18:39:16,2458519.277,19.22
2019-02-04 22:52:57,2458519.453,19.46
2019-02-05 00:39:32,2458519.527,19.43
2019-06-10 04:50:21,2458644.702,null
2019-06-10 06:36:31,2458644.775,19.60
2019-07-16 04:10:06,2458680.674,null
2019-07-16 05:56:18,2458680.747,19.38
2019-07-21 13:58:17,2458686.082,untrusted
2019-07-21 18:11:56,2458686.258,19.69
2019-08-09 06:36:33,2458704.775,19.31
2019-08-09 08:23:07,2458704.849,19.39
2019-10-27 22:28:16,2458784.436,null
2019-10-28 04:28:21,2458784.686,19.59
2019-10-28 10:28:36,2458784.937,19.58
2019-10-28 16:28:51,2458785.187,19.59
2019-10-28 22:29:06,2458785.437,19.55
2019-10-29 04:29:21,2458785.687,19.60
2019-10-29 10:29:36,2458785.937,19.60
2019-12-12 04:37:05,2458829.692,19.51
2019-12-12 06:23:40,2458829.766,19.62
2020-01-15 02:11:21,2458863.591,null
2020-01-30 18:51:41,2458879.286,19.40
2020-01-30 20:38:15,2458879.360,19.46

