Gaia18acn
#Date,JD,averagemag.
2014-08-26 05:48:47,2456895.742,null
2014-11-09 12:38:11,2456971.027,null
2014-11-09 14:24:55,2456971.101,null
2015-01-11 01:18:16,2457033.554,null
2015-02-01 17:26:16,2457055.227,null
2015-03-11 00:12:55,2457092.509,null
2015-03-11 04:26:41,2457092.685,null
2015-06-08 09:24:13,2457181.892,null
2015-06-08 11:10:58,2457181.966,null
2015-07-11 21:05:51,2457215.379,null
2015-08-16 16:31:44,2457251.189,null
2015-09-17 08:32:20,2457282.856,null
2015-09-17 10:19:05,2457282.930,null
2015-11-22 15:25:42,2457349.143,null
2015-12-18 01:26:37,2457374.560,null
2015-12-18 03:13:22,2457374.634,null
2016-01-23 06:31:04,2457410.772,null
2016-01-23 08:17:49,2457410.846,null
2016-02-13 12:26:09,2457432.018,null
2016-02-13 14:12:54,2457432.092,null
2016-03-22 01:14:45,2457469.552,null
2016-05-21 00:30:30,2457529.521,null
2016-05-21 04:44:15,2457529.697,null
2016-06-21 10:28:30,2457560.936,null
2016-06-21 12:14:41,2457561.010,null
2016-07-24 05:59:15,2457593.749,null
2016-07-24 10:13:00,2457593.926,null
2016-08-29 09:51:46,2457629.911,null
2016-08-29 11:38:31,2457629.985,null
2016-09-30 03:36:31,2457661.650,null
2016-09-30 05:23:16,2457661.724,null
2016-10-31 15:16:50,2457693.137,null
2016-10-31 17:03:35,2457693.211,null
2016-12-04 14:39:09,2457727.111,null
2016-12-04 16:25:53,2457727.185,null
2017-02-03 09:16:56,2457787.887,null
2017-02-24 16:35:36,2457809.191,null
2017-04-03 01:53:18,2457846.579,null
2017-04-03 03:40:03,2457846.653,null
2017-04-28 09:31:54,2457871.897,null
2017-06-02 19:13:03,2457907.301,null
2017-06-02 20:59:13,2457907.374,null
2017-07-05 18:56:04,2457940.289,null
2017-08-07 00:42:53,2457972.530,null
2017-08-07 02:29:03,2457972.604,null
2017-10-14 00:02:52,2458040.502,null
2017-11-12 17:44:18,2458070.239,null
2017-11-12 19:30:28,2458070.313,null
2017-12-17 11:01:42,2458104.960,null
2018-01-09 10:52:50,2458127.953,17.52
2018-01-09 12:39:24,2458128.027,17.57
2018-02-15 09:52:58,2458164.912,18.47
2018-02-15 11:39:32,2458164.986,18.46
2018-03-08 23:35:11,2458186.483,18.52
2018-04-15 04:43:25,2458223.697,20.08
2018-05-11 22:33:28,2458250.440,null
2018-06-15 16:06:14,2458285.171,null
2018-07-19 20:01:21,2458319.334,null
2018-07-19 21:48:06,2458319.408,null
2018-08-20 19:49:09,2458351.326,null
2018-08-20 21:35:54,2458351.400,null
2018-09-25 01:28:10,2458386.561,null
2018-09-25 03:14:20,2458386.635,null
2018-10-27 13:05:15,2458419.045,null
2018-11-24 18:48:22,2458447.284,null
2018-11-24 20:35:07,2458447.358,null
2018-12-30 00:01:00,2458482.501,null
2019-02-27 10:53:53,2458541.954,null
2019-03-21 12:35:23,2458564.025,null
2019-04-27 10:01:15,2458600.918,null
2019-04-27 11:48:00,2458600.992,null
2019-05-25 15:49:24,2458629.159,null
2019-05-25 17:36:09,2458629.233,null
2019-06-28 21:26:52,2458663.394,null
2019-07-24 18:54:40,2458689.288,null
2019-09-02 01:20:44,2458728.556,null
2019-09-02 03:07:29,2458728.630,null
2019-09-24 20:08:11,2458751.339,null
2019-09-24 21:54:56,2458751.413,null

