Gaia18adf
#Date,JD,averagemag.
2014-11-02 17:46:12,2456964.240,null
2014-11-29 17:33:44,2456991.232,null
2014-11-29 19:20:30,2456991.306,null
2015-02-12 05:02:29,2457065.710,null
2015-02-12 06:49:14,2457065.784,null
2015-03-03 12:59:35,2457085.041,null
2015-03-03 17:13:20,2457085.218,null
2015-03-03 19:00:04,2457085.292,null
2015-04-16 16:47:38,2457129.200,null
2015-05-18 10:25:41,2457160.935,null
2015-06-13 10:14:51,2457186.927,null
2015-06-13 12:01:01,2457187.001,null
2015-07-25 15:02:16,2457229.127,null
2015-07-25 16:49:01,2457229.201,null
2015-08-07 09:08:46,2457241.881,null
2015-08-07 10:55:31,2457241.955,null
2015-09-21 03:25:25,2457286.643,null
2015-10-07 13:44:01,2457303.072,null
2015-11-13 18:53:09,2457340.287,null
2015-11-13 20:39:19,2457340.361,null
2015-12-14 00:35:46,2457370.525,null
2015-12-14 02:22:31,2457370.599,null
2016-01-09 06:34:05,2457396.774,null
2016-01-09 08:20:50,2457396.848,null
2016-02-26 12:13:46,2457445.010,null
2016-02-26 14:00:31,2457445.084,null
2016-03-18 20:09:07,2457466.340,null
2016-03-19 00:22:52,2457466.516,null
2016-05-31 17:23:35,2457540.225,null
2016-05-31 19:10:20,2457540.299,null
2016-06-23 19:04:23,2457563.295,null
2016-08-06 11:44:47,2457606.989,null
2016-08-06 15:57:57,2457607.165,null
2016-08-17 22:04:35,2457618.420,null
2016-08-17 23:51:20,2457618.494,null
2016-09-30 22:26:14,2457662.435,null
2016-10-01 02:39:25,2457662.611,null
2016-10-19 20:41:28,2457681.362,null
2016-10-19 22:28:13,2457681.436,null
2016-11-24 02:01:13,2457716.584,null
2016-11-24 03:47:24,2457716.658,null
2016-12-27 13:39:56,2457750.069,null
2016-12-27 15:26:41,2457750.144,null
2017-01-20 13:44:55,2457774.073,null
2017-01-20 15:31:40,2457774.147,null
2017-03-10 16:33:38,2457823.190,null
2017-03-10 20:47:23,2457823.366,null
2017-03-10 22:34:08,2457823.440,null
2017-04-03 16:37:52,2457847.193,null
2017-04-03 20:51:36,2457847.369,null
2017-05-09 14:25:51,2457883.101,null
2017-05-09 16:12:36,2457883.175,null
2017-06-14 21:29:29,2457919.395,null
2017-07-05 01:42:11,2457939.571,null
2017-07-05 03:28:56,2457939.645,null
2017-08-18 18:16:26,2457984.261,null
2017-08-18 20:02:36,2457984.335,null
2017-08-29 20:09:31,2457995.340,null
2017-08-30 00:23:16,2457995.516,null
2017-08-30 02:09:26,2457995.590,null
2017-10-11 23:04:23,2458038.461,null
2017-11-02 11:02:24,2458059.960,null
2017-11-02 12:49:10,2458060.034,null
2017-12-05 12:18:53,2458093.013,null
2018-01-11 22:09:10,2458130.423,17.62
2018-01-11 23:55:45,2458130.497,17.60
2018-02-02 10:18:49,2458151.930,null
2018-02-02 12:05:01,2458152.003,17.90
2018-02-02 16:18:45,2458152.180,null
2018-03-23 09:57:18,2458200.915,untrusted
2018-03-23 11:44:22,2458200.989,null
2018-04-19 03:54:37,2458227.663,18.76
2018-04-19 05:41:11,2458227.737,18.74
2018-05-21 09:32:33,2458259.898,19.26
2018-05-21 11:19:07,2458259.972,19.28
2018-06-28 20:39:15,2458298.361,19.81
2018-06-28 22:25:49,2458298.435,19.83
2018-07-16 08:42:11,2458315.863,20.04
2018-08-30 07:11:53,2458360.800,null
2018-08-30 08:58:26,2458360.874,20.40
2018-09-11 13:19:11,2458373.055,null
2018-09-11 15:05:21,2458373.129,null
2018-10-22 19:54:59,2458414.330,20.77
2018-11-16 06:01:45,2458438.751,20.67
2018-12-16 23:42:24,2458469.488,null
2018-12-17 01:28:34,2458469.562,null
2019-01-27 17:19:11,2458511.222,null
2019-01-27 19:05:56,2458511.296,null
2019-01-27 23:19:17,2458511.472,20.89
2019-01-28 01:05:52,2458511.546,null
2019-02-16 07:16:39,2458530.803,null
2019-02-16 11:30:24,2458530.979,null
2019-02-16 13:17:09,2458531.054,null
2019-02-16 17:30:54,2458531.230,null
2019-04-04 17:07:12,2458578.213,null
2019-04-04 18:53:22,2458578.287,null
2019-05-04 00:41:50,2458607.529,21.08
2019-06-02 04:38:56,2458636.694,null
2019-07-12 15:35:20,2458677.150,null
2019-08-01 01:41:54,2458696.571,null
2019-08-01 05:55:39,2458696.747,null
2019-08-01 07:42:23,2458696.821,null
2019-08-01 11:56:08,2458696.997,null
2019-08-21 18:22:24,2458717.266,null
2019-08-21 20:09:09,2458717.340,null
2019-08-22 00:22:54,2458717.516,null
2019-08-22 02:09:39,2458717.590,null
2019-10-09 02:16:26,2458765.595,null
2019-10-09 04:03:11,2458765.669,null
2019-12-04 12:20:47,2458822.014,null
2020-01-11 14:39:01,2458860.110,null
2020-01-25 09:00:43,2458873.875,null
2020-03-08 10:09:16,2458916.923,null
2020-03-08 11:55:31,2458916.997,20.72
2020-03-22 04:29:12,2458930.687,null
2020-03-22 06:15:45,2458930.761,20.75

