Gaia18aew
#Date,JD,averagemag.
2014-10-30 14:20:49,2456961.098,null
2014-10-30 18:34:35,2456961.274,null
2015-01-08 13:51:20,2457031.077,null
2015-01-08 18:05:04,2457031.254,null
2015-02-09 07:28:08,2457062.811,null
2015-03-16 12:41:51,2457098.029,null
2015-05-17 15:33:59,2457160.149,null
2015-05-17 17:20:44,2457160.223,null
2015-06-02 17:24:55,2457176.226,null
2015-07-14 04:18:33,2457217.680,null
2015-08-08 02:26:50,2457242.602,null
2015-08-08 04:13:35,2457242.676,null
2015-09-11 02:01:29,2457276.584,null
2015-09-11 03:48:15,2457276.659,null
2015-10-18 19:39:46,2457314.319,null
2015-10-18 21:26:31,2457314.393,null
2015-11-13 07:44:00,2457339.822,null
2015-11-13 09:30:45,2457339.896,null
2015-12-25 01:18:42,2457381.555,null
2015-12-25 03:05:27,2457381.629,null
2016-01-22 14:53:09,2457410.120,null
2016-01-22 19:06:54,2457410.296,null
2016-02-20 18:47:00,2457439.283,null
2016-02-20 20:33:45,2457439.357,null
2016-03-28 17:52:03,2457476.244,null
2016-04-16 05:52:40,2457494.745,null
2016-04-16 07:39:25,2457494.819,null
2016-05-28 12:18:26,2457537.013,null
2016-05-28 16:32:11,2457537.189,null
2016-06-14 16:36:17,2457554.192,null
2016-06-14 18:23:02,2457554.266,null
2016-07-24 23:23:17,2457594.475,null
2016-08-21 09:28:04,2457621.894,null
2016-09-22 10:57:30,2457653.957,null
2016-11-01 14:48:24,2457694.117,null
2016-11-01 16:35:09,2457694.191,null
2016-11-26 10:39:48,2457718.944,null
2016-11-26 14:53:32,2457719.121,null
2017-01-05 08:27:11,2457758.852,null
2017-01-05 10:13:21,2457758.926,null
2017-02-04 14:06:58,2457789.088,null
2017-03-03 05:00:34,2457815.709,null
2017-04-10 14:11:34,2457854.091,null
2017-04-10 15:57:43,2457854.165,null
2017-06-09 08:40:17,2457913.861,null
2017-06-28 00:57:20,2457932.540,null
2017-08-06 00:05:50,2457971.504,null
2017-09-04 17:52:43,2458001.245,null
2017-09-04 19:39:29,2458001.319,null
2017-10-04 23:43:15,2458031.488,null
2017-10-05 01:30:00,2458031.563,null
2017-11-15 23:20:22,2458073.472,null
2017-11-16 01:06:32,2458073.546,null
2017-12-10 23:23:55,2458098.475,null
2017-12-11 01:10:39,2458098.549,null
2018-01-17 04:56:46,2458135.706,19.08
2018-01-17 06:43:20,2458135.780,19.09
2018-03-14 12:03:50,2458192.003,19.90
2018-04-23 09:08:24,2458231.881,null
2018-05-09 09:12:08,2458247.883,null
2018-05-09 10:58:53,2458247.958,null
2018-06-21 01:55:01,2458290.580,null
2018-07-11 13:55:37,2458311.080,null
2018-08-18 01:13:30,2458348.551,null
2018-09-19 06:56:09,2458380.789,null
2018-09-19 08:42:54,2458380.863,null
2018-10-17 18:53:16,2458409.287,null
2018-10-17 20:39:26,2458409.361,null
2018-11-29 18:29:26,2458452.270,null
2018-11-29 20:16:11,2458452.345,null
2018-12-25 12:29:57,2458478.021,null
2018-12-25 14:16:42,2458478.095,null
2019-01-29 00:04:09,2458512.503,null
2019-01-29 01:50:19,2458512.577,null
2019-03-03 13:12:50,2458546.051,null
2019-03-25 19:06:21,2458568.296,null
2019-05-05 17:51:45,2458609.244,null
2019-05-05 22:05:30,2458609.420,null
2019-07-02 16:43:27,2458667.197,null
2019-08-02 05:13:03,2458697.717,null
2019-09-06 12:56:55,2458733.040,null
2019-09-29 01:45:01,2458755.573,null
2019-09-29 03:31:46,2458755.647,null

