Gaia18ahy
#Date,JD,averagemag.
2014-10-30 04:34:37,2456960.691,null
2015-02-17 14:09:26,2457071.090,null
2015-02-17 15:56:11,2457071.164,null
2015-02-17 20:09:56,2457071.340,null
2015-03-09 08:20:14,2457090.847,null
2015-03-09 10:06:59,2457090.922,null
2015-04-16 01:58:03,2457128.582,null
2015-04-16 03:44:48,2457128.656,null
2015-05-21 13:23:57,2457164.058,null
2015-05-21 15:10:07,2457164.132,null
2015-06-10 03:13:22,2457183.634,null
2015-06-10 07:26:32,2457183.810,null
2015-07-27 12:00:16,2457231.000,null
2015-07-27 13:47:01,2457231.074,null
2015-07-27 18:00:46,2457231.251,null
2015-07-27 19:46:56,2457231.324,null
2015-08-01 13:51:10,2457236.077,null
2015-08-01 18:04:55,2457236.253,null
2015-08-01 19:51:40,2457236.328,null
2015-08-02 00:04:50,2457236.503,null
2015-08-02 01:51:35,2457236.577,null
2015-09-17 10:36:09,2457282.942,null
2015-09-17 12:22:54,2457283.016,null
2015-10-07 10:34:12,2457302.940,null
2015-10-07 12:20:56,2457303.015,null
2015-11-10 11:41:46,2457336.987,null
2015-12-18 11:11:55,2457374.967,null
2015-12-18 15:25:40,2457375.143,null
2015-12-18 17:12:25,2457375.217,null
2016-01-05 21:35:01,2457393.399,null
2016-01-05 23:21:11,2457393.473,null
2016-01-06 03:34:55,2457393.649,null
2016-01-06 05:21:40,2457393.723,null
2016-02-29 11:07:44,2457447.964,null
2016-02-29 15:20:55,2457448.140,null
2016-03-24 09:26:22,2457471.893,null
2016-03-24 11:13:07,2457471.967,null
2016-04-26 15:07:54,2457505.130,null
2016-04-26 16:54:39,2457505.205,null
2016-06-03 20:21:52,2457543.349,null
2016-06-19 22:14:17,2457559.427,null
2016-08-06 18:53:51,2457607.287,null
2016-08-06 20:40:36,2457607.362,null
2016-08-13 14:45:47,2457614.115,null
2016-08-13 18:59:31,2457614.291,null
2016-08-13 20:46:16,2457614.365,null
2016-09-27 05:38:27,2457658.735,null
2016-09-27 07:25:12,2457658.809,null
2016-10-20 11:30:16,2457681.979,null
2016-11-20 23:03:17,2457713.461,null
2017-01-04 00:22:28,2457757.516,null
2017-01-04 04:36:13,2457757.692,null
2017-01-04 06:22:22,2457757.766,null
2017-01-04 10:36:07,2457757.942,null
2017-01-04 12:22:52,2457758.016,null
2017-01-04 16:36:36,2457758.192,null
2017-01-17 04:46:07,2457770.699,null
2017-01-17 06:32:17,2457770.772,null
2017-01-17 10:46:02,2457770.949,null
2017-01-17 12:32:47,2457771.023,null
2017-01-17 16:46:32,2457771.199,null
2017-01-17 18:32:42,2457771.273,null
2017-03-12 07:41:08,2457824.820,null
2017-04-08 11:52:17,2457851.995,null
2017-04-08 13:39:02,2457852.069,null
2017-05-08 01:25:04,2457881.559,null
2017-06-17 18:28:08,2457922.270,null
2017-06-17 22:41:54,2457922.446,null
2017-06-30 10:48:53,2457934.951,null
2017-06-30 12:35:38,2457935.025,null
2017-08-17 09:10:55,2457982.883,null
2017-08-17 10:57:40,2457982.957,null
2017-08-27 05:03:21,2457992.711,null
2017-08-27 09:17:05,2457992.887,null
2017-10-08 03:51:24,2458034.661,null
2017-11-03 13:50:18,2458061.077,null
2017-11-03 15:36:28,2458061.150,null
2017-12-02 07:34:34,2458089.816,null
2017-12-02 09:20:43,2458089.889,null
2018-01-22 02:59:39,2458140.625,null
2018-01-22 07:13:24,2458140.801,null
2018-01-22 09:00:09,2458140.875,null
2018-01-22 13:13:54,2458141.051,null
2018-01-22 15:00:04,2458141.125,null
2018-01-22 19:13:49,2458141.301,null
2018-01-22 21:00:34,2458141.375,null
2018-01-23 01:14:19,2458141.552,null
2018-02-01 01:21:37,2458150.557,19.06
2018-02-01 07:21:51,2458150.807,18.98
2018-02-01 09:08:25,2458150.881,19.04
2018-02-01 13:22:06,2458151.057,19.08
2018-02-01 15:08:40,2458151.131,19.05
2018-02-01 19:22:20,2458151.307,19.12
2018-02-01 21:08:54,2458151.381,19.12
2018-02-02 03:09:09,2458151.631,19.06
2018-03-24 01:05:42,2458201.546,null
2018-03-24 02:52:27,2458201.620,null
2018-05-19 08:32:35,2458257.856,null
2018-07-01 17:38:20,2458301.235,null
2018-07-01 19:25:05,2458301.309,null
2018-07-10 23:45:30,2458310.490,null
2018-07-11 01:31:40,2458310.564,null
2018-08-27 16:06:49,2458358.171,null
2018-08-27 17:52:59,2458358.245,null
2018-09-09 23:58:53,2458371.499,null
2018-09-10 04:12:37,2458371.675,null
2018-11-17 22:35:21,2458440.441,null
2018-11-18 02:49:05,2458440.617,null
2018-12-13 20:43:37,2458466.364,null
2018-12-13 22:30:22,2458466.438,null
2019-02-05 10:12:49,2458519.926,null
2019-02-05 14:26:34,2458520.102,null
2019-02-05 16:13:19,2458520.176,null
2019-02-05 20:27:04,2458520.352,null
2019-02-05 22:13:14,2458520.426,null
2019-02-20 02:37:56,2458534.610,null
2019-02-20 04:24:06,2458534.683,null
2019-02-20 08:37:52,2458534.860,null
2019-02-20 10:24:37,2458534.934,null
2019-04-04 16:03:22,2458578.169,null
2019-04-04 20:16:33,2458578.345,null
2019-05-07 13:53:37,2458611.079,null
2019-05-07 15:39:48,2458611.153,null
2019-05-30 13:51:31,2458634.077,null
2019-07-15 06:34:00,2458679.774,null
2019-07-15 08:20:45,2458679.848,null
2019-07-15 14:21:16,2458680.098,null
2019-08-10 03:05:16,2458705.629,null
2019-08-10 04:51:26,2458705.702,null
2019-08-10 09:05:11,2458705.879,null
2019-08-10 10:51:56,2458705.953,null
2019-08-10 15:05:41,2458706.129,null
2019-08-10 16:51:51,2458706.203,null
2019-08-25 21:22:50,2458721.391,null
2019-08-25 23:09:35,2458721.465,null
2019-08-26 03:22:44,2458721.641,null
2019-08-26 05:09:29,2458721.715,null
2019-08-26 09:23:13,2458721.891,null

