Gaia18ajd
#Date,JD,averagemag.
2015-02-15 02:07:44,2457068.589,null
2015-02-15 03:54:29,2457068.663,null
2015-02-15 08:07:39,2457068.839,null
2015-03-09 14:16:28,2457091.095,null
2015-03-09 16:02:38,2457091.168,null
2015-04-15 01:54:53,2457127.580,null
2015-04-15 03:41:04,2457127.654,null
2015-05-20 13:19:55,2457163.055,null
2015-05-20 15:06:40,2457163.130,null
2015-06-10 03:08:21,2457183.631,null
2015-07-25 05:58:44,2457228.749,null
2015-07-25 07:45:29,2457228.823,null
2015-08-04 06:05:18,2457238.754,null
2015-08-04 07:52:03,2457238.828,null
2015-10-08 10:37:05,2457303.942,null
2015-10-08 12:23:49,2457304.017,null
2015-11-11 09:58:46,2457337.916,null
2015-11-11 11:45:31,2457337.990,null
2015-12-18 09:30:48,2457374.896,null
2015-12-18 11:16:58,2457374.970,null
2016-01-08 15:37:59,2457396.151,null
2016-01-08 17:24:43,2457396.225,null
2016-02-27 15:18:59,2457446.138,null
2016-02-27 17:05:44,2457446.212,null
2016-03-23 21:22:06,2457471.390,null
2016-03-23 23:08:16,2457471.464,null
2016-04-25 21:04:00,2457504.378,null
2016-06-02 14:18:23,2457542.096,null
2016-06-02 16:05:08,2457542.170,null
2016-06-20 04:09:43,2457559.673,null
2016-08-04 18:54:01,2457605.288,null
2016-08-04 20:40:46,2457605.362,null
2016-08-05 00:54:31,2457605.538,null
2016-08-15 20:47:23,2457616.366,null
2016-08-16 01:01:08,2457616.542,null
2016-09-27 13:29:29,2457659.062,null
2016-10-21 07:20:42,2457682.806,null
2016-11-21 23:06:33,2457714.463,null
2016-11-22 00:53:18,2457714.537,null
2017-01-02 06:25:19,2457755.768,null
2017-01-02 10:38:29,2457755.943,null
2017-01-02 12:25:14,2457756.018,null
2017-01-02 16:38:58,2457756.194,null
2017-01-20 22:48:50,2457774.451,null
2017-01-21 00:35:35,2457774.525,null
2017-01-21 04:49:20,2457774.701,null
2017-01-21 06:36:05,2457774.775,null
2017-03-10 17:52:14,2457823.245,null
2017-03-10 19:38:59,2457823.319,null
2017-04-07 19:34:08,2457851.315,null
2017-05-07 11:34:15,2457880.982,null
2017-06-16 10:39:00,2457920.944,null
2017-06-16 12:25:10,2457921.017,null
2017-07-01 04:45:17,2457935.698,null
2017-07-01 06:31:28,2457935.772,null
2017-08-16 03:12:37,2457981.634,null
2017-08-16 04:59:22,2457981.708,null
2017-08-28 23:05:08,2457994.462,null
2017-08-29 03:18:53,2457994.638,null
2017-10-08 15:55:40,2458035.164,null
2017-11-04 07:54:06,2458061.829,null
2017-11-04 09:40:51,2458061.903,null
2017-12-03 13:37:50,2458091.068,null
2017-12-03 15:23:59,2458091.142,null
2018-01-18 08:59:06,2458136.874,null
2018-01-18 13:12:51,2458137.051,null
2018-01-18 14:59:01,2458137.124,null
2018-01-18 19:12:46,2458137.301,null
2018-02-05 01:23:29,2458154.558,18.40
2018-02-05 07:23:44,2458154.808,18.36
2018-02-05 09:10:18,2458154.882,18.45
2018-03-22 19:03:23,2458200.294,null
2018-03-22 20:49:33,2458200.368,null
2018-04-22 08:36:08,2458230.858,null
2018-05-18 20:27:52,2458257.353,null
2018-06-29 23:35:28,2458299.483,null
2018-06-30 01:22:14,2458299.557,null
2018-07-12 05:42:52,2458311.738,null
2018-07-12 07:29:02,2458311.812,null
2018-08-26 23:56:19,2458357.497,null
2018-09-11 10:14:04,2458372.926,null
2018-09-11 12:00:49,2458373.001,null
2018-10-19 21:14:27,2458411.385,null
2018-10-19 23:01:11,2458411.459,null
2018-11-18 14:53:42,2458441.121,null
2018-11-18 16:39:52,2458441.194,null
2018-12-15 08:46:18,2458467.865,null
2018-12-15 10:33:03,2458467.940,null
2019-02-02 02:24:41,2458516.600,null
2019-02-02 04:11:26,2458516.675,null
2019-02-02 08:24:36,2458516.850,null
2019-02-21 14:35:37,2458536.108,null
2019-02-21 16:22:23,2458536.182,null
2019-04-03 14:13:33,2458577.093,null
2019-04-03 16:00:18,2458577.167,null
2019-05-30 03:32:53,2458633.648,null
2019-05-30 07:46:39,2458633.824,null
2019-07-13 00:31:53,2458677.522,null
2019-07-13 02:18:38,2458677.596,null
2019-08-06 15:00:44,2458702.126,null
2019-08-06 16:46:54,2458702.199,null
2019-08-06 21:00:39,2458702.375,null
2019-08-06 22:47:24,2458702.450,null
2019-08-27 09:27:38,2458722.894,null
2019-08-27 11:14:23,2458722.968,null
2019-08-27 15:28:08,2458723.145,null

