Gaia18akg
#Date,JD,averagemag.
2014-09-10 17:03:23,2456911.211,untrusted
2014-09-10 18:49:56,2456911.285,untrusted
2015-02-27 23:07:00,2457081.463,null
2015-02-28 03:20:12,2457081.639,null
2015-03-25 10:59:52,2457106.958,18.50
2015-04-20 10:55:06,2457132.955,18.50
2015-10-01 17:12:44,2457297.217,18.38
2015-10-01 21:26:22,2457297.393,18.42
2015-10-25 03:18:30,2457320.638,18.14
2016-03-09 06:16:19,2457456.761,18.21
2016-04-08 16:12:48,2457487.176,18.23
2016-04-29 10:18:15,2457507.929,18.37
2016-04-29 12:04:50,2457508.003,18.24
2016-09-13 00:39:46,2457644.528,18.41
2016-10-15 18:07:20,2457677.255,18.21
2016-11-02 10:22:44,2457694.932,18.31
2016-11-02 12:09:18,2457695.006,18.51
2017-03-19 19:03:11,2457832.294,18.23
2017-03-19 20:49:46,2457832.368,18.24
2017-04-25 00:37:09,2457868.526,null
2017-04-25 02:23:43,2457868.600,18.48
2017-05-07 14:33:15,2457881.106,18.35
2017-05-07 18:46:56,2457881.283,18.42
2017-05-07 20:33:30,2457881.357,18.43
2017-08-09 07:58:53,2457974.833,18.34
2017-08-09 13:59:18,2457975.083,null
2017-08-09 15:45:40,2457975.157,18.31
2017-08-09 19:59:19,2457975.333,18.31
2017-08-09 21:45:53,2457975.407,18.39
2017-08-10 01:59:32,2457975.583,18.39
2017-08-10 03:46:06,2457975.657,18.48
2017-08-10 07:59:45,2457975.833,18.46
2017-08-10 09:46:18,2457975.907,18.48
2017-08-10 13:59:57,2457976.083,untrusted
2017-08-10 15:46:31,2457976.157,18.48
2017-08-10 20:00:10,2457976.333,18.36
2017-08-10 21:46:44,2457976.407,18.29
2017-08-11 02:00:22,2457976.584,18.37
2017-08-11 03:46:56,2457976.658,18.32
2017-08-11 08:00:35,2457976.834,18.30
2017-08-11 09:47:09,2457976.908,18.34
2017-08-11 14:00:48,2457977.084,18.29
2017-08-11 15:47:21,2457977.158,18.29
2017-08-11 20:01:00,2457977.334,18.31
2017-08-11 21:47:34,2457977.408,18.41
2017-08-12 02:01:13,2457977.584,18.35
2017-08-12 03:47:46,2457977.658,18.37
2017-08-12 08:01:25,2457977.834,18.35
2017-08-12 09:47:59,2457977.908,untrusted
2017-08-12 14:01:38,2457978.084,untrusted
2017-08-12 15:48:12,2457978.158,18.32
2017-08-12 20:01:51,2457978.335,18.21
2017-08-12 21:48:25,2457978.409,18.27
2017-08-13 02:02:04,2457978.585,18.18
2017-10-31 14:25:50,2458058.101,18.34
2017-10-31 18:39:55,2458058.278,null
2017-11-10 00:45:13,2458067.531,18.24
2017-11-10 02:31:46,2458067.605,18.07
2018-02-09 22:22:57,2458159.433,16.46
2018-02-10 02:36:38,2458159.609,16.51
2018-03-30 14:14:45,2458208.094,18.19
2018-08-14 14:58:51,2458345.124,18.38
2018-08-14 16:45:25,2458345.198,18.32
2018-08-14 20:59:04,2458345.374,18.32
2018-08-14 22:45:37,2458345.448,18.36
2018-09-01 04:50:17,2458362.702,null
2018-09-01 09:03:57,2458362.878,18.37
2018-10-04 16:19:21,2458396.180,18.26
2019-02-18 15:40:56,2458533.153,18.33
2019-02-18 17:27:31,2458533.227,18.35
2019-03-10 21:43:26,2458553.405,18.15
2019-03-10 23:30:01,2458553.479,18.17
2019-04-10 05:12:41,2458583.717,18.28
2019-08-23 20:15:39,2458719.344,18.16
2019-09-14 04:40:24,2458740.695,null
2019-10-14 10:06:53,2458770.921,18.04
2019-10-14 11:53:27,2458770.995,18.07
2020-02-20 13:39:29,2458900.069,18.33
2020-02-20 15:26:03,2458900.143,untrusted
2020-04-11 17:28:27,2458951.228,18.17

