Gaia18alu
#Date,JD,averagemag.
2014-11-21 17:46:46,2456983.241,null
2014-11-21 21:59:57,2456983.417,null
2014-11-21 23:46:42,2456983.491,null
2014-11-30 17:53:14,2456992.245,null
2014-11-30 22:07:00,2456992.422,null
2014-11-30 23:53:46,2456992.496,null
2015-03-27 08:26:31,2457108.852,null
2015-04-27 12:14:31,2457140.010,null
2015-08-31 07:57:50,2457265.832,null
2015-08-31 12:11:36,2457266.008,null
2015-09-26 00:12:19,2457291.509,null
2015-09-26 01:59:05,2457291.583,null
2015-10-24 13:46:03,2457320.074,null
2016-04-09 21:22:03,2457488.390,null
2016-04-10 01:35:46,2457488.567,null
2016-05-07 15:10:11,2457516.132,null
2016-09-10 13:23:24,2457642.058,null
2016-09-10 15:09:35,2457642.132,null
2016-10-09 19:12:27,2457671.300,null
2016-10-09 20:58:38,2457671.374,null
2016-11-03 01:07:14,2457695.547,null
2016-11-03 02:53:25,2457695.620,null
2017-02-07 03:56:59,2457791.665,null
2017-02-07 09:57:28,2457791.915,null
2017-02-07 11:43:38,2457791.989,null
2017-02-07 15:57:22,2457792.165,null
2017-02-07 17:44:07,2457792.239,null
2017-02-07 23:44:01,2457792.489,null
2017-02-11 01:09:08,2457795.548,null
2017-02-11 05:22:52,2457795.724,null
2017-02-11 07:09:37,2457795.798,null
2017-02-11 11:23:21,2457795.975,null
2017-02-11 13:09:31,2457796.048,null
2017-03-25 10:18:59,2457837.930,null
2017-04-25 03:55:42,2457868.664,null
2017-04-25 05:41:51,2457868.737,null
2017-05-18 15:55:20,2457892.163,null
2017-05-18 17:42:05,2457892.238,null
2017-09-21 17:43:46,2458018.239,null
2017-09-21 21:57:32,2458018.415,null
2017-10-24 05:19:57,2458050.722,null
2017-11-13 03:35:08,2458070.649,null
2018-02-14 18:13:26,2458164.259,18.48
2018-02-14 20:00:00,2458164.333,18.50
2018-04-05 07:12:30,2458213.800,19.93
2018-05-11 12:42:23,2458250.029,20.60
2018-05-11 16:56:23,2458250.206,null
2018-05-28 17:04:23,2458267.211,null
2018-05-28 18:50:33,2458267.285,null
2018-05-28 23:04:17,2458267.461,null
2018-05-29 00:51:02,2458267.535,null
2018-08-12 01:07:09,2458342.547,null
2018-08-12 05:20:55,2458342.723,null
2018-08-12 07:07:40,2458342.797,null
2018-08-12 11:21:26,2458342.973,null
2018-08-23 05:30:21,2458353.729,null
2018-08-23 07:17:07,2458353.804,null
2018-08-23 11:30:53,2458353.980,null
2018-08-23 13:17:38,2458354.054,null
2018-10-02 23:08:22,2458394.464,null
2018-10-03 00:55:07,2458394.538,null
2018-11-07 10:30:57,2458429.938,null
2018-11-07 12:17:43,2458430.012,null
2018-11-22 12:24:05,2458445.017,null
2018-11-22 16:37:51,2458445.193,null
2019-02-23 19:12:34,2458538.300,null
2019-02-23 20:59:18,2458538.375,null
2019-03-13 07:13:40,2458555.801,null
2019-03-13 09:00:24,2458555.875,null
2019-04-16 12:34:14,2458590.024,null
2019-08-29 04:54:43,2458724.705,null
2019-08-29 06:41:29,2458724.779,null
2019-09-16 11:28:28,2458742.978,null
2019-09-16 13:15:14,2458743.052,null

