Gaia18aob
#Date,JD,averagemag.
2014-08-29 18:30:09,2456899.271,null
2014-11-17 12:08:08,2456979.006,null
2014-11-17 13:54:17,2456979.079,null
2014-11-17 18:08:02,2456979.256,null
2014-11-24 06:13:28,2456985.759,null
2014-11-24 07:59:38,2456985.833,null
2014-11-24 12:13:23,2456986.009,null
2014-11-24 14:00:08,2456986.083,null
2015-01-06 22:46:36,2457029.449,null
2015-01-07 00:33:22,2457029.523,null
2015-02-28 22:12:43,2457082.425,null
2015-04-07 15:50:27,2457120.160,null
2015-04-07 17:37:12,2457120.234,null
2015-04-28 05:48:20,2457140.742,null
2015-04-28 10:01:30,2457140.918,null
2015-04-28 11:48:15,2457140.992,null
2015-06-23 05:33:51,2457196.732,null
2015-06-23 09:47:36,2457196.908,null
2015-06-23 11:34:20,2457196.982,null
2015-07-18 05:37:17,2457221.734,null
2015-07-18 09:51:01,2457221.910,null
2015-08-21 21:26:30,2457256.393,null
2015-09-28 08:35:04,2457293.858,null
2015-10-14 20:37:47,2457310.360,null
2015-10-14 22:24:32,2457310.434,null
2015-11-28 13:01:55,2457355.043,null
2015-11-28 14:48:40,2457355.117,null
2015-11-28 19:02:25,2457355.293,null
2015-12-06 07:07:39,2457362.797,null
2015-12-06 08:54:24,2457362.871,null
2016-01-17 07:36:18,2457404.817,null
2016-02-08 17:45:50,2457427.240,null
2016-03-11 07:09:21,2457458.798,null
2016-04-23 23:01:41,2457502.460,null
2016-04-24 00:48:26,2457502.534,null
2016-04-24 05:02:12,2457502.710,null
2016-04-24 06:48:22,2457502.784,null
2016-05-10 13:00:19,2457519.042,null
2016-05-10 17:14:05,2457519.218,null
2016-05-10 19:00:50,2457519.292,null
2016-05-10 23:14:35,2457519.468,null
2016-05-11 01:00:45,2457519.542,null
2016-07-04 18:44:28,2457574.281,null
2016-07-04 22:58:12,2457574.457,null
2016-08-01 22:52:28,2457602.453,null
2016-08-02 00:39:12,2457602.527,null
2016-09-01 10:33:00,2457632.940,null
2016-10-10 21:30:33,2457672.396,null
2016-10-10 23:17:18,2457672.470,null
2016-10-24 03:35:56,2457685.650,null
2016-10-24 05:22:06,2457685.724,null
2016-12-07 19:56:43,2457730.331,null
2016-12-07 21:42:53,2457730.405,null
2016-12-17 20:03:06,2457740.335,null
2016-12-17 21:49:51,2457740.410,null
2017-01-27 00:54:47,2457780.538,null
2017-02-21 14:07:29,2457806.089,null
2017-02-21 15:54:14,2457806.163,null
2017-03-23 01:55:40,2457835.580,null
2017-05-12 01:39:10,2457885.569,null
2017-05-12 07:39:06,2457885.819,null
2017-05-12 09:25:51,2457885.893,null
2017-05-12 13:39:36,2457886.069,null
2017-05-12 15:25:46,2457886.143,null
2017-05-12 21:26:16,2457886.393,null
2017-05-26 03:37:02,2457899.651,null
2017-05-26 07:50:12,2457899.827,null
2017-05-26 09:36:57,2457899.901,null
2017-05-26 13:50:42,2457900.077,null
2017-05-26 15:37:27,2457900.151,null
2017-05-26 19:50:37,2457900.327,null
2017-07-17 01:29:55,2457951.562,null
2017-07-17 03:16:40,2457951.637,null
2017-08-16 21:00:45,2457982.376,null
2017-08-17 01:14:29,2457982.552,null
2017-09-12 19:00:44,2458009.292,null
2017-10-24 01:34:17,2458050.565,null
2017-10-24 05:48:02,2458050.742,null
2017-11-03 05:53:40,2458060.746,null
2017-11-03 07:40:25,2458060.820,null
2017-11-03 11:54:10,2458060.996,null
2017-12-17 22:15:45,2458105.428,null
2017-12-18 00:01:55,2458105.501,null
2017-12-30 22:21:28,2458118.432,null
2017-12-31 00:08:13,2458118.506,null
2018-02-06 21:24:07,2458156.392,null
2018-03-07 21:08:44,2458185.381,17.62
2018-03-07 22:55:19,2458185.455,17.73
2018-04-03 21:06:58,2458212.380,null
2018-04-03 22:53:43,2458212.454,null
2018-05-27 20:52:56,2458266.370,null
2018-05-28 02:53:26,2458266.620,null
2018-05-28 04:39:36,2458266.694,null
2018-05-28 08:53:21,2458266.870,null
2018-05-28 10:40:06,2458266.945,null
2018-06-13 21:04:56,2458283.378,null
2018-06-13 22:51:05,2458283.452,null
2018-06-14 03:04:50,2458283.628,null
2018-06-14 04:51:35,2458283.702,null
2018-07-29 08:39:10,2458328.861,null
2018-07-29 10:25:54,2458328.935,null
2018-08-31 09:58:24,2458361.916,null
2018-08-31 14:11:33,2458362.091,null
2018-09-23 20:04:39,2458385.337,null
2018-11-05 20:28:47,2458428.353,null
2018-11-06 00:42:32,2458428.530,null
2018-11-13 18:48:34,2458436.284,null
2018-11-13 20:34:44,2458436.357,null
2018-12-27 23:13:52,2458480.468,null
2018-12-28 01:00:37,2458480.542,null
2019-01-12 23:18:23,2458496.471,null
2019-01-13 01:05:09,2458496.545,null
2019-02-17 22:32:21,2458532.439,null
2019-03-22 22:12:43,2458565.425,null
2019-03-22 23:58:53,2458565.499,null
2019-04-16 00:04:47,2458589.503,null
2019-04-16 04:18:33,2458589.680,null
2019-06-10 16:05:19,2458645.170,null
2019-06-10 17:51:29,2458645.244,null
2019-06-10 22:05:13,2458645.420,null
2019-06-10 23:51:58,2458645.494,null
2019-07-01 22:14:43,2458666.427,null
2019-07-02 00:00:52,2458666.501,null
2019-07-02 04:14:37,2458666.677,null
2019-08-23 01:22:59,2458718.558,null
2019-08-23 03:09:43,2458718.632,null
2019-09-26 08:47:04,2458752.866,null
2019-09-26 10:33:48,2458752.940,null

