Gaia18aqe
#Date,JD,averagemag.
2014-08-23 04:22:26,2456892.682,null
2014-08-23 06:08:36,2456892.756,null
2014-11-08 12:05:43,2456970.004,null
2014-11-08 13:52:28,2456970.078,null
2014-11-30 18:01:16,2456992.251,null
2015-01-04 17:17:11,2457027.220,null
2015-03-05 10:43:08,2457086.947,null
2015-03-05 12:29:53,2457087.021,null
2015-04-10 04:21:09,2457122.681,null
2015-04-10 06:07:54,2457122.755,null
2015-06-14 03:49:53,2457187.660,null
2015-06-14 05:36:03,2457187.733,null
2015-07-19 09:18:01,2457222.888,null
2015-08-14 15:07:39,2457249.130,null
2015-08-14 16:54:24,2457249.204,null
2015-09-22 08:11:10,2457287.841,null
2015-10-13 08:08:09,2457308.839,null
2015-10-13 09:54:54,2457308.913,null
2015-11-20 07:07:41,2457346.797,null
2015-12-13 08:47:34,2457369.866,null
2016-01-16 12:22:51,2457404.016,null
2016-01-16 14:09:01,2457404.090,null
2016-02-15 18:04:37,2457434.253,null
2016-02-15 19:51:22,2457434.327,null
2016-03-17 11:50:29,2457464.993,null
2016-04-22 17:27:59,2457501.228,null
2016-04-22 19:14:44,2457501.302,null
2016-05-24 05:15:05,2457532.719,null
2016-05-24 07:01:50,2457532.793,null
2016-06-25 22:55:58,2457565.456,null
2016-06-26 00:42:08,2457565.529,null
2016-08-01 04:18:28,2457601.679,null
2016-08-25 22:10:30,2457626.424,null
2016-08-25 23:57:15,2457626.498,null
2016-10-03 16:57:00,2457665.206,null
2016-10-24 15:07:59,2457686.131,null
2016-10-24 16:54:44,2457686.205,null
2016-11-30 21:57:08,2457723.415,null
2017-01-27 13:29:01,2457781.062,null
2017-02-28 08:31:17,2457812.855,null
2017-02-28 10:18:02,2457812.929,null
2017-03-30 16:06:43,2457843.171,null
2017-03-30 20:20:28,2457843.348,null
2017-05-06 01:57:38,2457879.582,null
2017-05-06 03:44:23,2457879.656,null
2017-07-08 15:10:32,2457943.132,null
2017-08-14 14:27:34,2457980.102,null
2017-09-07 02:21:22,2458003.598,null
2017-10-15 23:32:50,2458042.481,null
2017-11-05 23:30:11,2458063.479,null
2017-11-06 01:16:57,2458063.553,null
2017-12-12 12:22:44,2458100.016,null
2018-01-07 04:24:59,2458125.684,null
2018-01-07 06:11:44,2458125.758,null
2018-02-08 15:57:59,2458158.165,null
2018-02-08 17:44:44,2458158.239,null
2018-03-14 03:36:50,2458191.651,18.42
2018-03-14 05:23:24,2458191.725,18.40
2018-04-13 09:27:24,2458221.894,null
2018-05-19 09:04:55,2458257.878,null
2018-05-19 10:51:40,2458257.953,null
2018-06-21 16:30:41,2458291.188,null
2018-07-21 04:15:32,2458320.677,null
2018-08-27 19:40:24,2458358.320,null
2018-08-27 21:27:09,2458358.394,null
2018-09-19 07:36:29,2458380.817,null
2018-09-19 09:22:39,2458380.891,null
2018-10-28 00:33:23,2458419.523,null
2018-12-24 05:40:27,2458476.736,null
2018-12-24 07:27:13,2458476.811,null
2019-01-20 07:13:33,2458503.801,null
2019-02-21 00:51:20,2458535.536,null
2019-03-27 18:29:23,2458570.270,null
2019-04-27 04:33:33,2458600.690,null
2019-04-27 06:20:18,2458600.764,null
2019-06-01 10:11:38,2458635.925,null
2019-06-01 11:58:22,2458635.999,null
2019-07-05 17:32:13,2458670.231,null
2019-07-24 01:20:16,2458688.556,null
2019-08-26 12:57:23,2458722.040,null
2019-08-26 14:43:33,2458722.114,null

