Gaia18arg
#Date,JD,averagemag.
2014-08-18 10:36:39,2456887.942,null
2014-08-18 12:22:49,2456888.016,null
2014-08-18 16:36:33,2456888.192,null
2014-08-18 18:23:18,2456888.266,null
2014-08-18 22:37:02,2456888.442,null
2014-08-19 00:23:12,2456888.516,null
2014-08-19 04:36:56,2456888.692,null
2014-08-19 06:23:41,2456888.766,null
2014-08-19 12:24:10,2456889.017,null
2014-11-09 01:30:29,2456970.563,null
2014-11-25 23:47:19,2456987.491,null
2014-11-26 01:34:04,2456987.565,null
2014-12-31 18:46:39,2457023.282,null
2015-02-01 10:40:56,2457054.945,null
2015-02-01 12:27:42,2457055.019,null
2015-02-26 16:43:29,2457080.197,null
2015-02-26 18:29:39,2457080.271,null
2015-04-17 22:24:31,2457130.434,null
2015-04-18 00:11:16,2457130.508,null
2015-04-18 04:25:00,2457130.684,null
2015-04-18 06:11:45,2457130.758,null
2015-06-18 16:06:39,2457192.171,null
2015-06-18 17:53:23,2457192.245,null
2015-07-24 03:29:36,2457227.646,null
2015-08-14 15:26:40,2457249.144,null
2015-08-14 17:13:24,2457249.218,null
2015-09-27 09:48:50,2457292.909,null
2015-09-27 14:02:35,2457293.085,null
2015-10-07 20:09:04,2457303.340,null
2015-10-07 21:55:49,2457303.414,null
2015-11-19 14:31:26,2457346.105,null
2015-11-19 18:45:12,2457346.281,null
2015-12-09 06:45:25,2457365.782,null
2015-12-09 08:31:35,2457365.855,null
2016-01-12 01:55:18,2457399.580,null
2016-02-16 11:46:39,2457434.991,null
2016-02-16 13:33:24,2457435.065,null
2016-03-10 05:54:45,2457457.746,null
2016-03-10 07:40:55,2457457.820,null
2016-03-10 11:54:41,2457457.996,null
2016-04-30 05:35:45,2457508.733,null
2016-04-30 07:22:30,2457508.807,null
2016-05-25 19:24:13,2457534.308,null
2016-05-25 23:37:57,2457534.485,null
2016-06-29 17:14:13,2457569.218,null
2016-08-06 04:26:32,2457606.685,null
2016-08-24 16:27:21,2457625.186,null
2016-08-24 18:14:05,2457625.260,null
2016-10-07 22:44:10,2457669.447,null
2016-10-08 02:57:55,2457669.624,null
2016-10-08 04:44:40,2457669.698,null
2016-10-18 21:04:26,2457680.378,null
2016-10-18 22:51:11,2457680.452,null
2016-11-29 07:48:01,2457721.825,null
2016-11-29 09:34:46,2457721.899,null
2016-12-21 15:30:22,2457744.146,null
2017-01-22 09:04:31,2457775.878,null
2017-01-22 13:18:16,2457776.054,null
2017-03-03 08:17:39,2457815.846,null
2017-03-03 10:04:25,2457815.920,null
2017-03-23 16:15:09,2457836.177,null
2017-03-23 20:28:54,2457836.353,null
2017-03-23 22:15:39,2457836.428,null
2017-05-12 20:08:09,2457886.339,null
2017-05-12 21:54:54,2457886.413,null
2017-06-10 08:02:29,2457914.835,null
2017-06-10 09:49:14,2457914.909,null
2017-07-11 13:42:59,2457946.072,null
2017-07-11 15:29:43,2457946.146,null
2017-08-20 00:44:48,2457985.531,null
2017-09-04 18:49:15,2458001.284,null
2017-09-04 20:35:25,2458001.358,null
2017-10-19 01:02:41,2458045.544,null
2017-10-19 05:16:26,2458045.720,null
2017-10-31 11:22:41,2458057.974,null
2017-12-10 04:15:27,2458097.677,null
2018-02-02 23:37:01,2458152.484,null
2018-02-03 03:50:47,2458152.660,null
2018-03-19 15:29:06,2458197.145,17.70
2018-03-19 17:15:41,2458197.219,17.71
2018-03-19 21:29:21,2458197.395,17.61
2018-03-19 23:15:55,2458197.469,17.58
2018-04-07 17:27:16,2458216.227,18.17
2018-04-07 21:40:56,2458216.403,18.35
2018-04-07 23:27:30,2458216.477,18.45
2018-04-08 03:41:10,2458216.654,18.55
2018-05-25 09:18:08,2458263.888,null
2018-05-25 11:04:18,2458263.961,null
2018-06-25 09:03:01,2458294.877,null
2018-07-23 04:35:12,2458322.691,null
2018-09-02 09:27:23,2458363.894,null
2018-09-15 13:46:14,2458377.074,null
2018-09-15 15:32:59,2458377.148,null
2018-10-29 18:13:37,2458421.259,null
2018-10-29 19:59:47,2458421.333,null
2018-11-13 06:19:25,2458435.763,null
2018-11-13 08:05:35,2458435.837,null
2018-12-21 01:08:03,2458473.547,null
2019-01-18 05:06:49,2458501.713,null
2019-01-18 06:53:34,2458501.787,null
2019-02-14 18:47:41,2458529.283,null
2019-02-14 23:01:27,2458529.459,null
2019-04-04 04:41:40,2458577.696,null
2019-04-04 06:28:25,2458577.770,null
2019-04-04 10:42:10,2458577.946,null
2019-04-04 12:28:55,2458578.020,null
2019-04-24 06:38:53,2458597.777,null
2019-04-24 10:52:37,2458597.953,null
2019-04-24 12:39:22,2458598.027,null
2019-06-06 16:26:56,2458641.185,null
2019-06-06 18:13:41,2458641.260,null
2019-07-09 23:47:32,2458674.491,null
2019-07-21 19:36:21,2458686.317,null
2019-07-21 23:50:05,2458686.493,null
2019-08-20 00:48:17,2458715.534,null
2019-08-20 02:35:02,2458715.608,null

