Gaia18arn
#Date,JD,averagemag.
2014-08-02 15:07:30,2456872.130,17.25
2014-08-02 21:07:45,2456872.380,17.26
2014-08-03 01:21:26,2456872.557,17.28
2014-08-03 03:08:00,2456872.631,17.25
2014-08-03 07:21:41,2456872.807,17.27
2014-08-03 09:08:40,2456872.881,null
2014-08-03 13:21:56,2456873.057,17.29
2014-08-03 15:08:30,2456873.131,17.24
2014-08-03 19:22:11,2456873.307,17.28
2014-08-03 21:08:45,2456873.381,17.24
2014-08-04 01:22:26,2456873.557,17.29
2014-09-26 22:12:34,2456927.425,untrusted
2014-09-26 23:59:08,2456927.499,untrusted
2014-11-06 20:54:52,2456968.371,17.32
2014-11-28 08:48:59,2456989.867,17.32
2014-11-28 10:35:32,2456989.941,17.31
2014-12-31 20:10:08,2457023.340,untrusted
2014-12-31 21:56:42,2457023.414,17.28
2015-02-04 07:43:53,2457057.822,17.29
2015-02-04 09:30:27,2457057.896,17.29
2015-03-01 19:45:27,2457083.323,null
2015-03-01 21:32:12,2457083.397,null
2015-04-15 09:09:05,2457127.881,17.28
2015-04-15 13:22:46,2457128.057,17.28
2015-06-15 20:51:03,2457189.369,17.30
2015-07-23 08:09:33,2457226.840,null
2015-08-12 12:24:06,2457247.017,null
2015-08-12 14:10:51,2457247.091,null
2015-09-24 00:51:35,2457289.536,null
2015-10-09 05:09:08,2457304.715,17.32
2015-11-17 21:56:56,2457344.415,17.31
2015-11-17 23:43:30,2457344.489,17.30
2015-12-11 15:46:30,2457368.157,17.31
2015-12-11 17:33:03,2457368.231,17.31
2016-01-12 09:17:05,2457399.887,null
2016-01-12 11:03:50,2457399.961,null
2016-02-19 02:50:00,2457437.618,17.29
2016-02-19 04:36:34,2457437.692,17.31
2016-03-14 14:55:10,2457462.122,17.31
2016-03-14 16:41:45,2457462.196,17.29
2016-04-27 08:32:58,2457505.856,17.31
2016-04-27 10:19:32,2457505.930,17.32
2016-05-27 14:25:37,2457536.101,17.30
2016-05-27 16:12:12,2457536.175,17.31
2016-06-26 21:59:14,2457566.416,null
2016-08-23 01:25:07,2457623.559,null
2016-08-23 03:11:17,2457623.633,null
2016-10-04 13:48:40,2457666.075,17.29
2016-10-20 18:05:27,2457682.254,17.29
2016-11-28 00:46:44,2457720.532,17.30
2016-12-24 04:44:59,2457746.698,17.29
2016-12-24 06:31:33,2457746.772,17.28
2017-01-23 10:24:54,2457776.934,17.32
2017-03-04 23:20:49,2457817.473,17.32
2017-03-05 01:07:23,2457817.547,17.30
2017-03-05 05:21:02,2457817.723,17.28
2017-03-29 05:27:34,2457841.727,17.31
2017-03-29 07:14:08,2457841.801,17.32
2017-05-10 00:52:35,2457883.537,null
2017-05-10 05:05:45,2457883.712,17.28
2017-06-11 04:50:35,2457915.702,17.30
2017-06-11 06:37:09,2457915.776,17.31
2017-07-08 18:27:45,2457943.269,17.32
2017-07-08 22:41:25,2457943.445,17.32
2017-08-18 03:41:35,2457983.654,17.29
2017-08-18 05:28:09,2457983.728,17.29
2017-09-03 15:46:23,2458000.157,17.25
2017-10-15 20:23:05,2458042.349,untrusted
2017-10-15 22:09:39,2458042.423,17.29
2017-11-02 14:24:20,2458060.100,17.28
2017-12-09 07:27:12,2458096.811,17.33
2017-12-09 09:13:46,2458096.885,17.31
2018-01-07 01:07:21,2458125.547,17.32
2018-02-04 12:55:41,2458154.039,17.31
2018-02-04 14:42:15,2458154.113,17.30
2018-03-19 12:30:35,2458197.021,17.05
2018-03-19 14:17:09,2458197.095,17.05
2018-04-13 12:36:51,2458222.026,17.00
2018-04-13 14:23:25,2458222.100,17.00
2018-05-22 14:01:53,2458261.085,16.99
2018-06-25 13:38:17,2458295.068,16.97
2018-07-20 13:33:23,2458320.065,null
2018-07-20 17:46:44,2458320.241,16.97
2018-08-30 22:38:56,2458361.444,16.95
2018-08-31 00:25:30,2458361.518,16.94
2018-09-15 06:30:42,2458376.771,16.97
2018-11-15 11:07:14,2458437.963,16.94
2018-12-20 14:32:32,2458473.106,untrusted
2018-12-20 16:19:06,2458473.180,16.94
2019-01-21 02:08:49,2458504.589,16.92
2019-01-21 03:55:23,2458504.663,16.92
2019-02-17 02:04:35,2458531.587,16.91
2019-02-17 03:51:09,2458531.661,16.91
2019-04-02 07:40:48,2458575.820,16.95
2019-04-02 09:27:23,2458575.894,16.95
2019-04-02 13:41:03,2458576.070,16.93
2019-04-28 19:44:28,2458602.323,16.95
2019-04-28 21:31:03,2458602.397,16.92
2019-06-03 21:11:05,2458638.383,null
2019-06-04 01:24:45,2458638.559,16.94
2019-07-09 18:52:02,2458674.286,16.96
2019-07-09 20:38:37,2458674.360,16.95
2019-07-24 20:52:58,2458689.370,16.92
2019-07-24 22:39:32,2458689.444,16.91
2019-08-22 05:35:38,2458717.733,16.92
2019-08-22 09:49:19,2458717.909,16.93
2019-10-06 17:37:52,2458763.235,16.94
2019-10-06 19:24:26,2458763.309,16.96
2019-10-06 23:38:06,2458763.485,16.93
2019-11-02 00:24:38,2458789.517,null
2019-11-02 02:11:08,2458789.591,16.93
2019-12-06 07:50:49,2458823.827,16.99
2019-12-06 09:37:23,2458823.901,16.93
2020-01-08 23:16:38,2458857.470,16.94
2020-01-29 22:12:33,2458878.425,16.97
2020-01-29 23:59:07,2458878.499,16.96
2020-03-10 06:45:31,2458918.782,16.98
2020-03-10 08:32:05,2458918.856,16.98
2020-03-24 19:08:11,2458933.297,16.97
2020-03-24 20:54:46,2458933.371,16.99
2020-05-05 03:43:25,2458974.655,17.03
2020-05-05 05:29:59,2458974.729,17.00

