Gaia18asj
#Date,JD,averagemag.
2014-09-12 20:30:36,2456913.355,untrusted
2014-09-12 22:17:11,2456913.429,untrusted
2014-10-16 19:35:19,2456947.316,untrusted
2014-10-16 23:49:00,2456947.492,untrusted
2015-02-21 00:08:31,2457074.506,18.30
2015-02-21 01:55:05,2457074.580,18.34
2015-03-23 05:42:02,2457104.738,18.34
2015-03-23 07:28:36,2457104.812,18.22
2015-04-12 23:39:39,2457125.486,null
2015-04-13 01:25:49,2457125.560,null
2015-09-05 08:56:32,2457270.873,19.00
2015-10-09 00:48:22,2457304.534,19.39
2015-10-09 02:34:57,2457304.608,untrusted
2015-10-26 00:57:22,2457321.540,18.58
2015-10-26 02:43:56,2457321.614,18.51
2016-03-02 15:03:36,2457450.128,18.10
2016-04-06 06:36:47,2457484.776,18.85
2016-04-06 08:23:21,2457484.850,19.00
2016-04-21 00:41:52,2457499.529,null
2016-04-21 02:28:36,2457499.603,null
2016-07-27 16:33:42,2457597.190,untrusted
2016-07-27 20:47:23,2457597.366,untrusted
2016-07-27 22:33:57,2457597.440,20.13
2016-08-08 08:55:57,2457608.872,18.49
2016-08-08 10:42:32,2457608.946,18.47
2016-08-08 14:56:13,2457609.122,18.55
2016-09-15 08:21:29,2457646.848,18.33
2016-10-28 07:56:49,2457689.831,19.45
2016-10-28 13:57:05,2457690.081,19.72
2016-10-28 19:57:22,2457690.332,19.30
2016-10-29 01:57:38,2457690.582,18.98
2017-01-24 02:53:55,2457777.621,19.30
2017-01-24 04:40:29,2457777.695,19.35
2017-01-24 08:54:08,2457777.871,19.41
2017-01-24 10:40:42,2457777.945,19.33
2017-02-05 22:47:04,2457790.449,18.81
2017-02-06 03:00:43,2457790.625,18.76
2017-03-13 09:48:36,2457825.909,null
2017-04-23 16:43:37,2457867.197,18.85
2017-04-23 20:57:16,2457867.373,18.86
2017-04-23 22:43:50,2457867.447,18.92
2017-04-24 02:57:29,2457867.623,18.94
2017-04-24 04:44:03,2457867.697,untrusted
2017-04-24 08:57:42,2457867.873,19.13
2017-04-24 10:44:15,2457867.947,19.28
2017-04-24 14:57:54,2457868.124,19.36
2017-04-24 16:44:28,2457868.198,19.42
2017-04-24 20:58:07,2457868.374,19.22
2017-04-25 02:58:19,2457868.624,19.43
2017-04-25 08:58:32,2457868.874,19.25
2017-04-25 14:58:44,2457869.124,19.11
2017-04-25 20:58:56,2457869.374,18.83
2017-04-26 02:59:09,2457869.624,18.66
2017-04-26 04:45:42,2457869.698,18.55
2017-04-26 08:59:21,2457869.875,18.58
2017-04-26 10:45:55,2457869.949,18.69
2017-04-26 14:59:34,2457870.125,18.79
2017-04-26 16:46:08,2457870.199,18.75
2017-04-26 20:59:46,2457870.375,18.78
2017-04-26 22:46:20,2457870.449,18.77
2017-04-27 02:59:59,2457870.625,18.71
2017-04-27 04:46:33,2457870.699,18.74
2017-04-27 10:46:46,2457870.949,18.67
2017-08-05 11:12:22,2457970.967,19.28
2017-08-05 12:58:57,2457971.041,19.19
2017-08-24 11:18:18,2457989.971,19.20
2017-09-26 04:56:02,2458022.706,null
2017-09-26 06:42:12,2458022.779,null
2018-02-01 07:07:57,2458150.797,18.99
2018-02-01 11:21:36,2458150.973,19.17
2018-03-23 22:55:50,2458201.455,17.78
2018-03-24 00:42:24,2458201.529,17.72
2018-08-15 08:05:34,2458345.837,19.99
2018-09-08 12:17:01,2458370.012,19.81
2018-09-08 14:03:35,2458370.086,19.85
2018-10-06 19:53:28,2458398.329,19.17
2018-10-07 00:07:10,2458398.505,19.18
2019-02-11 00:28:57,2458525.520,18.59
2019-02-11 02:15:31,2458525.594,18.57
2019-03-08 20:02:48,2458551.335,18.97
2019-04-03 06:02:37,2458576.752,18.46
2019-04-03 07:49:11,2458576.826,18.59
2019-08-15 18:59:15,2458711.291,18.73
2019-08-15 23:12:56,2458711.467,18.70
2019-09-12 00:17:01,2458738.512,18.96
2019-09-12 02:03:36,2458738.586,19.03
2019-10-07 13:17:55,2458764.054,untrusted
2019-10-07 15:04:30,2458764.128,20.31
2020-02-22 04:19:34,2458901.680,17.71
2020-02-22 06:06:08,2458901.754,17.68
2020-03-21 13:13:17,2458930.051,18.89
2020-04-13 13:54:57,2458953.080,20.35

