Gaia18asp
#Date,JD,averagemag.
2015-01-05 05:58:32,2457027.749,null
2015-01-05 10:12:18,2457027.925,null
2015-01-19 12:05:55,2457042.004,null
2015-02-22 15:47:19,2457076.158,null
2015-07-05 16:19:19,2457209.180,null
2015-07-05 18:05:29,2457209.254,null
2015-07-05 22:19:13,2457209.430,null
2015-07-23 06:11:42,2457226.758,null
2015-07-23 10:24:50,2457226.934,null
2015-08-26 21:54:45,2457261.413,null
2015-08-26 23:41:29,2457261.487,null
2016-01-14 01:02:08,2457401.543,null
2016-01-14 05:15:54,2457401.719,null
2016-02-03 05:17:38,2457421.721,null
2016-02-03 07:04:24,2457421.795,null
2016-03-04 04:58:58,2457451.708,null
2016-03-04 06:45:43,2457451.782,null
2016-07-14 07:12:44,2457583.801,null
2016-07-14 11:25:53,2457583.976,null
2016-08-07 11:22:27,2457607.974,null
2016-08-07 13:08:37,2457608.048,null
2016-09-05 17:02:19,2457637.210,null
2016-09-05 18:49:03,2457637.284,null
2017-01-22 18:22:57,2457776.266,null
2017-02-16 15:24:46,2457801.142,null
2017-03-14 15:19:02,2457827.138,null
2017-07-25 01:57:09,2457959.581,null
2017-08-22 19:40:13,2457988.320,null
2017-08-22 21:26:57,2457988.394,null
2017-09-16 01:31:16,2458012.563,null
2017-09-16 03:18:01,2458012.638,null
2018-02-01 20:54:36,2458151.371,null
2018-02-01 22:41:22,2458151.445,null
2018-03-03 10:23:58,2458180.933,null
2018-03-24 14:42:19,2458202.113,18.58
2018-03-24 16:28:54,2458202.187,18.65
2018-08-04 22:52:41,2458335.453,null
2018-09-06 22:21:28,2458368.432,null
2018-09-07 02:35:11,2458368.608,null
2018-09-25 20:35:25,2458387.358,null
2018-09-25 22:22:09,2458387.432,null
2018-12-30 06:29:45,2458482.771,null
2018-12-30 10:43:31,2458482.947,null
2018-12-30 12:30:16,2458483.021,null
2018-12-30 16:43:27,2458483.197,null
2018-12-30 18:30:12,2458483.271,null
2018-12-30 22:43:58,2458483.447,null
2018-12-31 00:30:44,2458483.521,null
2018-12-31 04:44:30,2458483.698,null
2018-12-31 10:44:26,2458483.948,null
2019-01-02 10:46:18,2458485.949,null
2019-01-02 16:46:50,2458486.199,null
2019-01-02 18:33:35,2458486.273,null
2019-01-02 22:46:46,2458486.449,null
2019-01-03 00:33:32,2458486.523,null
2019-01-03 04:47:18,2458486.700,null
2019-01-03 06:34:03,2458486.774,null
2019-02-12 05:51:21,2458526.744,null
2019-03-19 11:26:15,2458561.977,null
2019-03-19 15:40:01,2458562.153,null
2019-03-19 17:26:12,2458562.227,null
2019-04-01 21:49:18,2458575.409,null
2019-04-01 23:36:04,2458575.483,null
2019-04-02 03:49:50,2458575.660,null
2019-08-17 03:25:35,2458712.643,null
2019-09-23 03:13:41,2458749.635,null
2019-09-23 05:00:25,2458749.709,null
2019-09-23 09:14:09,2458749.885,null

