Gaia18atx
#Date,JD,averagemag.
2014-11-03 23:31:48,2456965.480,null
2014-11-26 05:28:24,2456987.728,null
2014-11-26 07:15:09,2456987.802,null
2015-04-20 22:47:13,2457133.449,null
2015-04-21 00:33:58,2457133.524,null
2015-05-17 22:42:10,2457160.446,null
2015-05-18 00:28:20,2457160.520,null
2015-06-16 22:22:38,2457190.432,null
2015-06-17 00:09:22,2457190.507,null
2015-07-28 23:03:55,2457232.461,null
2015-07-29 03:17:40,2457232.637,null
2015-08-07 21:23:47,2457242.392,null
2015-08-07 23:09:57,2457242.465,null
2015-09-26 15:26:13,2457292.143,null
2015-09-26 19:39:58,2457292.319,null
2015-09-26 21:26:08,2457292.393,null
2015-09-27 01:39:54,2457292.569,null
2015-10-02 13:44:44,2457298.073,null
2015-10-02 15:31:29,2457298.147,null
2015-10-02 19:45:15,2457298.323,null
2015-10-02 21:31:25,2457298.397,null
2015-11-14 12:37:14,2457341.026,null
2015-12-10 06:27:54,2457366.769,null
2015-12-10 08:14:04,2457366.843,null
2016-01-07 02:04:42,2457394.587,null
2016-01-07 06:18:28,2457394.763,null
2016-05-01 17:57:15,2457510.248,null
2016-05-01 19:43:25,2457510.322,null
2016-05-31 23:40:04,2457540.486,null
2016-06-01 01:26:48,2457540.560,null
2016-06-27 05:28:03,2457566.728,null
2016-06-27 07:14:47,2457566.802,null
2016-08-11 17:59:46,2457612.250,null
2016-08-11 22:12:55,2457612.426,null
2016-08-11 23:59:40,2457612.500,null
2016-08-12 04:13:25,2457612.676,null
2016-08-12 06:00:10,2457612.750,null
2016-08-12 10:13:19,2457612.926,null
2016-08-15 16:16:12,2457616.178,null
2016-08-15 22:16:41,2457616.428,null
2016-08-16 00:03:26,2457616.502,null
2016-08-16 04:16:36,2457616.678,null
2016-08-16 06:03:21,2457616.752,null
2016-10-05 02:34:45,2457666.607,null
2016-10-05 04:20:55,2457666.681,null
2016-10-15 20:41:46,2457677.362,null
2016-10-15 22:28:31,2457677.436,null
2016-10-16 02:41:42,2457677.612,null
2016-11-24 07:45:01,2457716.823,null
2016-12-23 13:28:28,2457746.061,null
2016-12-23 15:15:14,2457746.136,null
2017-01-17 07:29:28,2457770.812,null
2017-01-17 09:15:39,2457770.886,null
2017-03-19 14:47:30,2457832.116,null
2017-03-19 20:47:25,2457832.366,null
2017-03-19 22:34:10,2457832.440,null
2017-03-20 02:47:54,2457832.617,null
2017-03-20 04:34:39,2457832.691,null
2017-03-20 08:47:49,2457832.867,null
2017-03-20 10:34:34,2457832.941,null
2017-03-20 14:48:18,2457833.117,null
2017-03-20 16:35:03,2457833.191,null
2017-03-20 20:48:13,2457833.367,null
2017-03-20 22:34:58,2457833.441,null
2017-03-21 02:48:42,2457833.617,null
2017-03-21 04:35:27,2457833.691,null
2017-03-21 08:49:12,2457833.868,null
2017-03-21 10:35:22,2457833.941,null
2017-03-21 16:35:51,2457834.192,null
2017-03-21 22:35:46,2457834.442,null
2017-03-24 10:38:20,2457836.943,null
2017-03-24 16:38:15,2457837.193,null
2017-03-24 22:38:44,2457837.444,null
2017-03-25 02:52:29,2457837.620,null
2017-03-25 04:38:39,2457837.694,null
2017-03-25 08:52:23,2457837.870,null
2017-03-25 10:39:08,2457837.944,null
2017-03-25 14:52:53,2457838.120,null
2017-03-25 16:39:02,2457838.194,null
2017-03-25 20:52:47,2457838.370,null
2017-03-25 22:39:32,2457838.444,null
2017-03-26 02:53:16,2457838.620,null
2017-03-26 04:39:26,2457838.694,null
2017-03-26 08:53:11,2457838.870,null
2017-03-26 14:53:40,2457839.121,null
2017-05-13 10:15:06,2457886.927,null
2017-06-15 19:59:09,2457920.333,null
2017-07-08 07:54:44,2457942.830,null
2017-07-08 09:41:29,2457942.904,null
2017-10-14 18:41:31,2458041.279,null
2017-10-14 22:55:17,2458041.455,null
2017-10-29 23:01:24,2458056.459,null
2017-12-05 04:16:15,2458092.678,null
2018-01-07 15:54:30,2458126.163,null
2018-01-07 17:41:15,2458126.237,null
2018-01-28 05:49:24,2458146.743,null
2018-01-28 10:03:10,2458146.919,null
2018-01-28 11:49:20,2458146.993,null
2018-03-29 09:55:55,2458206.914,untrusted
2018-03-29 11:42:29,2458206.988,18.97
2018-03-29 15:56:08,2458207.164,18.98
2018-03-29 17:42:42,2458207.238,18.99
2018-04-15 16:05:28,2458224.170,19.96
2018-04-15 17:52:13,2458224.245,null
2018-04-15 22:05:42,2458224.421,19.96
2018-05-25 03:37:03,2458263.651,null
2018-05-25 05:23:47,2458263.725,null
2018-06-30 08:55:36,2458299.872,null
2018-07-18 22:42:45,2458318.446,null
2018-10-24 19:42:47,2458416.321,null
2018-10-24 23:56:33,2458416.498,null
2018-11-12 17:59:02,2458435.249,null
2018-12-16 05:25:46,2458468.726,null
2019-01-24 11:02:15,2458507.960,null
2019-01-24 12:49:00,2458508.034,null
2019-02-07 18:59:39,2458522.291,null
2019-02-07 23:13:24,2458522.468,null
2019-02-08 01:00:10,2458522.542,null
2019-02-08 05:13:55,2458522.718,null
2019-02-08 07:00:05,2458522.792,null
2019-04-09 17:05:55,2458583.212,null
2019-04-09 18:52:40,2458583.287,null
2019-05-02 12:56:44,2458606.039,null
2019-05-02 17:10:28,2458606.216,null
2019-06-05 16:44:39,2458640.198,null
2019-06-05 18:31:23,2458640.272,null
2019-07-14 17:37:17,2458679.234,null
2019-07-14 21:51:01,2458679.410,null
2019-07-28 13:52:17,2458693.078,null
2019-07-28 18:06:01,2458693.254,null
2019-07-28 19:52:46,2458693.328,null
2019-07-29 00:06:30,2458693.505,null
2019-08-12 12:22:30,2458708.016,null
