Gaia18auu
#Date,JD,averagemag.
2015-02-28 05:23:23,2457081.725,null
2015-03-29 03:22:38,2457110.641,null
2015-04-21 15:25:13,2457134.143,null
2015-04-21 17:11:58,2457134.217,null
2015-08-30 05:23:59,2457264.725,null
2015-09-30 21:10:15,2457296.382,null
2015-10-21 09:06:46,2457316.880,null
2015-10-21 10:53:30,2457316.954,null
2016-01-24 17:28:56,2457412.228,null
2016-01-24 19:15:07,2457412.302,null
2016-01-24 23:28:53,2457412.478,null
2016-01-25 01:15:38,2457412.553,null
2016-01-25 05:29:24,2457412.729,null
2016-01-28 23:33:09,2457416.481,null
2016-01-29 05:33:06,2457416.731,null
2016-01-29 07:19:51,2457416.805,null
2016-01-29 11:33:37,2457416.982,null
2016-01-29 13:19:47,2457417.055,null
2016-03-09 18:33:14,2457457.273,null
2016-03-09 22:47:00,2457457.449,null
2016-04-12 22:24:54,2457491.434,null
2016-04-13 00:11:04,2457491.508,null
2016-04-30 00:21:13,2457508.515,null
2016-04-30 04:34:24,2457508.691,null
2016-04-30 06:21:09,2457508.765,null
2016-09-09 10:46:23,2457640.949,null
2016-10-14 16:05:01,2457676.170,null
2016-10-14 17:51:45,2457676.244,null
2016-10-29 16:08:53,2457691.173,null
2016-10-29 17:55:38,2457691.247,null
2017-01-30 14:12:02,2457784.092,null
2017-01-30 18:25:48,2457784.268,null
2017-02-13 07:55:30,2457797.830,null
2017-02-13 09:41:41,2457797.904,null
2017-03-20 15:06:28,2457833.129,null
2017-07-30 07:40:54,2457964.820,null
2017-07-30 09:27:39,2457964.894,null
2017-07-30 13:41:23,2457965.070,null
2017-07-30 15:28:07,2457965.145,null
2017-08-15 09:35:16,2457980.899,null
2017-08-15 13:48:25,2457981.075,null
2017-08-15 15:35:09,2457981.149,null
2017-09-20 09:03:32,2458016.877,null
2017-10-30 06:23:06,2458056.766,null
2017-10-30 08:09:50,2458056.840,null
2017-10-30 12:23:34,2458057.016,null
2017-11-06 06:28:17,2458063.770,null
2017-11-06 08:15:02,2458063.844,null
2018-02-08 14:51:01,2458158.119,null
2018-03-31 10:17:35,2458208.929,18.68
2018-03-31 14:31:17,2458209.105,18.52
2018-08-08 20:48:14,2458339.367,null
2018-08-08 22:34:59,2458339.441,null
2018-08-31 22:33:57,2458362.440,null
2018-09-01 02:47:41,2458362.616,null
2019-02-18 05:43:37,2458532.739,null
2019-02-18 09:56:48,2458532.914,null
2019-03-14 11:38:05,2458556.985,null
2019-04-11 09:42:42,2458584.905,null
2019-09-17 20:52:26,2458744.370,null

