Gaia18awv
#Date,JD,averagemag.
2014-11-15 00:16:41,2456976.512,null
2015-01-08 18:44:36,2457031.281,null
2015-01-27 10:59:04,2457049.958,null
2015-03-03 22:14:50,2457085.427,null
2015-04-04 23:42:47,2457117.488,null
2015-05-02 15:56:26,2457145.164,null
2015-05-02 17:43:11,2457145.238,null
2015-06-18 21:35:54,2457192.400,null
2015-06-18 23:22:39,2457192.474,null
2015-07-15 03:39:38,2457218.653,null
2015-07-15 05:26:23,2457218.727,null
2015-08-21 05:01:44,2457255.710,null
2015-09-25 08:37:14,2457290.859,null
2015-10-17 02:32:38,2457312.606,null
2015-11-26 19:12:19,2457353.300,null
2015-11-26 20:59:04,2457353.374,null
2015-12-10 07:17:45,2457366.804,null
2015-12-10 09:04:30,2457366.878,null
2016-01-19 13:45:59,2457407.074,null
2016-02-09 11:57:06,2457427.998,null
2016-02-09 13:43:51,2457428.072,null
2016-03-14 11:22:43,2457461.974,null
2016-03-14 13:09:28,2457462.048,null
2016-04-19 05:02:06,2457497.710,null
2016-04-19 06:48:51,2457497.784,null
2016-05-15 00:53:31,2457523.537,null
2016-05-15 05:07:16,2457523.713,null
2016-05-15 06:54:01,2457523.788,null
2016-07-01 16:46:26,2457571.199,null
2016-07-01 18:32:36,2457571.273,null
2016-07-29 16:44:25,2457599.198,null
2016-07-29 18:31:10,2457599.272,null
2016-09-01 06:08:15,2457632.756,null
2016-10-07 21:34:29,2457669.399,null
2016-10-27 03:33:25,2457688.648,null
2016-12-07 08:08:48,2457729.839,null
2016-12-07 09:55:33,2457729.914,null
2016-12-21 02:13:46,2457743.593,null
2016-12-21 04:00:31,2457743.667,null
2017-01-29 13:02:58,2457783.044,null
2017-02-21 20:19:10,2457806.347,null
2017-02-21 22:05:21,2457806.420,null
2017-03-26 07:54:29,2457838.830,null
2017-03-26 09:41:15,2457838.904,null
2017-05-04 19:33:02,2457878.315,null
2017-05-04 21:19:12,2457878.388,null
2017-05-29 09:27:18,2457902.894,null
2017-05-29 13:41:03,2457903.070,null
2017-07-14 19:18:07,2457949.304,null
2017-07-14 21:04:52,2457949.378,null
2017-08-13 19:09:09,2457979.298,null
2017-08-13 20:55:54,2457979.372,null
2017-09-13 02:37:06,2458009.609,null
2017-10-20 23:53:09,2458047.495,null
2017-10-21 01:39:53,2458047.569,null
2017-11-06 23:54:54,2458064.496,null
2017-11-07 01:41:39,2458064.571,null
2017-12-18 10:28:27,2458105.936,null
2017-12-18 12:15:12,2458106.011,null
2018-01-02 06:19:29,2458120.764,null
2018-02-09 11:16:28,2458158.970,null
2018-03-07 15:19:29,2458185.139,null
2018-03-07 17:06:14,2458185.213,null
2018-04-07 10:50:22,2458215.952,17.72
2018-04-07 15:04:03,2458216.128,17.72
2018-05-20 08:42:24,2458258.863,19.53
2018-05-20 10:29:22,2458258.937,null
2018-05-20 14:42:39,2458259.113,untrusted
2018-06-13 14:51:29,2458283.119,null
2018-06-13 16:38:14,2458283.193,null
2018-06-13 20:51:59,2458283.369,null
2018-07-27 14:27:16,2458327.102,20.28
2018-07-27 16:13:50,2458327.176,20.40
2018-08-28 09:55:35,2458358.914,null
2018-08-28 14:09:19,2458359.090,null
2018-11-02 18:49:14,2458425.284,null
2018-11-02 20:35:59,2458425.358,null
2018-11-18 00:53:02,2458440.537,null
2018-11-18 02:39:47,2458440.611,null
2018-12-29 07:13:25,2458481.801,null
2019-01-14 19:16:14,2458498.303,null
2019-02-20 16:35:53,2458535.192,null
2019-02-20 18:22:39,2458535.266,null
2019-03-21 16:21:28,2458564.182,null
2019-03-21 18:07:38,2458564.255,null
2019-04-20 00:00:56,2458593.501,null
2019-06-04 15:53:44,2458639.162,null
2019-06-04 17:39:54,2458639.236,null
2019-06-29 11:47:32,2458663.991,null
2019-06-29 16:01:17,2458664.168,null
2019-07-18 05:20:04,2458682.722,null
2019-08-26 01:25:07,2458721.559,null
2019-08-26 03:11:52,2458721.633,null
2019-09-25 04:23:00,2458751.683,null

