Gaia18ayn
#Date,JD,averagemag.
2014-08-08 04:13:55,2456877.676,null
2014-08-08 10:14:24,2456877.927,null
2014-08-08 12:00:34,2456878.000,null
2014-08-08 16:14:18,2456878.177,null
2014-08-08 18:01:03,2456878.251,null
2014-08-08 22:14:48,2456878.427,null
2014-08-09 00:00:58,2456878.501,null
2014-08-09 04:14:42,2456878.677,null
2014-08-09 06:01:27,2456878.751,null
2014-08-09 10:15:11,2456878.927,null
2014-08-09 12:01:56,2456879.001,null
2014-08-09 16:15:06,2456879.177,null
2014-08-09 18:01:51,2456879.251,null
2014-08-10 00:02:20,2456879.502,null
2014-11-07 11:57:37,2456968.998,null
2014-11-29 13:39:17,2456991.069,null
2015-01-02 13:01:55,2457025.043,null
2015-01-02 17:15:41,2457025.219,null
2015-02-03 10:55:40,2457056.955,null
2015-02-03 12:42:25,2457057.029,null
2015-03-03 22:50:00,2457085.451,null
2015-03-04 00:36:45,2457085.526,null
2015-04-12 22:26:09,2457125.435,null
2015-04-13 00:12:54,2457125.509,null
2015-05-12 12:05:01,2457155.003,null
2015-05-12 16:18:46,2457155.180,null
2015-06-14 21:57:48,2457188.415,null
2015-06-14 23:44:33,2457188.489,null
2015-07-21 11:03:30,2457224.961,null
2015-08-13 09:12:08,2457247.883,null
2015-08-13 10:58:53,2457247.958,null
2015-09-22 21:49:08,2457288.409,null
2015-09-23 02:02:18,2457288.585,null
2015-11-18 20:46:43,2457345.366,null
2015-12-12 14:39:30,2457369.111,null
2016-01-14 08:09:30,2457401.840,null
2016-01-14 12:23:15,2457402.016,null
2016-02-17 12:01:12,2457436.001,null
2016-02-17 13:47:57,2457436.075,null
2016-03-16 07:45:06,2457463.823,null
2016-03-16 11:58:51,2457463.999,null
2016-04-25 05:34:34,2457503.732,null
2016-05-26 05:22:20,2457534.724,null
2016-06-26 06:50:02,2457565.785,null
2016-08-03 00:02:12,2457603.502,null
2016-10-03 22:47:52,2457665.450,null
2016-10-22 15:02:15,2457684.127,null
2016-10-22 16:49:00,2457684.201,null
2016-11-29 08:04:03,2457721.836,null
2016-12-24 19:53:31,2457747.329,null
2016-12-24 21:40:17,2457747.403,null
2017-01-25 09:17:32,2457778.887,null
2017-03-02 14:30:35,2457815.105,null
2017-03-02 16:16:45,2457815.178,null
2017-03-30 08:29:41,2457842.854,null
2017-03-30 10:15:51,2457842.928,null
2017-05-08 02:05:17,2457881.587,null
2017-05-08 03:51:27,2457881.661,null
2017-06-09 13:46:25,2457914.074,null
2017-06-09 15:33:10,2457914.148,null
2017-07-08 13:31:37,2457943.064,null
2017-07-08 15:17:46,2457943.137,null
2017-08-16 08:22:47,2457981.849,null
2017-09-05 06:36:24,2458001.775,null
2017-10-15 17:23:29,2458042.225,null
2017-10-15 19:10:15,2458042.299,null
2017-11-04 05:23:26,2458061.725,null
2017-11-04 07:10:11,2458061.799,null
2017-12-10 16:31:41,2458098.189,null
2017-12-10 18:18:26,2458098.263,null
2018-01-07 06:03:53,2458125.753,null
2018-02-06 16:01:31,2458156.168,null
2018-02-06 17:48:16,2458156.242,null
2018-03-16 15:38:07,2458194.151,null
2018-03-16 17:24:52,2458194.226,null
2018-04-13 15:36:28,2458222.150,18.38
2018-04-13 17:23:02,2458222.224,18.50
2018-05-20 22:59:14,2458259.458,null
2018-06-23 20:47:03,2458293.366,null
2018-06-23 22:33:48,2458293.440,null
2018-07-20 16:22:14,2458320.182,null
2018-08-29 07:34:34,2458359.816,null
2018-08-29 09:21:19,2458359.890,null
2018-09-17 03:21:47,2458378.640,null
2018-10-27 06:24:24,2458418.767,null
2018-10-27 08:11:09,2458418.841,null
2018-11-17 00:22:24,2458439.516,null
2018-12-22 05:37:37,2458474.734,null
2018-12-22 07:24:22,2458474.809,null
2019-01-20 23:20:39,2458504.473,null
2019-01-21 01:06:49,2458504.546,null
2019-02-19 05:10:24,2458533.716,null
2019-02-19 06:56:34,2458533.789,null
2019-03-30 12:32:42,2458573.023,19.03
2019-03-30 16:46:22,2458573.199,19.31
2019-04-28 04:42:57,2458601.696,null
2019-04-28 06:29:07,2458601.770,null
2019-06-02 16:20:12,2458637.181,null
2019-06-02 18:06:22,2458637.254,null
2019-07-07 21:46:37,2458672.407,null
2019-07-07 23:33:22,2458672.482,null
2019-07-24 17:41:28,2458689.237,null
2019-07-24 19:28:13,2458689.311,null
2019-08-24 12:48:09,2458720.033,null
2019-08-24 14:34:53,2458720.108,null

