Gaia18bca
#Date,JD,averagemag.
2015-01-12 11:01:20,2457034.959,null
2015-02-10 03:00:19,2457063.625,null
2015-03-21 02:01:41,2457102.585,null
2015-03-21 03:47:51,2457102.658,null
2015-04-01 21:55:06,2457114.413,null
2015-04-02 02:08:51,2457114.589,null
2015-05-19 06:28:20,2457161.770,null
2015-05-19 08:15:04,2457161.844,null
2015-05-19 12:28:49,2457162.020,null
2015-05-19 14:15:34,2457162.094,null
2015-05-28 08:21:04,2457170.848,null
2015-05-28 12:34:48,2457171.024,null
2015-05-28 14:21:33,2457171.098,null
2015-07-10 17:22:26,2457214.224,null
2015-07-10 19:09:11,2457214.298,null
2015-08-06 23:08:57,2457241.465,null
2015-08-07 00:55:42,2457241.539,null
2015-09-05 22:53:51,2457271.454,null
2015-09-06 00:40:36,2457271.528,null
2015-10-30 00:22:24,2457325.516,null
2015-10-30 04:36:09,2457325.692,null
2015-10-30 06:22:54,2457325.766,null
2015-10-30 10:36:39,2457325.942,null
2015-10-30 12:22:49,2457326.016,null
2015-10-30 16:36:34,2457326.192,null
2015-10-30 18:23:19,2457326.266,null
2015-10-30 22:37:04,2457326.442,null
2015-10-31 00:23:49,2457326.517,null
2015-10-31 04:36:59,2457326.692,null
2015-10-31 06:23:44,2457326.766,null
2015-10-31 10:37:29,2457326.943,null
2015-10-31 16:37:24,2457327.193,null
2015-11-05 16:42:10,2457332.196,null
2015-11-05 22:42:40,2457332.446,null
2015-11-06 00:28:50,2457332.520,null
2015-11-06 04:42:36,2457332.696,null
2015-11-06 06:29:21,2457332.770,null
2015-11-06 10:43:06,2457332.947,null
2015-11-06 12:29:16,2457333.020,null
2015-11-06 16:43:01,2457333.197,null
2015-11-06 18:29:46,2457333.271,null
2015-11-06 22:43:31,2457333.447,null
2015-11-07 00:30:16,2457333.521,null
2015-11-07 04:43:26,2457333.697,null
2015-11-07 06:30:11,2457333.771,null
2015-12-28 18:15:07,2457385.260,null
2015-12-28 22:28:18,2457385.436,null
2016-01-26 16:15:39,2457414.178,null
2016-01-26 18:02:25,2457414.252,null
2016-02-20 22:06:51,2457439.421,null
2016-04-02 14:57:40,2457481.123,null
2016-04-02 16:44:25,2457481.198,null
2016-04-10 22:50:44,2457489.452,null
2016-04-11 03:04:30,2457489.628,null
2016-05-28 13:24:16,2457537.059,null
2016-05-28 15:10:26,2457537.132,null
2016-06-10 09:16:33,2457549.886,null
2016-06-10 13:30:17,2457550.063,null
2016-07-21 06:28:22,2457590.770,null
2016-08-21 00:08:07,2457621.506,null
2016-08-21 01:54:51,2457621.580,null
2016-09-17 00:03:52,2457648.503,null
2016-09-17 01:50:37,2457648.577,null
2016-11-12 07:36:12,2457704.817,null
2016-11-12 11:49:57,2457704.993,null
2016-11-12 13:36:07,2457705.067,null
2016-11-12 17:49:52,2457705.243,null
2016-11-12 19:36:37,2457705.317,null
2016-11-12 23:50:22,2457705.493,null
2016-11-25 06:00:06,2457717.750,null
2016-11-25 07:46:52,2457717.824,null
2016-11-25 12:00:37,2457718.000,null
