Gaia18bcg
#Date,JD,averagemag.
2014-11-20 22:34:33,2456982.441,null
2014-11-21 00:21:19,2456982.515,null
2015-04-28 17:41:38,2457141.237,null
2015-04-28 19:27:48,2457141.311,null
2015-05-30 23:14:10,2457173.468,null
2015-05-31 01:00:19,2457173.542,null
2015-06-19 17:16:49,2457193.220,null
2015-06-19 19:02:59,2457193.294,null
2015-11-02 17:59:55,2457329.250,null
2015-11-02 19:46:06,2457329.324,null
2015-12-05 17:33:09,2457362.231,null
2015-12-21 11:39:44,2457377.986,null
2015-12-21 13:26:30,2457378.060,null
2016-03-23 19:32:56,2457471.315,null
2016-03-24 01:32:50,2457471.564,null
2016-03-24 03:19:34,2457471.639,null
2016-03-24 07:33:18,2457471.815,null
2016-03-24 09:19:28,2457471.889,null
2016-03-24 13:33:12,2457472.065,null
2016-03-24 15:19:56,2457472.139,null
2016-03-28 07:36:14,2457475.817,null
2016-03-28 09:22:58,2457475.891,null
2016-03-28 13:36:42,2457476.067,null
2016-03-28 15:22:52,2457476.141,null
2016-03-28 19:36:36,2457476.317,null
2016-03-28 21:23:20,2457476.391,null
2016-05-08 14:36:30,2457517.109,null
2016-06-16 07:59:14,2457555.833,null
2016-06-16 12:12:57,2457556.009,null
2016-06-16 13:59:42,2457556.083,null
2016-06-26 06:19:45,2457565.764,null
2016-06-26 08:05:55,2457565.837,null
2016-06-26 12:19:39,2457566.014,null
2016-06-26 14:06:23,2457566.088,null
2016-09-26 15:17:53,2457658.137,null
2016-09-26 19:31:39,2457658.314,null
2016-09-26 21:18:24,2457658.388,null
2016-09-27 01:31:35,2457658.564,null
2016-10-05 01:39:07,2457666.569,null
2016-10-05 03:25:53,2457666.643,null
2016-10-05 07:39:39,2457666.819,null
2016-10-05 09:25:50,2457666.893,null
2016-11-12 08:57:51,2457704.874,null
2016-12-21 00:33:32,2457743.523,null
2016-12-21 02:20:18,2457743.597,null
2016-12-21 06:34:04,2457743.774,null
2016-12-21 08:20:49,2457743.848,null
2016-12-26 14:25:28,2457749.101,null
2016-12-26 18:39:14,2457749.277,null
2016-12-26 20:25:59,2457749.351,null
2016-12-27 00:39:45,2457749.528,null
2016-12-27 02:25:56,2457749.601,null
2016-12-27 06:39:42,2457749.778,null
2017-03-30 05:39:34,2457842.736,null
2017-03-30 09:52:43,2457842.912,null
2017-03-30 11:39:28,2457842.986,null
2017-04-15 03:57:16,2457858.665,null
2017-05-19 15:21:11,2457893.140,null
2017-05-19 17:07:56,2457893.214,null
2017-10-03 17:44:08,2458030.239,null
2017-10-03 21:57:55,2458030.415,null
2017-10-22 10:05:08,2458048.920,null
2017-10-22 11:51:54,2458048.994,null
2017-11-22 21:44:30,2458080.406,null
2018-04-08 10:56:40,2458216.956,null
2018-04-08 12:42:49,2458217.030,null
2018-04-30 10:51:54,2458238.953,18.22
2018-04-30 12:38:28,2458239.027,18.27
2018-05-30 12:16:15,2458269.011,19.33
2018-10-13 06:52:57,2458404.787,null
2018-11-06 12:51:04,2458429.035,null
2018-12-03 00:41:18,2458455.529,null
2019-04-18 12:02:23,2458592.002,null
2019-04-18 13:49:07,2458592.076,null
2019-05-15 17:47:12,2458619.241,null
2019-06-10 05:38:13,2458644.735,null
2019-06-10 07:24:58,2458644.809,null

