Gaia18bem
#Date,JD,averagemag.
2015-01-07 18:17:12,2457030.262,null
2015-01-07 20:03:22,2457030.336,null
2015-02-11 23:49:04,2457065.492,null
2015-02-12 01:35:14,2457065.566,null
2015-03-18 17:04:31,2457100.211,null
2015-05-21 15:33:38,2457164.148,null
2015-05-21 17:20:23,2457164.222,null
2015-05-21 21:34:08,2457164.399,null
2015-05-30 03:40:11,2457172.653,null
2015-05-30 05:26:56,2457172.727,null
2015-05-30 09:40:41,2457172.903,null
2015-05-30 11:26:51,2457172.977,null
2015-07-14 14:19:56,2457218.097,null
2015-07-14 16:06:06,2457218.171,null
2015-08-05 08:19:41,2457239.847,null
2015-08-05 10:06:27,2457239.921,null
2015-09-09 01:50:52,2457274.577,null
2015-10-18 13:29:00,2457314.062,null
2015-10-18 15:15:45,2457314.136,null
2015-11-07 09:26:18,2457333.893,null
2015-11-07 13:40:03,2457334.069,null
2015-11-07 15:26:48,2457334.144,null
2015-12-29 01:21:26,2457385.557,null
2015-12-29 03:07:36,2457385.630,null
2016-01-22 21:06:20,2457410.379,null
2016-01-23 01:20:04,2457410.556,null
2016-03-31 05:59:54,2457478.750,null
2016-03-31 07:46:39,2457478.824,null
2016-04-16 06:03:28,2457494.752,null
2016-04-16 07:50:13,2457494.827,null
2016-06-01 00:15:19,2457540.511,null
2016-06-01 04:29:04,2457540.687,null
2016-06-01 06:15:49,2457540.761,null
2016-06-11 00:22:08,2457550.515,null
2016-06-11 04:35:54,2457550.692,null
2016-06-11 06:22:39,2457550.766,null
2016-07-24 21:24:23,2457594.392,null
2016-08-18 15:19:29,2457619.139,null
2016-08-18 17:06:14,2457619.213,null
2016-09-19 21:01:08,2457651.376,null
2016-09-19 22:47:54,2457651.450,null
2016-11-03 14:40:44,2457696.112,null
2016-11-03 16:26:54,2457696.185,null
2016-11-03 20:40:39,2457696.362,null
2016-11-03 22:27:24,2457696.436,null
2016-11-19 22:38:40,2457712.444,null
2016-11-20 02:52:25,2457712.620,null
2016-11-20 04:38:35,2457712.693,null
2016-11-20 08:52:20,2457712.870,null
2016-11-20 10:39:05,2457712.944,null
2017-01-08 20:30:33,2457762.355,null
2017-01-08 22:17:18,2457762.429,null
2017-02-05 08:19:41,2457789.847,null
2017-02-05 10:06:25,2457789.921,null
2017-04-13 16:04:33,2457857.170,null
2017-04-13 20:17:43,2457857.346,null
2017-04-26 20:23:15,2457870.349,null
2017-04-26 22:10:00,2457870.424,null
2017-06-12 00:47:46,2457916.533,null
2017-06-12 02:33:56,2457916.607,null
2017-06-24 12:54:36,2457929.038,null
2017-06-24 14:41:21,2457929.112,null
2017-08-05 05:52:55,2457970.745,null
2017-09-02 05:42:40,2457998.738,null
2017-09-02 07:29:25,2457998.812,null
2017-10-01 19:20:54,2458028.306,null
2017-10-01 23:34:40,2458028.482,null
2017-11-20 05:16:46,2458077.720,null
2017-11-20 07:02:56,2458077.794,null
2017-11-20 11:16:41,2458077.970,null
2017-11-20 13:03:26,2458078.044,null
2017-12-05 19:13:58,2458093.301,null
2017-12-05 23:27:42,2458093.478,null
2017-12-06 01:14:27,2458093.552,null
2017-12-06 05:28:12,2458093.728,null
2018-01-20 11:01:52,2458138.960,null
2018-01-20 12:48:36,2458139.034,null
2018-03-16 06:14:50,2458193.760,null
2018-04-26 22:59:16,2458235.458,null
2018-04-27 03:13:01,2458235.634,null
2018-05-07 15:19:08,2458246.138,18.60
2018-05-07 17:05:42,2458246.212,18.56
2018-06-22 21:32:16,2458292.397,null
2018-06-23 01:45:27,2458292.573,null
2018-07-08 07:51:43,2458307.828,null
2018-07-08 09:38:29,2458307.902,null
2018-08-16 19:00:58,2458347.292,null
2018-08-16 20:47:43,2458347.366,null
2018-09-17 06:45:10,2458378.781,null
2018-09-17 08:31:55,2458378.855,null
2018-10-13 20:32:02,2458405.356,null
2018-10-14 00:45:48,2458405.532,null
2018-12-04 12:29:10,2458457.020,null
2018-12-04 14:15:20,2458457.094,null
2018-12-04 18:29:05,2458457.270,null
2018-12-04 20:15:49,2458457.344,null
2018-12-22 20:25:32,2458475.351,null
2018-12-23 00:39:17,2458475.527,null
2018-12-23 02:25:27,2458475.601,null
2019-03-05 05:37:11,2458547.734,null
2019-03-05 07:23:56,2458547.808,null
2019-03-27 05:31:27,2458569.730,null
2019-05-09 17:54:24,2458613.246,null
2019-05-09 22:08:09,2458613.422,null
2019-05-09 23:54:18,2458613.496,null
2019-05-18 16:14:27,2458622.177,null
2019-05-18 18:00:37,2458622.250,null
2019-07-03 20:45:41,2458668.365,null
2019-08-05 05:12:34,2458700.717,null
2019-08-05 06:59:19,2458700.791,null
2019-09-08 06:49:21,2458734.784,null
2019-09-08 08:36:06,2458734.858,null
2019-09-30 09:23:07,2458756.891,null

