Gaia18bfi
#Date,JD,averagemag.
2015-02-17 14:34:13,2457071.107,null
2015-02-17 16:20:58,2457071.181,null
2015-03-16 20:29:04,2457098.354,null
2015-04-13 02:18:20,2457125.596,null
2015-04-13 04:04:30,2457125.670,null
2015-05-27 01:14:16,2457169.552,null
2015-05-27 03:01:01,2457169.626,null
2015-05-27 07:14:47,2457169.802,null
2015-05-27 09:01:32,2457169.876,null
2015-06-01 01:19:16,2457174.555,null
2015-06-01 03:05:26,2457174.629,null
2015-06-01 07:19:12,2457174.805,null
2015-06-01 09:05:57,2457174.879,null
2015-06-01 13:19:42,2457175.055,null
2015-07-23 11:34:14,2457226.982,null
2015-07-23 13:20:24,2457227.056,null
2015-07-23 17:34:09,2457227.232,null
2015-07-23 19:20:54,2457227.306,null
2015-07-29 23:39:19,2457233.486,null
2015-07-30 01:25:29,2457233.559,null
2015-07-30 05:39:13,2457233.736,null
2015-07-30 07:25:58,2457233.810,null
2015-09-11 16:30:14,2457277.188,null
2015-10-09 22:12:28,2457305.425,null
2015-11-05 16:03:47,2457332.169,null
2015-11-05 17:49:57,2457332.243,null
2016-02-28 21:45:16,2457447.406,null
2016-03-30 05:15:18,2457477.719,null
2016-04-22 23:11:39,2457501.466,null
2016-07-31 18:28:39,2457601.270,null
2016-07-31 20:15:24,2457601.344,null
2016-08-01 00:29:09,2457601.520,null
2016-08-13 02:21:32,2457613.598,null
2016-08-13 06:35:16,2457613.774,null
2016-09-21 17:36:13,2457653.233,null
2016-09-21 19:22:57,2457653.308,null
2016-10-23 23:11:29,2457685.466,null
2016-11-15 17:13:00,2457708.217,null
2016-11-15 18:59:44,2457708.291,null
2017-01-17 18:55:47,2457771.289,null
2017-01-17 23:09:33,2457771.465,null
2017-01-18 00:56:18,2457771.539,null
2017-01-18 05:09:28,2457771.715,null
2017-01-18 06:56:14,2457771.789,null
2017-01-18 11:09:59,2457771.965,null
2017-01-18 12:56:44,2457772.039,null
2017-01-18 17:10:30,2457772.216,null
2017-01-26 11:17:04,2457779.970,null
2017-01-26 13:03:49,2457780.044,null
2017-01-26 17:17:35,2457780.221,null
2017-01-26 19:04:20,2457780.295,null
2017-01-26 23:17:31,2457780.470,null
2017-01-27 01:04:16,2457780.545,null
2017-03-11 00:18:44,2457823.513,null
2017-03-11 02:04:54,2457823.587,null
2017-04-13 11:49:40,2457856.993,null
2017-04-13 13:36:25,2457857.067,null
2017-05-03 13:38:41,2457877.069,null
2017-08-10 20:49:33,2457976.368,null
2017-08-10 22:36:18,2457976.442,null
2017-08-27 14:52:26,2457993.120,null
2017-08-27 16:39:11,2457993.194,null
2017-10-03 02:06:03,2458029.588,null
2017-11-09 01:36:36,2458066.567,null
2017-11-09 03:22:46,2458066.641,null
2017-11-26 07:44:49,2458083.823,null
2017-11-26 09:31:34,2458083.897,null
2018-01-27 01:40:40,2458145.570,null
2018-01-27 03:27:25,2458145.644,null
2018-01-27 07:41:11,2458145.820,null
2018-02-14 07:51:06,2458163.827,null
2018-02-14 09:37:51,2458163.901,null
2018-02-14 13:51:37,2458164.078,null
2018-02-14 15:37:47,2458164.151,null
2018-03-22 07:28:47,2458199.812,null
2018-04-27 18:47:48,2458236.283,null
2018-04-27 20:34:14,2458236.357,21.00
2018-05-13 18:53:59,2458252.287,18.45
2018-05-13 20:40:33,2458252.361,18.56
2018-08-21 03:50:18,2458351.660,null
2018-08-21 05:37:03,2458351.734,null
2018-09-10 23:34:30,2458372.482,null
2018-09-11 03:48:14,2458372.658,null
2018-10-14 09:14:16,2458405.885,null
2018-10-14 11:01:00,2458405.959,null
2018-11-28 16:33:22,2458451.190,null
2018-11-28 20:46:32,2458451.366,null
2018-11-28 22:33:16,2458451.440,null
2018-11-29 02:47:01,2458451.616,null
2018-11-29 04:33:46,2458451.690,null
2018-11-29 08:47:30,2458451.866,null
2018-11-29 10:33:40,2458451.940,null
2018-11-29 14:47:24,2458452.116,null
2018-11-29 16:34:09,2458452.190,null
2018-11-29 20:47:54,2458452.367,null
2018-11-29 22:34:03,2458452.440,null
2018-11-30 02:47:48,2458452.617,null
2018-11-30 04:34:33,2458452.691,null
2018-11-30 08:48:17,2458452.867,null
2018-11-30 14:48:11,2458453.117,null
2018-11-30 20:48:41,2458453.367,null
2018-12-02 14:50:21,2458455.118,null
2018-12-02 20:50:15,2458455.368,null
2018-12-03 02:50:44,2458455.619,null
2018-12-03 08:50:39,2458455.869,null
2018-12-03 10:37:23,2458455.943,null
2018-12-03 14:51:08,2458456.119,null
2018-12-03 16:37:18,2458456.193,null
2018-12-03 20:51:02,2458456.369,null
2018-12-03 22:37:47,2458456.443,null
2018-12-04 02:51:32,2458456.619,null
2018-12-04 04:38:16,2458456.693,null
2018-12-04 08:51:26,2458456.869,null
2018-12-04 10:38:11,2458456.943,null
2018-12-04 14:51:55,2458457.119,null
2018-12-04 16:38:40,2458457.194,null
2018-12-04 20:52:25,2458457.370,null
2018-12-04 22:38:35,2458457.443,null
2019-02-06 20:51:33,2458521.369,null
2019-02-06 22:38:18,2458521.443,null
2019-03-02 04:42:35,2458544.696,null
2019-04-02 08:38:19,2458575.860,null
2019-04-02 10:25:04,2458575.934,null
2019-05-12 07:45:41,2458615.823,null
2019-05-12 09:31:52,2458615.897,null
2019-05-23 13:53:12,2458627.079,null
2019-05-23 15:39:23,2458627.152,null
2019-08-11 10:29:02,2458706.937,null
2019-08-11 14:42:11,2458707.113,null
2019-08-11 16:28:56,2458707.187,null
2019-09-05 05:11:03,2458731.716,null

