Gaia18bho
#Date,JD,averagemag.
2015-03-04 06:08:11,2457085.756,null
2015-03-04 07:54:55,2457085.830,null
2015-03-17 20:00:31,2457099.334,null
2015-03-18 00:14:15,2457099.510,null
2015-03-18 02:00:59,2457099.584,null
2015-04-21 23:38:28,2457134.485,null
2015-04-22 01:25:13,2457134.559,null
2015-09-11 20:30:38,2457277.355,null
2015-09-12 00:44:25,2457277.531,null
2015-09-30 08:37:20,2457295.859,null
2015-11-01 06:28:43,2457327.770,null
2015-11-01 08:15:29,2457327.844,null
2016-03-11 13:12:28,2457459.050,null
2016-03-11 14:58:37,2457459.124,null
2016-04-01 19:10:46,2457480.299,null
2016-05-01 18:46:36,2457510.282,null
2016-05-01 20:33:20,2457510.356,null
2016-09-20 13:51:30,2457652.077,null
2016-10-14 13:49:44,2457676.076,null
2016-11-10 15:26:03,2457703.143,null
2017-03-21 09:41:42,2457833.904,null
2017-03-21 11:28:27,2457833.978,null
2017-04-16 21:28:01,2457860.394,null
2017-09-30 18:10:31,2458027.257,null
2017-10-29 10:10:42,2458055.924,null
2017-11-20 11:58:19,2458077.999,null
2018-03-31 18:36:17,2458209.275,null
2018-05-02 00:09:12,2458240.506,null
2018-05-22 04:22:20,2458260.682,16.82
2018-05-22 06:08:53,2458260.756,16.96
2018-10-11 07:21:05,2458402.806,null
2018-11-13 17:10:22,2458436.216,null
2018-11-13 18:57:07,2458436.290,null
2018-11-29 05:18:44,2458451.721,null
2018-11-29 07:05:29,2458451.795,null
2019-04-11 11:58:50,2458584.999,null
2019-04-11 13:44:59,2458585.073,null
2019-05-18 01:05:04,2458621.545,null
2019-05-18 05:18:48,2458621.721,null
2019-05-30 17:24:53,2458634.226,null
2019-05-30 19:11:37,2458634.300,null

