Gaia18bhz
#Date,JD,averagemag.
2014-08-24 10:23:09,2456893.933,null
2014-08-24 12:09:54,2456894.007,null
2014-11-09 13:55:22,2456971.080,null
2015-01-05 17:14:25,2457028.218,null
2015-02-01 05:01:29,2457054.709,null
2015-02-01 06:48:14,2457054.783,null
2015-03-05 10:38:01,2457086.943,null
2015-07-18 11:08:13,2457221.964,null
2015-08-15 21:07:50,2457250.380,null
2015-08-15 22:54:35,2457250.455,null
2015-09-22 14:16:04,2457288.094,null
2015-09-22 16:02:48,2457288.169,null
2015-11-21 08:56:03,2457347.872,null
2015-12-13 01:04:57,2457369.545,null
2015-12-13 02:51:42,2457369.619,null
2016-01-17 08:05:44,2457404.837,null
2016-02-14 12:03:47,2457433.003,null
2016-02-14 13:50:33,2457433.077,null
2016-03-16 23:45:03,2457464.490,null
2016-03-17 01:31:49,2457464.564,null
2016-04-21 23:23:41,2457500.475,null
2016-05-22 18:59:55,2457531.292,null
2016-07-31 10:22:58,2457600.933,null
2016-07-31 12:09:43,2457601.007,null
2016-08-27 04:11:47,2457627.675,null
2016-08-27 05:58:32,2457627.749,null
2016-10-04 09:15:59,2457665.886,null
2016-12-02 02:11:14,2457724.591,null
2016-12-02 03:57:24,2457724.665,null
2016-12-24 15:51:13,2457747.161,null
2017-01-28 03:10:50,2457781.633,null
2017-02-27 02:29:59,2457811.604,null
2017-03-29 22:01:31,2457842.418,null
2017-03-30 02:15:17,2457842.594,null
2017-05-05 13:52:50,2457879.078,null
2017-05-05 15:39:35,2457879.152,null
2017-07-09 13:21:15,2457944.056,null
2017-08-14 06:46:14,2457979.782,null
2017-09-08 06:36:58,2458004.776,null
2017-09-08 08:23:43,2458004.850,null
2017-10-16 17:37:51,2458043.235,null
2017-10-16 19:24:00,2458043.308,null
2017-12-13 16:35:34,2458101.191,null
2017-12-13 18:22:19,2458101.265,null
2018-01-06 10:27:23,2458124.936,null
2018-01-06 12:14:09,2458125.010,null
2018-02-09 03:53:06,2458158.662,null
2018-03-12 15:33:51,2458190.149,null
2018-03-12 17:20:36,2458190.223,null
2018-04-12 09:22:28,2458220.891,null
2018-05-19 02:59:56,2458257.625,19.03
2018-05-19 04:46:30,2458257.699,19.00
2018-06-20 08:45:05,2458289.865,null
2018-06-20 10:31:50,2458289.939,null
2018-07-22 02:26:49,2458321.602,null
2018-07-22 04:13:34,2458321.676,null
2018-08-27 15:32:28,2458358.148,null
2018-09-20 09:25:33,2458381.893,null
2018-10-29 00:37:34,2458420.526,null
2018-11-18 12:34:26,2458441.024,null
2018-11-18 14:21:11,2458441.098,null
2018-12-25 07:25:39,2458477.809,null
2019-01-19 11:28:37,2458502.978,null
2019-02-21 06:46:01,2458535.782,null
2019-03-26 10:39:18,2458568.944,null
2019-03-26 12:26:03,2458569.018,null
2019-04-25 22:29:28,2458599.437,null
2019-04-26 00:16:13,2458599.511,null
2019-06-01 16:07:25,2458636.172,null
2019-06-01 17:54:09,2458636.246,null
2019-07-04 15:48:19,2458669.159,null
2019-07-04 17:35:04,2458669.233,null
2019-07-23 01:16:43,2458687.553,null
2019-08-26 19:03:06,2458722.294,null
2019-09-29 22:13:46,2458756.426,null

