Gaia18bkf
#Date,JD,averagemag.
2014-08-27 00:42:28,2456896.529,null
2015-01-01 22:38:26,2457024.443,null
2015-01-02 00:25:12,2457024.518,null
2015-01-26 22:29:59,2457049.437,null
2015-01-27 00:16:45,2457049.512,null
2015-02-23 22:20:47,2457077.431,null
2015-02-24 00:06:58,2457077.505,null
2015-06-24 10:08:05,2457197.922,null
2015-06-24 11:54:15,2457197.996,null
2015-07-24 05:39:26,2457227.736,null
2015-08-19 15:40:23,2457254.153,null
2015-08-19 17:27:08,2457254.227,null
2015-11-25 18:39:19,2457352.277,null
2015-11-25 20:25:29,2457352.351,null
2015-11-26 00:39:15,2457352.527,null
2015-12-03 12:45:24,2457360.032,null
2015-12-03 14:32:09,2457360.106,null
2016-01-12 11:46:18,2457399.990,null
2016-02-10 11:30:36,2457428.980,null
2016-03-05 23:31:52,2457453.480,null
2016-03-06 01:18:02,2457453.554,null
2016-07-05 05:17:21,2457574.720,null
2016-08-07 04:49:18,2457607.701,null
2016-08-29 10:44:50,2457629.948,null
2016-08-29 12:31:00,2457630.022,null
2016-12-03 13:35:32,2457726.066,null
2016-12-03 15:22:18,2457726.140,null
2016-12-16 13:42:11,2457739.071,null
2016-12-16 15:28:56,2457739.145,null
2017-01-22 02:41:34,2457775.612,null
2017-02-24 13:56:09,2457809.081,null
2017-02-24 15:42:54,2457809.155,null
2017-03-16 15:51:21,2457829.161,null
2017-03-16 20:05:07,2457829.337,null
2017-03-16 21:51:52,2457829.411,null
2017-05-22 08:08:07,2457895.839,null
2017-05-22 09:54:17,2457895.913,null
2017-05-22 14:08:02,2457896.089,null
2017-05-22 15:54:46,2457896.163,null
2017-05-22 21:54:41,2457896.413,null
2017-06-04 20:17:22,2457909.345,null
2017-06-04 22:04:07,2457909.420,null
2017-06-05 02:17:16,2457909.595,null
2017-06-05 04:04:01,2457909.669,null
2017-07-16 19:48:18,2457951.325,null
2017-07-16 21:35:02,2457951.399,null
2017-08-21 19:07:17,2457987.297,null
2017-09-08 19:08:57,2458005.298,null
2017-09-08 20:55:42,2458005.372,null
2017-12-12 23:44:51,2458100.489,null
2017-12-13 03:58:37,2458100.666,null
2017-12-30 10:02:06,2458117.918,null
2017-12-30 11:48:52,2458117.992,null
2018-02-02 03:27:49,2458151.644,null
2018-03-14 03:04:25,2458191.628,null
2018-03-14 04:51:10,2458191.702,null
2018-03-14 09:04:56,2458191.878,null
2018-03-14 10:51:06,2458191.952,null
2018-03-26 05:00:47,2458203.709,null
2018-03-26 09:14:33,2458203.885,null
2018-03-26 11:01:18,2458203.959,null
2018-03-26 15:15:04,2458204.135,null
2018-03-26 17:01:49,2458204.210,null
2018-03-26 21:14:59,2458204.385,null
2018-06-01 15:16:43,2458271.137,null
2018-06-01 17:03:14,2458271.211,17.93
2018-06-01 21:16:54,2458271.387,17.73
2018-06-23 03:22:52,2458292.641,17.29
2018-06-23 05:09:26,2458292.715,17.28
2018-07-28 08:56:17,2458327.872,17.66
2018-07-28 10:42:51,2458327.946,17.64
2018-09-05 08:02:22,2458366.835,18.24
2018-09-18 14:07:43,2458380.089,19.05
2018-09-18 15:54:17,2458380.163,19.11
2018-12-22 23:01:50,2458475.460,null
2018-12-23 00:48:01,2458475.533,19.81
2019-01-13 04:59:56,2458496.708,null
2019-01-13 06:46:12,2458496.782,20.02
2019-02-13 00:24:46,2458527.517,null
2019-02-13 04:37:57,2458527.693,null
2019-06-12 22:26:29,2458647.435,null
2019-06-13 00:13:14,2458647.509,null
2019-07-09 06:10:07,2458673.757,null
2019-08-18 01:07:45,2458713.547,null
2019-08-18 02:54:29,2458713.621,null

