Gaia18bls
#Date,JD,averagemag.
2014-10-20 07:26:20,2456950.810,untrusted
2014-11-14 13:20:28,2456976.056,16.81
2014-12-12 07:00:10,2457003.792,untrusted
2015-05-05 02:54:22,2457147.621,null
2015-05-05 04:41:08,2457147.695,null
2015-06-29 14:41:04,2457203.112,17.75
2015-06-29 16:27:39,2457203.186,17.78
2015-10-31 08:35:33,2457326.858,18.12
2015-11-28 22:03:13,2457355.419,17.02
2015-12-22 15:51:45,2457379.161,17.62
2016-03-27 18:38:33,2457475.277,17.99
2016-03-27 22:52:13,2457475.453,17.99
2016-03-28 00:38:48,2457475.527,17.98
2016-03-28 04:52:29,2457475.703,18.03
2016-04-02 16:57:29,2457481.207,17.88
2016-04-02 18:44:04,2457481.281,17.90
2016-04-02 22:57:45,2457481.457,17.93
2016-04-03 00:44:19,2457481.531,untrusted
2016-05-15 04:02:50,2457523.669,17.81
2016-06-15 15:47:17,2457555.158,17.78
2016-06-15 17:33:52,2457555.232,17.78
2016-07-09 17:39:01,2457579.235,18.34
2016-07-09 21:52:42,2457579.412,18.34
2016-07-09 23:39:17,2457579.486,18.30
2016-12-11 22:58:14,2457734.457,untrusted
2016-12-31 15:08:27,2457754.131,18.32
2016-12-31 16:55:01,2457754.205,18.30
2017-04-05 02:57:15,2457848.623,17.36
2017-04-05 07:10:56,2457848.799,17.41
2017-04-18 03:04:49,2457861.628,17.45
2017-05-26 08:21:47,2457899.848,17.67
2017-05-26 12:35:28,2457900.025,17.66
2017-07-02 08:00:53,2457936.834,18.31
2017-07-02 12:14:35,2457937.010,18.33
2017-07-02 14:01:09,2457937.084,18.34
2017-07-20 06:25:40,2457954.768,18.03
2017-07-20 08:12:14,2457954.842,18.03
2017-07-20 12:25:55,2457955.018,18.03
2017-09-30 18:38:16,2458027.277,untrusted
2017-09-30 20:24:50,2458027.351,17.77
2017-10-01 00:38:30,2458027.527,17.78
2017-10-01 02:25:04,2458027.601,17.75
2017-10-01 08:25:17,2458027.851,17.78
2017-10-13 00:46:41,2458039.532,17.59
2017-10-13 02:33:14,2458039.606,17.59
2017-10-13 06:46:53,2458039.783,17.63
2017-10-13 08:33:27,2458039.857,17.61
2017-11-21 06:15:01,2458078.760,17.85
2017-11-21 08:01:35,2458078.834,17.86
2017-12-25 23:28:43,2458113.478,18.19
2017-12-26 01:15:17,2458113.552,18.21
2018-01-10 05:31:44,2458128.730,18.11
2018-04-14 14:11:37,2458223.091,17.75
2018-04-14 15:58:12,2458223.165,17.77
2018-05-02 20:16:17,2458241.345,17.39
2018-05-02 22:02:52,2458241.419,17.37
2018-06-06 19:46:17,2458276.324,16.03
2018-06-06 21:32:52,2458276.398,16.01
2018-10-10 01:46:00,2458401.574,untrusted
2018-10-10 03:32:33,2458401.648,18.13
2018-10-30 13:50:26,2458422.077,18.47
2018-12-02 01:22:28,2458454.557,18.29
2018-12-02 03:09:01,2458454.631,18.27
2019-01-09 02:09:40,2458492.590,17.77
2019-01-09 06:23:19,2458492.766,17.74
2019-01-18 18:28:45,2458502.270,17.74
2019-01-18 20:15:19,2458502.344,17.75
2019-04-24 17:02:21,2458598.210,17.75
2019-04-24 21:16:02,2458598.386,17.66
2019-05-17 15:14:56,2458621.135,17.59
2019-06-18 08:57:51,2458652.874,18.53
2019-06-18 10:44:26,2458652.948,18.46
2019-07-22 00:14:49,2458686.510,18.18
2019-07-22 04:28:30,2458686.686,18.18
2019-07-22 06:15:04,2458686.760,18.19
2019-10-28 16:44:52,2458785.198,18.34
2019-10-28 18:31:26,2458785.272,18.36
2019-11-19 23:29:26,2458807.479,17.97
2019-11-20 01:16:00,2458807.553,17.91
2019-12-19 18:43:51,2458837.280,18.01
2019-12-19 20:30:25,2458837.354,18.02
2020-04-17 04:37:41,2458956.693,18.91
2020-04-17 06:24:16,2458956.767,18.83
2020-05-13 11:33:31,2458982.982,19.10

