Gaia18blw
#Date,JD,averagemag.
2014-08-16 05:27:35,2456885.727,null
2014-08-16 07:13:44,2456885.801,null
2014-08-16 11:27:28,2456885.977,null
2014-08-16 13:14:13,2456886.052,null
2014-08-16 17:27:57,2456886.228,null
2014-08-16 19:14:41,2456886.302,null
2015-01-24 15:44:23,2457047.156,null
2015-01-24 17:31:08,2457047.230,null
2015-02-08 05:38:35,2457061.735,null
2015-02-08 09:52:21,2457061.911,null
2015-02-08 11:39:07,2457061.985,null
2015-05-14 17:34:11,2457157.232,null
2015-05-14 19:20:55,2457157.306,null
2015-05-14 23:34:39,2457157.482,null
2015-05-15 01:20:49,2457157.556,null
2015-05-15 05:34:33,2457157.732,null
2015-05-15 07:21:17,2457157.806,null
2015-05-15 11:35:01,2457157.983,null
2015-05-15 13:21:46,2457158.057,null
2015-05-15 17:34:55,2457158.233,null
2015-05-15 19:21:39,2457158.307,null
2015-05-15 23:35:23,2457158.483,null
2015-05-16 01:22:08,2457158.557,null
2015-05-16 05:35:52,2457158.733,null
2015-05-16 07:22:01,2457158.807,null
2015-05-16 11:35:45,2457158.983,null
2015-05-16 13:22:30,2457159.057,null
2015-05-16 17:36:13,2457159.233,null
2015-05-16 19:22:23,2457159.307,null
2015-05-16 23:36:07,2457159.483,null
2015-05-17 05:36:35,2457159.734,null
2015-06-28 22:53:32,2457202.454,null
2015-06-29 00:40:16,2457202.528,null
2015-08-07 00:01:06,2457241.501,null
2015-08-07 04:14:49,2457241.677,null
2015-08-07 06:01:34,2457241.751,null
2015-08-16 04:20:46,2457250.681,null
2015-08-16 06:07:31,2457250.755,null
2015-08-16 10:21:15,2457250.931,null
2015-08-16 12:07:24,2457251.005,null
2015-11-16 17:45:00,2457343.240,null
2015-11-16 19:31:45,2457343.314,null
2015-11-16 23:45:31,2457343.490,null
2015-11-26 17:53:18,2457353.245,null
2015-11-26 19:40:03,2457353.319,null
2016-01-01 23:22:53,2457389.474,null
2016-05-18 18:31:11,2457527.272,null
2016-05-18 20:17:56,2457527.346,null
2016-05-19 00:31:40,2457527.522,null
2016-06-04 00:36:41,2457543.525,null
2016-06-04 02:22:50,2457543.599,null
2016-07-09 00:02:41,2457578.502,null
2016-07-09 01:48:50,2457578.576,null
2016-11-23 06:48:54,2457715.784,null
2016-12-11 18:54:27,2457734.288,null
2016-12-11 20:41:12,2457734.362,null
2017-01-11 06:34:06,2457764.774,null
2017-01-11 08:20:51,2457764.848,null
2017-05-28 02:58:25,2457901.624,null
2017-05-28 04:45:09,2457901.698,null
2017-06-19 20:54:16,2457924.371,null
2017-06-19 22:41:00,2457924.445,null
2017-07-19 20:33:40,2457954.357,null
2017-07-19 22:19:49,2457954.430,null
2017-12-02 11:05:40,2458089.962,null
2017-12-02 15:19:27,2458090.139,null
2018-01-21 09:06:59,2458139.880,null
2018-01-21 10:53:45,2458139.954,null
2018-06-07 10:05:08,2458276.920,16.45
2018-06-07 11:51:42,2458276.994,16.47
2018-07-05 09:49:19,2458304.909,17.61
2018-07-30 09:41:13,2458329.904,18.49
2018-07-30 11:27:47,2458329.978,18.47
2018-12-12 12:16:16,2458465.011,null
2019-01-10 00:00:23,2458493.500,null
2019-01-31 00:02:04,2458514.501,null
2019-06-18 05:13:22,2458652.718,null
2019-08-04 01:05:01,2458699.545,null
2019-08-04 02:51:45,2458699.619,null

