Gaia18bnb
#Date,JD,averagemag.
2014-08-30 04:32:58,2456899.690,null
2014-11-15 08:05:01,2456976.837,null
2014-11-15 12:18:46,2456977.013,null
2014-11-29 00:23:20,2456990.516,null
2015-01-09 06:43:36,2457031.780,null
2015-01-26 22:59:29,2457049.458,null
2015-01-27 00:46:14,2457049.532,null
2015-03-03 22:12:16,2457085.425,null
2015-04-04 09:54:53,2457116.913,null
2015-04-04 11:41:03,2457116.987,null
2015-05-01 23:40:31,2457144.486,null
2015-05-02 03:54:16,2457144.663,null
2015-05-02 05:41:01,2457144.737,null
2015-06-19 03:34:17,2457192.649,null
2015-06-19 05:21:02,2457192.723,null
2015-06-19 09:34:47,2457192.899,null
2015-06-19 11:20:57,2457192.973,null
2015-07-14 09:40:47,2457217.903,null
2015-07-14 11:26:57,2457217.977,null
2015-07-14 15:40:42,2457218.153,null
2015-08-21 21:15:33,2457256.386,null
2015-09-25 08:39:45,2457290.861,null
2015-09-25 10:26:29,2457290.935,null
2015-10-17 10:20:32,2457312.931,null
2015-11-27 09:00:31,2457353.875,null
2015-11-27 13:14:16,2457354.052,null
2015-12-10 03:06:08,2457366.629,null
2016-01-19 23:58:13,2457407.499,null
2016-01-20 01:44:58,2457407.573,null
2016-02-08 23:57:32,2457427.498,null
2016-02-09 01:43:42,2457427.572,null
2016-03-14 11:20:45,2457461.973,null
2016-04-18 10:59:55,2457496.958,null
2016-04-18 12:46:41,2457497.032,null
2016-05-14 06:51:30,2457522.786,null
2016-05-14 11:05:15,2457522.962,null
2016-05-14 12:52:00,2457523.036,null
2016-07-02 04:45:21,2457571.698,null
2016-07-02 06:31:31,2457571.772,null
2016-07-29 06:32:15,2457598.772,null
2016-07-29 10:45:59,2457598.949,null
2016-09-01 22:22:37,2457633.432,null
2016-10-07 23:23:06,2457669.474,null
2016-10-27 09:35:05,2457688.899,null
2016-10-27 11:21:50,2457688.973,null
2016-12-07 21:56:23,2457730.414,null
2016-12-08 02:10:08,2457730.590,null
2016-12-20 20:15:22,2457743.344,null
2016-12-20 22:02:07,2457743.418,null
2017-01-29 19:00:52,2457783.292,null
2017-01-29 20:47:37,2457783.366,null
2017-02-21 08:18:27,2457805.846,null
2017-02-21 10:05:12,2457805.920,null
2017-03-26 03:38:14,2457838.652,null
2017-03-26 07:52:00,2457838.828,null
2017-05-04 07:30:17,2457877.813,null
2017-05-04 09:17:03,2457877.887,null
2017-05-28 09:25:26,2457901.893,null
2017-05-28 13:39:11,2457902.069,null
2017-05-28 15:25:56,2457902.143,null
2017-07-15 07:17:38,2457949.804,null
2017-07-15 09:04:23,2457949.878,null
2017-08-13 13:11:18,2457979.050,null
2017-08-13 14:57:28,2457979.123,null
2017-09-13 14:37:42,2458010.110,null
2017-10-21 07:42:11,2458047.821,null
2017-11-07 05:57:07,2458064.748,null
2017-11-07 07:43:51,2458064.822,null
2017-12-19 00:15:25,2458106.511,null
2017-12-19 04:29:10,2458106.687,null
2018-01-01 22:34:18,2458120.440,null
2018-01-02 00:20:28,2458120.514,null
2018-02-09 17:14:22,2458159.218,null
2018-03-07 03:18:48,2458184.638,null
2018-04-07 04:48:15,2458215.700,null
2018-04-07 09:02:01,2458215.876,null
2018-05-20 02:40:28,2458258.611,null
2018-05-20 04:27:13,2458258.686,null
2018-05-20 08:40:23,2458258.861,null
2018-05-20 10:27:08,2458258.936,null
2018-06-12 10:36:44,2458281.942,18.24
2018-06-12 14:50:24,2458282.118,18.25
2018-06-12 16:36:58,2458282.192,18.22
2018-07-28 04:13:46,2458327.676,null
2018-07-28 08:27:30,2458327.852,null
2018-08-28 08:11:26,2458358.841,null
2018-08-28 09:58:11,2458358.915,null
2018-11-03 06:51:22,2458425.786,null
2018-11-18 06:55:11,2458440.788,null
2018-12-29 19:13:01,2458482.301,null
2018-12-29 23:26:46,2458482.477,null
2019-01-14 11:31:01,2458497.980,null
2019-01-14 13:17:11,2458498.054,null
2019-02-20 22:33:48,2458535.440,null
2019-03-21 04:20:14,2458563.681,null
2019-03-21 06:07:00,2458563.755,null
2019-04-19 16:11:52,2458593.175,null
2019-04-19 17:58:38,2458593.249,null
2019-06-04 17:38:19,2458639.235,null
2019-06-04 21:52:04,2458639.411,null
2019-06-04 23:38:14,2458639.485,null
2019-06-28 11:47:35,2458662.991,null
2019-06-28 16:01:19,2458663.168,null
2019-06-28 17:47:29,2458663.241,null
2019-07-17 17:18:48,2458682.221,null
2019-07-17 19:04:57,2458682.295,null
2019-09-24 14:36:38,2458751.109,null
2019-09-24 16:22:48,2458751.183,null

