Gaia18bvz
#Date,JD,averagemag.
2014-11-12 18:52:26,2456974.286,null
2014-11-12 20:38:36,2456974.360,null
2015-01-15 05:28:25,2457037.728,null
2015-01-15 07:15:10,2457037.802,null
2015-03-11 22:08:16,2457093.422,null
2015-03-29 22:10:11,2457111.424,null
2015-03-29 23:56:56,2457111.498,null
2015-05-06 05:09:50,2457148.715,null
2015-06-07 09:07:10,2457180.880,null
2015-07-06 04:52:23,2457209.703,null
2015-07-06 09:05:34,2457209.879,null
2015-08-22 10:32:06,2457256.939,null
2015-08-22 14:45:16,2457257.115,null
2015-08-22 16:32:01,2457257.189,null
2015-09-16 14:50:44,2457282.119,null
2015-09-16 16:37:29,2457282.193,null
2015-09-16 20:51:13,2457282.369,null
2015-10-24 02:24:49,2457319.601,null
2015-10-24 04:11:34,2457319.675,null
2015-11-26 07:50:10,2457352.827,null
2015-11-26 09:36:19,2457352.900,null
2015-12-18 07:42:27,2457374.821,null
2015-12-18 09:29:12,2457374.895,null
2016-01-27 06:23:53,2457414.767,null
2016-01-27 08:10:38,2457414.841,null
2016-02-09 14:15:27,2457428.094,null
2016-03-21 18:55:11,2457469.288,null
2016-03-21 23:08:57,2457469.465,null
2016-05-17 04:31:25,2457525.688,null
2016-05-17 06:18:10,2457525.763,null
2016-06-21 16:12:41,2457561.175,null
2016-06-21 17:59:27,2457561.250,null
2016-07-18 16:16:32,2457588.178,null
2016-07-18 18:03:17,2457588.252,null
2016-09-04 09:55:51,2457635.914,null
2016-09-04 11:42:36,2457635.988,null
2016-09-30 23:42:26,2457662.488,null
2016-10-01 03:56:10,2457662.664,null
2016-11-03 21:31:26,2457696.397,null
2016-12-08 14:46:53,2457731.116,null
2016-12-28 02:43:51,2457750.614,null
2016-12-28 04:30:36,2457750.688,null
2017-02-06 19:20:17,2457791.306,null
2017-02-06 21:06:26,2457791.379,null
2017-02-20 08:48:03,2457804.867,null
2017-02-20 10:34:48,2457804.941,null
2017-04-02 01:34:20,2457845.566,null
2017-04-25 01:30:36,2457868.563,null
2017-04-25 03:16:47,2457868.637,null
2017-05-29 08:49:53,2457902.868,null
2017-07-07 12:43:02,2457942.030,null
2017-07-07 14:29:13,2457942.104,null
2017-08-01 18:50:28,2457967.285,null
2017-08-01 20:37:13,2457967.359,null
2017-09-17 12:28:10,2458014.020,null
2017-09-17 14:14:55,2458014.094,null
2017-10-15 20:07:53,2458042.339,null
2017-11-15 05:59:53,2458072.750,null
2017-11-15 07:46:38,2458072.824,null
2017-12-21 11:05:34,2458108.962,null
2017-12-21 12:51:44,2458109.036,null
2018-01-07 23:05:51,2458126.462,null
2018-02-18 03:39:10,2458167.652,null
2018-04-13 08:38:39,2458221.860,null
2018-05-09 04:17:35,2458247.679,null
2018-06-10 20:12:58,2458280.342,null
2018-06-10 21:59:44,2458280.416,null
2018-07-23 07:51:59,2458322.828,17.28
2018-07-23 09:38:33,2458322.902,17.23
2018-07-23 13:52:13,2458323.078,17.25
2018-07-23 15:38:48,2458323.152,17.27
2018-08-16 14:01:12,2458347.084,18.34
2018-08-16 15:47:46,2458347.158,18.35
2018-08-16 20:01:26,2458347.334,18.34
2018-09-30 01:36:58,2458391.567,19.73
2018-09-30 03:23:32,2458391.641,19.75
2018-10-30 03:08:10,2458421.631,20.35
2018-10-30 07:21:59,2458421.807,null
2018-11-26 13:04:57,2458449.045,null
2018-11-26 14:51:42,2458449.119,null
2019-01-03 06:01:34,2458486.751,null
2019-01-18 18:03:59,2458502.253,null
2019-03-01 04:37:14,2458543.693,null
2019-03-17 04:41:15,2458559.695,null
2019-03-17 06:28:00,2458559.769,null
2019-04-24 17:30:57,2458598.230,null
2019-04-24 21:44:42,2458598.406,null
2019-05-23 15:32:39,2458627.148,null
2019-05-23 17:19:25,2458627.222,null
2019-06-23 11:10:03,2458657.965,null
2019-06-23 15:23:49,2458658.142,null
2019-07-22 04:53:30,2458686.704,null
2019-09-03 19:40:53,2458730.320,null
2019-09-03 21:27:38,2458730.394,null
2019-09-20 09:54:07,2458746.913,null

