Gaia18bwb
#Date,JD,averagemag.
2014-11-09 19:50:45,2456971.327,null
2014-11-29 18:03:05,2456991.252,null
2015-01-04 23:10:35,2457027.466,null
2015-01-31 22:57:11,2457054.456,null
2015-02-01 00:43:56,2457054.531,null
2015-03-04 06:25:04,2457085.767,null
2015-04-10 04:15:50,2457122.678,null
2015-04-10 06:02:35,2457122.752,null
2015-06-15 15:48:58,2457189.159,null
2015-07-19 09:24:26,2457222.892,null
2015-07-19 11:11:10,2457222.966,null
2015-08-15 22:58:16,2457250.457,null
2015-09-23 14:14:33,2457289.093,null
2015-10-13 08:13:28,2457308.843,null
2015-10-13 10:00:12,2457308.917,null
2015-11-21 08:51:35,2457347.869,null
2015-12-12 07:02:03,2457368.793,null
2016-01-16 12:16:26,2457404.011,null
2016-02-14 12:00:06,2457433.000,null
2016-02-14 13:46:52,2457433.074,null
2016-03-15 23:46:30,2457463.491,null
2016-04-23 05:23:49,2457501.725,null
2016-04-23 07:10:34,2457501.799,null
2016-05-22 19:04:22,2457531.295,null
2016-05-22 23:18:07,2457531.471,null
2016-06-27 10:56:10,2457566.956,null
2016-06-27 12:42:55,2457567.030,null
2016-08-01 10:24:38,2457601.934,null
2016-08-01 12:11:23,2457602.008,null
2016-08-27 00:01:39,2457627.501,null
2016-10-05 03:13:23,2457666.634,null
2016-10-24 09:12:41,2457685.884,null
2016-12-01 20:06:21,2457724.338,null
2016-12-01 21:53:06,2457724.412,null
2016-12-23 21:47:51,2457746.408,null
2017-01-27 03:09:03,2457780.631,null
2017-02-27 08:26:19,2457811.852,null
2017-03-28 22:03:35,2457841.419,null
2017-03-29 02:17:20,2457841.595,null
2017-05-06 21:40:47,2457880.403,null
2017-07-10 01:25:04,2457944.559,null
2017-07-10 03:11:49,2457944.633,null
2017-08-15 06:47:12,2457980.783,null
2017-09-08 00:40:01,2458004.528,null
2017-09-08 02:26:46,2458004.602,null
2017-10-17 07:20:56,2458043.806,null
2017-10-17 11:34:06,2458043.982,null
2017-12-13 06:18:12,2458100.763,null
2018-02-08 03:52:00,2458157.661,null
2018-03-13 03:31:20,2458190.647,null
2018-03-13 05:18:05,2458190.721,null
2018-04-11 11:11:52,2458219.967,null
2018-04-11 15:25:37,2458220.143,null
2018-05-20 10:48:37,2458258.950,null
2018-06-21 02:49:35,2458290.618,null
2018-07-22 14:30:50,2458322.105,18.92
2018-07-22 16:17:24,2458322.179,18.90
2018-08-28 15:32:47,2458359.148,null
2018-08-28 19:45:57,2458359.324,null
2018-09-19 21:28:04,2458381.394,null
2018-10-29 08:19:38,2458420.847,null
2018-11-17 12:33:10,2458440.023,null
2018-11-17 14:19:20,2458440.097,null
2018-12-24 17:34:53,2458477.233,null
2019-01-18 23:24:51,2458502.476,null
2019-01-19 01:11:01,2458502.549,null
2019-02-20 04:59:25,2458534.708,null
2019-03-27 06:24:04,2458569.767,null
2019-04-25 10:33:40,2458598.940,null
2019-06-02 17:56:25,2458637.248,null
2019-07-05 11:38:16,2458669.985,null
2019-07-22 13:19:38,2458687.055,null
2019-08-25 13:01:22,2458721.043,null
2019-08-25 14:47:32,2458721.116,null

