Gaia18cbz
#Date,JD,averagemag.
2014-11-11 08:55:58,2456972.872,null
2014-11-11 13:09:42,2456973.048,null
2015-01-17 19:31:53,2457040.314,null
2015-01-31 05:49:44,2457053.743,null
2015-01-31 07:36:29,2457053.817,null
2015-03-17 05:56:16,2457098.747,null
2015-03-17 10:10:01,2457098.924,null
2015-03-26 04:16:43,2457107.678,null
2015-03-26 06:02:53,2457107.752,null
2015-05-07 16:53:14,2457150.204,null
2015-06-02 14:59:40,2457176.125,null
2015-06-02 16:46:25,2457176.199,null
2015-07-04 02:46:48,2457207.616,null
2015-07-04 04:33:34,2457207.690,null
2015-08-24 02:31:20,2457258.605,null
2015-08-24 04:18:05,2457258.679,null
2015-08-24 08:31:16,2457258.855,null
2015-08-24 10:18:01,2457258.929,null
2015-08-24 14:31:46,2457259.105,null
2015-08-24 16:18:31,2457259.180,null
2015-08-24 22:18:26,2457259.429,null
2015-09-05 04:28:10,2457270.686,null
2015-09-05 08:41:20,2457270.862,null
2015-09-05 10:28:05,2457270.936,null
2015-09-05 14:41:50,2457271.112,null
2015-09-05 16:28:35,2457271.187,null
2015-09-05 20:42:20,2457271.363,null
2015-09-05 22:28:30,2457271.436,null
2015-09-06 02:42:15,2457271.613,null
2015-10-28 08:22:28,2457323.849,null
2015-10-28 10:09:12,2457323.923,null
2015-11-25 20:08:37,2457352.339,null
2015-11-25 21:54:47,2457352.413,null
2015-12-22 03:38:48,2457378.652,null
2016-01-30 20:26:31,2457418.352,null
2016-01-31 00:40:16,2457418.528,null
2016-02-10 00:45:50,2457428.532,null
2016-02-10 02:31:59,2457428.606,null
2016-03-26 11:05:36,2457473.962,null
2016-03-26 12:52:21,2457474.036,null
2016-04-07 11:12:42,2457485.967,null
2016-04-07 12:59:27,2457486.041,null
2016-05-18 00:00:09,2457526.500,null
2016-06-16 16:01:40,2457556.168,null
2016-06-16 17:47:50,2457556.242,null
2016-07-15 05:44:48,2457584.739,null
2016-07-15 09:58:34,2457584.916,null
2016-09-08 15:46:04,2457640.157,null
2016-09-08 17:32:48,2457640.231,null
2016-09-08 21:46:33,2457640.407,null
2016-09-08 23:32:43,2457640.481,null
2016-09-09 03:46:28,2457640.657,null
2016-09-09 05:33:13,2457640.731,null
2016-09-22 15:56:50,2457654.164,null
2016-09-22 17:43:35,2457654.239,null
2016-09-22 21:57:20,2457654.415,null
2016-09-22 23:43:29,2457654.489,null
2016-09-23 03:57:14,2457654.665,null
2016-11-07 21:31:25,2457700.397,null
2016-11-07 23:18:10,2457700.471,null
2016-12-08 21:05:16,2457731.379,null
2016-12-31 20:56:01,2457754.372,null
2017-02-11 16:43:10,2457796.197,null
2017-02-11 20:56:54,2457796.373,null
2017-02-19 03:02:28,2457803.627,null
2017-02-19 04:48:38,2457803.700,null
2017-04-05 19:26:25,2457849.310,null
2017-05-29 14:31:04,2457903.105,null
2017-07-02 06:27:26,2457936.769,null
2017-07-27 14:19:15,2457962.097,null
2017-07-27 18:33:00,2457962.273,null
2017-07-27 20:19:11,2457962.347,null
2017-09-22 06:20:46,2458018.764,null
2017-09-22 08:07:31,2458018.839,null
2017-09-22 12:21:16,2458019.015,null
2017-09-22 14:07:25,2458019.088,null
2017-10-11 00:30:34,2458037.521,null
2017-10-11 02:17:18,2458037.595,null
2017-10-11 06:31:03,2458037.772,null
2017-11-19 07:48:12,2458076.825,null
2017-12-22 11:23:48,2458109.975,null
2018-01-11 05:20:11,2458129.722,null
2018-01-11 07:06:56,2458129.796,null
2018-03-01 15:55:41,2458179.164,null
2018-03-01 17:42:26,2458179.238,null
2018-03-01 21:56:11,2458179.414,null
2018-03-01 23:42:21,2458179.488,null
2018-04-16 04:13:37,2458224.676,null
2018-04-16 08:27:23,2458224.852,null
2018-05-05 04:16:21,2458243.678,null
2018-06-10 07:54:05,2458279.829,null
2018-06-10 09:40:50,2458279.903,null
2018-07-18 13:34:04,2458318.065,null
2018-07-18 15:20:15,2458318.139,null
2018-08-09 03:31:10,2458339.647,null
2018-08-09 07:44:35,2458339.823,16.71
2018-08-09 09:31:09,2458339.897,16.73
2018-10-04 19:31:27,2458396.314,19.59
2018-10-04 21:18:01,2458396.388,19.64
2018-10-27 13:36:14,2458419.067,20.43
2018-10-27 15:22:48,2458419.141,20.35
2018-11-30 13:09:13,2458453.048,null
2018-11-30 14:55:57,2458453.122,null
2019-01-04 20:05:53,2458488.337,null
2019-01-21 12:20:28,2458505.014,null
2019-03-07 04:44:51,2458549.698,null
2019-03-07 06:31:01,2458549.772,null
2019-03-07 10:44:46,2458549.948,null
2019-03-13 10:49:51,2458555.951,null
2019-03-13 12:36:36,2458556.025,null
2019-03-13 16:49:46,2458556.201,null
2019-03-13 18:36:31,2458556.275,null
2019-04-26 23:16:23,2458600.470,null
2019-05-19 09:28:46,2458622.895,null
2019-05-19 11:15:32,2458622.969,null
2019-06-22 09:04:55,2458656.878,null
2019-07-24 22:42:13,2458689.446,null
2019-07-25 00:28:23,2458689.520,null
2019-09-10 01:45:32,2458736.573,null
2019-09-10 03:32:17,2458736.647,null
2019-09-16 15:38:45,2458743.152,null
2019-09-16 19:52:30,2458743.328,null
2019-09-16 21:39:15,2458743.402,null

