Gaia18cct
#Date,JD,averagemag.
2014-09-08 20:32:23,2456909.356,untrusted
2014-10-10 07:31:11,2456940.813,untrusted
2014-10-10 11:44:52,2456940.989,untrusted
2015-02-20 06:22:54,2457073.766,null
2015-02-20 08:09:09,2457073.840,18.82
2015-03-28 05:40:33,2457109.736,18.85
2015-03-28 07:27:07,2457109.810,18.86
2015-03-28 11:40:46,2457109.987,18.87
2015-04-08 17:46:45,2457121.241,null
2015-04-08 19:33:29,2457121.315,null
2015-07-13 21:19:33,2457217.389,untrusted
2015-07-14 01:33:15,2457217.565,18.89
2015-07-14 03:19:49,2457217.639,18.88
2015-07-25 07:42:32,2457228.821,null
2015-07-25 09:28:42,2457228.895,null
2015-07-25 13:42:29,2457229.071,null
2015-07-25 15:29:14,2457229.145,null
2015-09-01 07:11:23,2457266.800,18.92
2015-09-01 08:57:58,2457266.874,18.90
2016-01-13 14:00:45,2457401.084,18.99
2016-01-13 15:47:18,2457401.158,18.99
2016-01-13 20:00:57,2457401.334,18.98
2016-01-13 21:47:31,2457401.408,18.94
2016-01-28 02:06:17,2457415.588,18.98
2016-01-28 03:52:51,2457415.662,18.94
2016-03-01 19:30:58,2457449.313,19.02
2016-07-21 08:36:44,2457590.859,19.04
2016-07-21 10:23:18,2457590.933,19.01
2016-08-09 20:42:52,2457610.363,19.03
2016-08-09 22:29:27,2457610.437,19.01
2016-09-11 04:09:38,2457642.673,untrusted
2017-01-21 03:05:24,2457774.629,18.97
2017-01-21 04:51:57,2457774.703,18.97
2017-02-11 10:24:45,2457795.934,untrusted
2017-03-12 04:01:21,2457824.668,untrusted
2017-03-12 05:47:55,2457824.742,18.93
2017-07-31 05:07:04,2457965.713,18.90
2017-07-31 06:53:39,2457965.787,18.92
2017-08-25 05:04:57,2457990.712,null
2017-08-25 06:51:07,2457990.785,null
2017-09-21 18:43:18,2458018.280,18.93
2018-01-30 19:21:24,2458149.307,18.77
2018-03-22 11:08:30,2458199.964,18.68
2018-08-10 18:17:08,2458341.262,18.43
2018-08-10 20:03:43,2458341.336,18.43
2018-09-09 12:03:41,2458371.003,18.38
2018-09-09 13:50:16,2458371.077,18.37
2018-10-01 19:53:06,2458393.329,18.36
2019-02-10 00:42:53,2458524.530,18.36
2019-02-10 02:29:50,2458524.604,null
2019-03-12 19:59:58,2458555.333,18.37
2019-04-01 00:13:47,2458574.510,18.40
2019-04-01 02:00:21,2458574.584,18.38
2019-08-14 18:43:27,2458710.280,18.53
2019-09-16 06:27:43,2458742.769,18.48
2019-10-05 01:02:18,2458761.543,18.56
2019-10-05 02:48:53,2458761.617,18.54
2020-02-18 04:11:32,2458897.675,18.60
2020-02-18 05:58:06,2458897.749,18.63
2020-03-23 07:28:39,2458931.812,null
2020-03-23 11:42:14,2458931.988,18.61
2020-04-06 18:00:12,2458946.250,18.59
2020-04-06 19:46:46,2458946.324,18.58
2020-04-07 00:00:25,2458946.500,18.58
2020-04-07 01:46:59,2458946.574,18.57

