Gaia18cfd
#Date,JD,averagemag.
2014-09-10 23:09:07,2456911.465,untrusted
2014-09-11 00:55:40,2456911.539,untrusted
2014-10-15 02:17:42,2456945.596,untrusted
2014-10-15 04:04:15,2456945.670,untrusted
2015-02-26 11:03:38,2457079.961,null
2015-02-26 15:17:25,2457080.137,null
2015-03-25 04:54:04,2457106.704,18.45
2015-04-18 16:52:07,2457131.203,18.39
2015-09-03 15:50:33,2457269.160,18.50
2015-10-03 05:14:34,2457298.718,null
2015-10-24 21:23:55,2457320.392,18.54
2015-10-24 23:10:50,2457320.466,null
2016-03-07 18:13:38,2457455.259,18.44
2016-04-08 10:06:57,2457486.921,18.51
2016-04-08 11:53:31,2457486.995,18.46
2016-04-27 06:00:45,2457505.751,null
2016-04-27 10:14:16,2457505.927,18.58
2016-09-13 10:59:16,2457644.958,null
2016-10-17 12:10:05,2457679.007,null
2016-10-17 16:23:13,2457679.183,null
2016-11-01 16:28:05,2457694.186,null
2016-11-01 18:14:15,2457694.260,null
2016-11-01 22:27:59,2457694.436,null
2017-02-02 13:56:24,2457787.081,null
2017-02-02 18:10:11,2457787.257,null
2017-02-02 19:56:56,2457787.331,null
2017-02-03 00:10:42,2457787.507,null
2017-02-03 01:56:53,2457787.581,null
2017-02-03 06:10:39,2457787.757,null
2017-02-03 07:57:24,2457787.832,null
2017-02-03 12:11:10,2457788.008,null
2017-02-03 13:57:56,2457788.082,null
2017-02-03 18:11:07,2457788.258,null
2017-02-03 19:57:52,2457788.332,null
2017-02-04 00:11:38,2457788.508,null
2017-02-04 01:58:24,2457788.582,null
2017-02-04 06:11:35,2457788.758,null
2017-02-04 12:12:06,2457789.008,null
2017-02-04 18:12:38,2457789.259,null
2017-02-04 19:58:48,2457789.333,null
2017-02-05 00:12:35,2457789.509,null
2017-02-05 01:59:20,2457789.583,null
2017-02-05 06:13:06,2457789.759,null
2017-02-05 07:59:17,2457789.833,null
2017-02-05 12:13:03,2457790.009,null
2017-02-05 13:59:48,2457790.083,null
2017-02-05 18:13:34,2457790.259,null
2017-02-05 19:59:45,2457790.333,null
2017-02-06 00:13:31,2457790.509,null
2017-02-06 02:00:16,2457790.584,null
2017-03-18 08:47:35,2457830.866,null
2017-04-25 06:32:19,2457868.772,null
2017-04-25 08:18:30,2457868.846,null
2017-04-25 12:32:16,2457869.022,null
2017-04-25 14:19:01,2457869.097,null
2017-05-04 08:26:24,2457877.852,null
2017-05-04 12:40:10,2457878.028,null
2017-05-04 14:26:56,2457878.102,null
2017-05-04 18:40:42,2457878.278,null
2017-08-06 20:02:32,2457972.335,null
2017-08-06 21:48:42,2457972.409,null
2017-08-07 02:02:26,2457972.585,null
2017-08-07 03:49:10,2457972.659,null
2017-08-16 21:55:21,2457982.413,null
2017-08-17 02:09:05,2457982.590,null
2017-08-17 03:55:49,2457982.664,null
2017-11-05 02:31:47,2458062.605,18.51
2017-11-05 08:32:00,2458062.856,18.48
2017-11-05 14:32:13,2458063.106,18.54
2017-11-05 18:45:52,2458063.282,18.52
2017-11-05 20:32:26,2458063.356,untrusted
2017-11-06 00:46:05,2458063.532,18.53
2017-11-06 02:32:39,2458063.606,18.50
2017-11-06 08:32:52,2458063.856,untrusted
2017-11-06 14:33:05,2458064.106,18.53
2018-02-08 04:17:24,2458157.679,18.51
2018-02-08 08:31:05,2458157.855,18.50
2018-03-29 02:12:30,2458206.592,18.47
2018-08-14 15:04:39,2458345.128,17.83
2018-08-14 16:51:12,2458345.202,17.74
2018-09-03 03:06:53,2458364.630,18.52
2018-10-04 20:38:32,2458396.360,18.48
2018-10-04 22:25:06,2458396.434,18.49
2019-02-16 23:23:11,2458531.474,untrusted
2019-02-17 03:36:55,2458531.651,null
2019-03-10 15:37:38,2458553.151,18.44
2019-03-10 17:24:13,2458553.225,18.43
2019-04-08 15:23:46,2458582.142,untrusted
2019-04-08 17:10:20,2458582.216,18.49
2019-08-22 02:16:42,2458717.595,null
2019-08-22 04:03:26,2458717.669,null
2019-09-13 20:58:42,2458740.374,18.41
2019-09-13 22:45:15,2458740.448,18.49
2019-10-12 22:06:24,2458769.421,18.49
2019-10-12 23:52:58,2458769.495,18.46
2020-02-20 19:34:03,2458900.315,18.41
2020-02-20 21:20:37,2458900.389,18.47
2020-03-16 10:17:48,2458924.929,18.48
2020-04-11 21:36:33,2458951.400,18.36

