Gaia18ciy
#Date,JD,averagemag.
2014-08-27 08:54:00,2456896.871,null
2014-11-10 23:20:52,2456972.473,null
2015-01-31 02:23:19,2457053.600,null
2015-01-31 04:09:29,2457053.673,null
2015-03-09 01:25:45,2457090.560,null
2015-03-09 03:12:29,2457090.634,null
2015-04-03 13:14:31,2457116.052,null
2015-05-08 00:42:22,2457150.529,null
2015-06-10 18:21:20,2457184.265,null
2015-06-10 20:08:04,2457184.339,null
2015-07-12 12:10:22,2457216.007,null
2015-07-12 13:57:07,2457216.081,null
2015-08-18 05:49:46,2457252.743,null
2015-08-18 07:36:31,2457252.817,null
2015-09-19 17:32:22,2457285.231,null
2015-09-19 19:19:07,2457285.305,null
2015-10-19 07:04:03,2457314.794,null
2015-11-23 18:20:54,2457350.265,null
2015-12-16 00:15:14,2457372.511,null
2016-01-22 09:26:39,2457409.894,null
2016-02-12 09:22:17,2457430.890,null
2016-02-12 11:09:02,2457430.965,null
2016-03-19 22:15:30,2457467.427,null
2016-04-16 02:15:04,2457494.594,null
2016-05-19 19:48:31,2457528.325,null
2016-05-19 21:34:41,2457528.399,null
2016-06-24 01:27:10,2457563.561,null
2016-06-24 03:13:55,2457563.635,null
2016-07-25 13:17:10,2457595.054,null
2016-07-25 15:03:55,2457595.128,null
2016-08-30 08:43:58,2457630.864,null
2016-08-30 12:57:08,2457631.040,null
2016-10-02 12:35:40,2457664.025,null
2016-10-02 14:22:25,2457664.099,null
2016-10-30 08:09:03,2457691.840,null
2016-12-05 07:20:56,2457727.806,null
2016-12-26 17:29:46,2457749.229,null
2017-02-23 19:30:10,2457808.313,null
2017-03-31 22:55:03,2457844.455,null
2017-04-01 00:41:47,2457844.529,null
2017-04-29 18:25:47,2457873.268,null
2017-06-01 22:17:29,2457906.429,null
2017-06-02 00:04:14,2457906.503,null
2017-07-08 05:42:49,2457942.738,null
2017-07-08 09:56:34,2457942.914,null
2017-08-08 17:33:07,2457974.231,null
2017-11-11 04:36:21,2458068.692,null
2017-12-17 15:42:38,2458105.155,null
2018-01-07 09:38:52,2458125.902,null
2018-01-07 13:52:37,2458126.078,null
2018-02-13 18:50:16,2458163.285,null
2018-02-13 20:37:01,2458163.359,null
2018-03-08 14:29:57,2458186.104,null
2018-04-13 05:59:34,2458221.750,null
2018-05-13 17:41:46,2458252.237,null
2018-05-13 19:28:31,2458252.311,null
2018-06-15 05:24:46,2458284.726,null
2018-06-15 07:10:56,2458284.799,null
2018-07-22 05:03:25,2458321.711,null
2018-07-22 06:49:35,2458321.784,null
2018-08-22 22:52:00,2458353.453,18.89
2018-08-23 00:38:35,2458353.527,18.85
2018-09-24 22:33:48,2458386.440,19.68
2018-09-25 00:20:22,2458386.514,19.71
2018-10-29 05:48:41,2458420.742,null
2018-11-22 23:39:35,2458445.486,null
2018-12-29 20:55:49,2458482.372,null
2019-01-19 08:52:33,2458502.870,null
2019-02-25 13:52:14,2458540.078,null
2019-03-21 13:42:50,2458564.071,null
2019-03-21 15:29:35,2458564.146,null
2019-04-25 13:04:40,2458599.045,null
2019-04-25 14:51:24,2458599.119,null
2019-05-27 20:31:55,2458631.355,null
2019-06-29 00:32:00,2458663.522,null
2019-07-22 20:06:06,2458687.338,null
2019-07-22 21:52:51,2458687.412,null
2019-08-31 04:19:00,2458726.680,null
2019-09-24 23:14:37,2458751.468,null

