Gaia18ckb
#Date,JD,averagemag.
2015-03-03 23:21:53,2457085.474,null
2015-03-27 05:18:44,2457108.721,null
2015-04-25 17:05:35,2457138.212,null
2015-04-25 21:19:21,2457138.388,null
2015-08-31 21:26:02,2457266.393,null
2015-08-31 23:12:47,2457266.467,null
2015-09-27 11:03:07,2457292.960,null
2015-10-24 09:00:29,2457319.875,null
2016-03-13 06:29:19,2457460.770,null
2016-04-10 00:18:20,2457488.513,null
2016-05-05 18:17:26,2457514.262,null
2016-09-10 22:35:28,2457642.441,null
2016-10-11 04:12:15,2457672.675,null
2016-10-11 05:59:00,2457672.749,null
2017-02-06 02:25:01,2457790.601,null
2017-02-06 06:38:47,2457790.777,null
2017-02-06 08:25:32,2457790.851,null
2017-02-06 12:39:18,2457791.027,null
2017-02-06 14:25:28,2457791.101,null
2017-02-06 18:39:14,2457791.277,null
2017-02-10 14:05:13,2457795.087,null
2017-02-10 15:51:58,2457795.161,null
2017-02-10 20:05:44,2457795.337,null
2017-02-10 21:52:29,2457795.411,null
2017-03-24 01:14:32,2457836.552,null
2017-04-25 12:55:31,2457869.039,null
2017-04-25 14:42:16,2457869.113,null
2017-05-16 02:50:25,2457889.618,null
2017-05-16 07:04:11,2457889.795,null
2017-05-16 08:50:56,2457889.869,null
2017-09-22 01:06:27,2458018.546,null
2017-09-22 02:53:12,2458018.620,null
2017-10-25 18:29:24,2458052.270,null
2017-11-12 06:30:24,2458069.771,null
2017-11-12 08:17:09,2458069.845,null
2018-02-13 10:43:26,2458162.947,null
2018-02-13 14:57:11,2458163.123,null
2018-04-03 22:11:38,2458212.425,null
2018-05-13 08:02:17,2458251.835,null
2018-05-13 09:48:27,2458251.909,null
2018-05-24 09:58:00,2458262.915,null
2018-05-24 14:11:46,2458263.092,null
2018-05-24 15:58:31,2458263.166,null
2018-05-24 20:12:17,2458263.342,null
2018-05-24 21:58:27,2458263.416,null
2018-08-12 02:38:16,2458342.610,null
2018-08-12 04:25:00,2458342.684,null
2018-08-12 08:38:45,2458342.860,null
2018-08-12 10:25:29,2458342.934,null
2018-08-26 04:33:01,2458356.690,18.14
2018-08-26 08:46:40,2458356.866,18.02
2018-08-26 10:33:33,2458356.940,null
2018-10-03 02:15:10,2458394.594,null
2018-10-03 04:01:19,2458394.668,null
2018-11-09 07:23:53,2458431.808,null
2018-11-09 09:10:38,2458431.882,null
2018-11-21 01:29:22,2458443.562,null
2018-11-21 03:16:06,2458443.636,null
2019-02-22 11:45:06,2458536.990,null
2019-04-14 23:23:05,2458588.474,null
2019-08-27 20:05:35,2458723.337,null
2019-08-27 21:52:20,2458723.411,null
2019-09-16 08:38:53,2458742.860,null
2019-10-19 04:05:56,2458775.671,17.98
2019-10-19 05:52:30,2458775.745,18.13

