Gaia18ckt
#Date,JD,averagemag.
2014-10-28 20:41:53,2456959.362,null
2014-10-28 22:28:38,2456959.437,null
2015-02-21 22:02:31,2457075.418,null
2015-02-22 02:16:17,2457075.595,null
2015-02-22 04:02:27,2457075.668,null
2015-02-22 08:16:13,2457075.845,null
2015-03-09 14:27:18,2457091.102,null
2015-03-09 16:14:03,2457091.176,null
2015-04-17 08:04:45,2457129.837,null
2015-04-17 09:51:31,2457129.911,null
2015-05-23 07:29:12,2457165.812,null
2015-05-23 09:15:22,2457165.886,null
2015-06-10 01:34:12,2457183.565,null
2015-06-10 03:20:57,2457183.640,null
2015-09-17 04:29:39,2457282.687,null
2015-10-06 00:15:21,2457301.511,null
2015-11-08 21:49:36,2457335.409,null
2015-11-08 23:36:20,2457335.484,null
2015-12-19 17:05:33,2457376.212,null
2015-12-19 21:19:17,2457376.388,null
2015-12-19 23:06:02,2457376.463,null
2015-12-20 03:19:46,2457376.639,null
2015-12-20 05:05:56,2457376.712,null
2015-12-30 21:27:49,2457387.394,null
2015-12-30 23:13:59,2457387.468,null
2015-12-31 03:27:43,2457387.644,null
2015-12-31 05:14:28,2457387.718,null
2015-12-31 09:28:13,2457387.895,null
2015-12-31 11:14:22,2457387.968,null
2016-03-03 11:12:49,2457450.967,null
2016-03-03 15:26:35,2457451.143,null
2016-03-25 09:34:00,2457472.899,null
2016-03-25 11:20:46,2457472.973,null
2016-04-27 17:01:34,2457506.209,null
2016-06-05 20:26:35,2457545.352,null
2016-06-05 22:13:20,2457545.426,null
2016-06-19 02:34:49,2457558.608,null
2016-06-19 04:20:59,2457558.681,null
2016-09-26 11:31:28,2457657.980,null
2016-09-26 13:18:13,2457658.054,null
2016-10-19 05:24:24,2457680.725,null
2016-10-19 07:11:09,2457680.799,null
2016-11-19 00:44:40,2457711.531,null
2017-03-14 13:46:35,2457827.074,null
2017-03-14 18:00:20,2457827.250,null
2017-04-09 17:59:28,2457853.250,null
2017-04-09 19:45:39,2457853.323,null
2017-05-08 23:46:31,2457882.491,null
2017-06-20 16:47:03,2457925.199,null
2017-06-20 18:33:13,2457925.273,null
2017-06-20 22:46:59,2457925.449,null
2017-06-21 00:33:44,2457925.523,null
2017-06-28 06:39:54,2457932.778,null
2017-06-28 10:53:40,2457932.954,null
2017-06-28 12:39:50,2457933.028,null
2017-06-28 16:53:35,2457933.204,null
2017-08-20 09:08:41,2457985.881,null
2017-08-20 15:09:11,2457986.131,null
2017-08-20 16:55:21,2457986.205,null
2017-08-20 21:09:05,2457986.381,null
2017-08-20 22:55:50,2457986.455,null
2017-08-21 03:09:34,2457986.632,null
2017-08-21 04:56:19,2457986.706,null
2017-08-21 09:09:29,2457986.882,null
2017-08-21 10:56:14,2457986.956,null
2017-08-21 15:09:58,2457987.132,null
2017-08-21 16:56:43,2457987.206,null
2017-08-21 21:10:27,2457987.382,null
2017-08-21 22:56:37,2457987.456,null
2017-08-22 03:10:22,2457987.632,null
2017-08-22 04:57:06,2457987.706,null
2017-08-22 09:10:51,2457987.883,null
2017-08-22 10:57:01,2457987.956,null
2017-08-22 15:10:45,2457988.132,null
2017-08-22 16:57:30,2457988.207,null
2017-08-22 21:11:15,2457988.383,null
2017-08-22 22:57:24,2457988.457,null
2017-08-23 03:11:09,2457988.633,null
2017-11-02 13:42:59,2458060.072,null
2017-11-30 03:15:56,2458087.636,null
2018-03-25 20:58:09,2458203.374,null
2018-04-24 12:59:58,2458233.042,null
2018-04-24 14:46:44,2458233.116,null
2018-05-20 00:54:12,2458258.538,null
2018-08-28 16:01:05,2458359.167,18.74
2018-08-28 17:47:39,2458359.241,18.78
2018-09-07 11:53:57,2458368.996,null
2018-09-07 16:07:42,2458369.172,null
2018-09-07 17:53:51,2458369.246,null
2018-10-18 03:04:14,2458409.628,null
2018-10-18 04:50:23,2458409.702,null
2018-11-17 04:27:45,2458439.686,null
2018-12-11 02:38:55,2458463.610,null
2018-12-11 04:25:04,2458463.684,null
2019-04-06 08:22:27,2458579.849,null
2019-05-09 01:59:22,2458612.583,null
2019-05-09 03:45:32,2458612.657,null
2019-05-30 19:59:32,2458634.333,null
2019-05-30 21:46:18,2458634.407,null

