Gaia18clk
#Date,JD,averagemag.
2015-03-01 06:19:34,2457082.764,null
2015-03-01 08:05:44,2457082.837,null
2015-03-23 00:14:39,2457104.510,null
2015-04-21 05:52:34,2457133.745,null
2015-09-06 08:25:23,2457271.851,null
2015-10-01 06:36:39,2457296.775,null
2015-10-01 08:23:25,2457296.850,null
2015-10-28 00:28:01,2457323.519,null
2016-03-10 01:25:57,2457457.560,null
2016-03-10 03:12:06,2457457.633,null
2016-04-05 20:55:19,2457484.372,null
2016-04-30 13:00:26,2457509.042,null
2016-04-30 14:47:10,2457509.116,null
2016-09-15 19:49:41,2457647.326,null
2016-11-05 19:36:51,2457698.317,null
2017-03-20 09:55:59,2457832.914,null
2017-03-20 11:42:44,2457832.988,null
2017-05-10 03:29:15,2457883.645,null
2017-05-10 05:16:00,2457883.719,null
2017-09-26 10:23:41,2458022.933,null
2017-09-26 12:09:51,2458023.007,null
2017-10-30 09:57:17,2458056.915,null
2017-10-30 11:43:28,2458056.989,null
2017-11-14 11:51:56,2458071.994,null
2017-11-14 16:05:07,2458072.170,null
2018-02-15 11:47:05,2458164.991,null
2018-02-15 13:33:50,2458165.065,null
2018-02-15 17:47:34,2458165.241,null
2018-02-15 19:33:43,2458165.315,null
2018-02-15 23:47:27,2458165.491,null
2018-02-16 01:34:12,2458165.565,null
2018-02-16 05:47:56,2458165.742,null
2018-02-16 07:34:05,2458165.815,null
2018-02-16 11:47:49,2458165.992,null
2018-02-16 13:34:34,2458166.066,null
2018-02-16 17:48:18,2458166.242,null
2018-02-16 19:34:27,2458166.316,null
2018-02-16 23:48:11,2458166.492,null
2018-02-17 01:34:55,2458166.566,null
2018-02-17 05:48:39,2458166.742,null
2018-02-17 07:35:24,2458166.816,null
2018-02-17 11:48:33,2458166.992,null
2018-02-17 13:35:17,2458167.066,null
2018-02-17 17:49:01,2458167.242,null
2018-02-17 19:35:46,2458167.317,null
2018-02-17 23:49:30,2458167.493,null
2018-02-18 01:35:39,2458167.566,null
2018-03-30 23:04:12,2458208.461,null
2018-03-31 00:50:57,2458208.535,null
2018-05-08 04:25:17,2458246.684,null
2018-05-08 06:11:27,2458246.758,null
2018-05-08 10:25:11,2458246.934,null
2018-05-17 10:31:06,2458255.938,null
2018-05-17 12:17:51,2458256.012,null
2018-05-17 16:31:35,2458256.189,null
2018-05-17 18:17:44,2458256.262,null
2018-08-20 01:41:15,2458350.570,null
2018-08-20 05:55:02,2458350.747,null
2018-08-20 07:41:47,2458350.821,null
2018-08-20 11:55:33,2458350.997,null
2018-08-30 06:03:27,2458360.752,18.62
2018-08-30 07:50:01,2458360.826,18.61
2018-08-30 12:03:43,2458361.003,18.50
2018-08-30 13:50:18,2458361.077,18.52
2018-10-07 05:34:57,2458398.733,18.16
2018-10-07 07:21:32,2458398.807,18.14
2019-02-20 14:30:50,2458535.105,null
2019-02-20 18:44:34,2458535.281,null
2019-02-20 20:30:44,2458535.355,null
2019-03-08 00:48:08,2458550.533,null
2019-03-08 02:34:52,2458550.608,null
2019-04-10 18:12:53,2458584.259,null
2019-04-10 19:59:37,2458584.333,null
2019-08-25 17:16:41,2458721.220,null
2019-08-25 19:03:27,2458721.294,null
2019-09-11 05:44:08,2458737.739,null
2019-09-11 07:30:18,2458737.813,null

