Gaia18cpp
#Date,JD,averagemag.
2014-10-27 16:41:43,2456958.196,null
2015-02-16 14:24:14,2457070.100,null
2015-02-16 16:10:59,2457070.174,null
2015-03-14 10:10:58,2457095.924,null
2015-04-13 14:08:58,2457126.090,null
2015-04-13 15:55:43,2457126.164,null
2015-05-23 13:14:10,2457166.052,null
2015-06-05 13:21:05,2457179.056,null
2015-06-05 15:07:50,2457179.130,null
2015-07-23 19:29:26,2457227.312,null
2015-07-23 23:43:11,2457227.488,null
2015-07-24 01:29:55,2457227.562,null
2015-08-01 07:35:38,2457235.816,null
2015-08-01 11:49:22,2457235.993,null
2015-09-13 18:20:54,2457279.265,null
2015-10-09 12:08:37,2457305.006,null
2015-11-08 04:03:17,2457334.669,null
2015-11-08 05:50:01,2457334.743,null
2015-12-28 23:28:41,2457385.478,null
2015-12-29 03:42:26,2457385.654,null
2015-12-29 05:29:11,2457385.729,null
2015-12-29 09:42:21,2457385.904,null
2015-12-29 11:29:06,2457385.979,null
2015-12-29 15:42:51,2457386.155,null
2015-12-29 17:29:35,2457386.229,null
2015-12-29 21:42:45,2457386.405,null
2015-12-29 23:29:30,2457386.479,null
2015-12-30 03:43:15,2457386.655,null
2015-12-30 05:30:00,2457386.729,null
2015-12-30 09:43:45,2457386.905,null
2016-01-05 03:48:48,2457392.659,null
2016-01-05 09:48:44,2457392.909,null
2016-01-05 11:35:29,2457392.983,null
2016-01-05 15:49:14,2457393.159,null
2016-01-05 17:35:24,2457393.233,null
2016-01-05 21:49:09,2457393.409,null
2016-01-05 23:35:54,2457393.483,null
2016-01-06 03:49:39,2457393.659,null
2016-01-06 05:36:24,2457393.734,null
2016-01-06 09:49:34,2457393.909,null
2016-01-06 11:36:19,2457393.984,null
2016-01-06 15:50:04,2457394.160,null
2016-01-06 17:36:49,2457394.234,null
2016-02-28 03:35:35,2457446.650,null
2016-02-28 05:22:21,2457446.724,null
2016-03-28 03:25:43,2457475.643,null
2016-04-23 21:16:32,2457502.386,null
2016-06-05 08:10:41,2457544.841,null
2016-06-05 09:57:26,2457544.915,null
2016-06-05 14:11:12,2457545.091,null
2016-06-14 20:17:50,2457554.346,null
2016-06-14 22:04:35,2457554.420,null
2016-06-15 02:18:20,2457554.596,null
2016-08-02 06:38:33,2457602.777,null
2016-08-02 08:24:43,2457602.850,null
2016-08-14 06:44:24,2457614.781,null
2016-08-14 08:31:09,2457614.855,null
2016-09-23 23:39:35,2457655.486,null
2016-10-23 01:06:46,2457684.546,null
2016-11-18 17:12:52,2457711.217,null
2016-11-18 18:59:02,2457711.291,null
2017-01-12 06:42:37,2457765.780,null
2017-01-12 10:56:22,2457765.956,null
2017-01-12 12:43:07,2457766.030,null
2017-01-12 16:56:52,2457766.206,null
2017-01-12 18:43:37,2457766.280,null
2017-01-12 22:56:47,2457766.456,null
2017-01-23 17:06:19,2457777.213,null
2017-01-23 18:52:29,2457777.286,null
2017-01-23 23:06:14,2457777.463,null
2017-01-24 00:52:59,2457777.537,null
2017-01-24 05:06:45,2457777.713,null
2017-01-24 06:52:55,2457777.787,null
2017-03-10 18:08:45,2457823.256,null
2017-04-11 11:48:28,2457854.992,null
2017-05-04 19:31:25,2457878.313,null
2017-05-04 23:45:11,2457878.490,null
2017-06-19 04:29:47,2457923.687,null
2017-06-19 06:15:57,2457923.761,null
2017-06-19 10:29:42,2457923.937,null
2017-06-19 12:16:27,2457924.011,null
2017-06-25 00:21:09,2457929.515,null
2017-06-25 04:34:55,2457929.691,null
2017-06-25 06:21:05,2457929.765,null
2017-06-25 10:34:50,2457929.941,null
2017-08-12 14:58:21,2457978.124,null
2017-08-12 16:44:31,2457978.198,null
2017-08-28 09:02:30,2457993.877,null
2017-08-28 10:48:40,2457993.950,null
2017-10-05 03:54:39,2458031.663,null
2017-11-07 01:43:14,2458064.572,null
2017-11-30 07:44:51,2458087.823,null
2017-11-30 09:31:36,2458087.897,null
2018-01-24 09:16:39,2458142.887,null
2018-01-24 13:30:25,2458143.063,null
2018-01-24 15:17:10,2458143.137,null
2018-01-24 19:30:55,2458143.313,null
2018-02-11 07:41:43,2458160.821,null
2018-02-11 09:28:28,2458160.895,null
2018-03-22 03:05:24,2458199.629,null
2018-04-25 12:47:13,2458234.033,null
2018-04-25 14:33:58,2458234.107,null
2018-05-15 18:49:11,2458254.284,null
2018-07-02 05:24:49,2458301.726,null
2018-07-02 07:10:59,2458301.799,null
2018-07-02 11:24:44,2458301.976,null
2018-07-02 13:11:29,2458302.050,null
2018-07-02 17:25:14,2458302.226,null
2018-07-02 19:11:24,2458302.300,null
2018-07-05 19:14:30,2458305.302,null
2018-07-05 23:28:15,2458305.478,null
2018-07-06 01:14:25,2458305.552,null
2018-07-06 05:28:10,2458305.728,null
2018-07-06 07:14:55,2458305.802,null
2018-07-06 11:28:40,2458305.978,null
2018-08-23 05:44:09,2458353.739,null
2018-09-11 09:57:28,2458372.915,18.48
2018-09-11 11:44:02,2458372.989,18.60
2018-10-16 15:15:31,2458408.136,null
2018-11-22 20:46:26,2458445.366,null
2018-11-22 22:33:11,2458445.440,null
2018-12-11 20:54:48,2458464.371,null
2018-12-11 22:41:32,2458464.446,null
2018-12-12 02:55:17,2458464.622,null
2018-12-12 04:41:27,2458464.695,null
2019-02-05 04:28:10,2458519.686,null
2019-02-05 08:41:56,2458519.862,null
2019-02-05 10:28:41,2458519.937,null
2019-02-27 14:49:28,2458542.118,null
2019-02-27 16:35:39,2458542.191,null
2019-04-02 14:29:06,2458576.104,null
2019-05-09 15:32:01,2458613.147,null
2019-05-26 09:37:34,2458629.901,null
2019-07-13 12:17:52,2458678.012,null
2019-07-13 18:18:22,2458678.263,null
2019-07-13 20:05:07,2458678.337,null
2019-07-14 00:18:17,2458678.513,null
2019-07-14 02:05:02,2458678.587,null
2019-08-09 20:49:26,2458705.368,null
2019-08-09 22:35:36,2458705.441,null
2019-09-02 11:12:47,2458728.967,null
2019-09-02 15:25:56,2458729.143,null

